GS_ShortMoveOn |= 아냐..
GS_LOOK_AT_ITEM |= 오, 저런 것도 있어요?
GS_LOOK_AT_ITEM |= 저런 건 너무 많아요.
GS_LOOK_AT_ITEM |= 살지 말지 고민 중이야.
GS_LOOK_AT_ITEM |= 흠...
GS_LOOK_AT_ITEM |= 그냥 평범한 물건 같은데.
GS_LOOK_AT_ITEM |= 좋은 선물이 될 것 같네요.
GS_LOOK_AT_ITEM |= 저거 괜찮을까요?
GS_LOOK_AT_COOKED |= 맛있어 보이네요.
GS_LOOK_AT_COOKED |= 요리된 음식을 이길 순 없죠.
GS_LOOK_AT_COOKED |= 여기서부터 냄새가 나네요.
GS_LOOK_AT_COOKED |= 방금 만든 건가요?
GS_LOOK_AT_COOKED |= 오, 조리된 음식이네요.
GS_LOOK_AT_COOKED |= 맛이 좋을까요?
GS_LOOK_AT_COOKED |= 우, 식사도 팔고 있네.
GS_WORKER_UNHAPPY |= 너무 심심해.
GS_WORKER_UNHAPPY |= 으으...
GS_WORKER_UNHAPPY |= 저임금에 과로.
GS_WORKER_UNHAPPY |= 이 임금으로 어떻게 살 수 있습니까?
GS_WORKER_UNHAPPY |= 정말 귀찮아 죽겠어요.
GS_WORKER_UNHAPPY |= 이 일이 정말 싫어요.
GS_WORKER_UNHAPPY |= 의욕도 별로 없어요.
GS_WORKER_UNHAPPY |= 제 상사는 ****.
GS_WORKER_NEUTRAL |= 또 하루, 또 약간의 급여.
GS_WORKER_NEUTRAL |= 좋은 하루가 되길 바랍니다.
GS_WORKER_NEUTRAL |= 바빠 보여야지!
GS_WORKER_NEUTRAL |= 가게에서 일하다니...
GS_WORKER_NEUTRAL |= 여긴 괜찮아요.
GS_WORKER_NEUTRAL |= 오늘 손님이 좋았으면 좋겠어요.
GS_WORKER_HAPPY |= 이곳에서 일하는 것을 좋아합니다.
GS_WORKER_HAPPY |= 여기서 일하는 게 좋아요.
GS_WORKER_HAPPY |= 또 좋은 하루가 되길 바랍니다.
GS_WORKER_HAPPY |= 계속 바빠야죠.
GS_WORKER_HAPPY |= 웃는 얼굴로 서비스!
GS_WORKER_HAPPY |= 모두가 행복하길 바랍니다.
GS_WORKER_GREETING_UNHAPPY |= 네?
GS_WORKER_GREETING_UNHAPPY |= 뭘 원하세요?
GS_WORKER_GREETING_UNHAPPY |= 잠깐만요
GS_WORKER_GREETING_UNHAPPY |= 무슨 일이야?
GS_WORKER_GREETING_UNHAPPY |= 으웩
GS_WORKER_GREETING_UNHAPPY |= 뭐 살 거야, 말 거야?
GS_WORKER_GREETING_UNHAPPY |= 다음!
GS_WORKER_GREETING_UNHAPPY |= 안돼!
GS_WORKER_GREETING_UNHAPPY |= 다음은 누구야?
GS_WORKER_GREETING_UNHAPPY |= 다음은 누구야? 서둘러요
GS_WORKER_GREETING_UNHAPPY |= 다음! 시간 없어!
GS_WORKER_GREETING_UNHAPPY |= 뭐야?
GS_WORKER_GREETING_UNHAPPY |= 으웩 무슨 일이야?
GS_WORKER_GREETING_NEUTRAL |= 안녕
GS_WORKER_GREETING_NEUTRAL |= 안녕하세요
GS_WORKER_GREETING_NEUTRAL |= 뭘 도와드릴까요?
GS_WORKER_GREETING_NEUTRAL |= 다음 분
GS_WORKER_GREETING_NEUTRAL |= 안녕하세요
GS_WORKER_GREETING_NEUTRAL |= 안녕하세요 무슨 일이시죠?
GS_WORKER_GREETING_NEUTRAL |= 만나서 반가워요. 무엇을 도와드릴까요?
GS_WORKER_GREETING_NEUTRAL |= 오늘은 무엇을 도와드릴까요?
GS_WORKER_GREETING_NEUTRAL |= 무엇을 도와드릴까요?
GS_WORKER_GREETING_NEUTRAL |= 네, 부탁합니다.
GS_WORKER_GREETING_NEUTRAL |= 다음 줄로 오세요.
GS_WORKER_GREETING_NEUTRAL |= 안녕하세요. 무엇을 도와드릴까요?
GS_WORKER_GREETING_HAPPY |= 허름한 매장에 오신 것을 환영합니다!
GS_WORKER_GREETING_HAPPY |= 무엇을 도와드릴까요?
GS_WORKER_GREETING_HAPPY |= 만나서 반갑습니다!
GS_WORKER_GREETING_HAPPY |= 안녕하세요!
GS_WORKER_GREETING_HAPPY |= 안녕하세요! 무엇을 도와드릴까요?
GS_WORKER_GREETING_HAPPY |= 안녕하세요!
GS_WORKER_GREETING_HAPPY |= 만나서 반갑습니다.
GS_WORKER_GREETING_HAPPY |= 무엇을 도와드릴까요?
GS_WORKER_GREETING_HAPPY |= 무엇을 도와드릴까요?
GS_WORKER_GREETING_HAPPY |= 이 좋은 날에 무엇을 도와드릴까요?
GS_WORKER_GREETING_HAPPY |= 만나서 반갑습니다. 무엇을 도와드릴까요?
GS_WORKER_GREETING_HAPPY |= 어서 오세요 무엇을 도와드릴까요?
GS_WORKER_GREETING_HAPPY |= 어서 오세요 오늘은 무엇을 도와드릴까요?
GS_WORKER_GREETING_HAPPY |= 만나서 반갑습니다. 무엇을 도와드릴까요?
GS_WORKER_GREETING_HAPPY |= 반갑습니다. 무엇을 도와드릴까요?

GS_WORKER_SALE_UNHAPPY |= 네, 감사합니다.
GS_WORKER_SALE_UNHAPPY |= 안녕.
GS_WORKER_SALE_UNHAPPY |= 으흠.
GS_WORKER_SALE_UNHAPPY |= 잘 가.
GS_WORKER_SALE_UNHAPPY |= 으으으으.
GS_WORKER_SALE_UNHAPPY |= 으으.
GS_WORKER_SALE_UNHAPPY |= 고마워요.
GS_WORKER_SALE_UNHAPPY |= 그래, 건배.
GS_WORKER_SALE_UNHAPPY |= 다음!
GS_WORKER_SALE_UNHAPPY |= (끙끙)
GS_WORKER_SALE_UNHAPPY |= 안녕.
GS_WORKER_SALE_UNHAPPY |= 그래, 안녕.
GS_WORKER_SALE_UNHAPPY |= 흠.
GS_WORKER_SALE_UNHAPPY |= 잘 가, 멍청아.
GS_WORKER_SALE_UNHAPPY |= 뭐든지요.
GS_WORKER_SALE_NEUTRAL |= 잘 있어.
GS_WORKER_SALE_NEUTRAL |= 고마워요.
GS_WORKER_SALE_NEUTRAL |= 또 와.
GS_WORKER_SALE_NEUTRAL |= 고마워요.
GS_WORKER_SALE_NEUTRAL |= 안녕히 가세요.
GS_WORKER_SALE_NEUTRAL |= 고마워요.
GS_WORKER_SALE_NEUTRAL |= 고마워요 안녕히 계세요.
GS_WORKER_SALE_NEUTRAL |= 고마워요 안녕히 계세요.
GS_WORKER_SALE_NEUTRAL |= 고마워요.
GS_WORKER_SALE_NEUTRAL |= 나중에 봐요
GS_WORKER_SALE_NEUTRAL |= 당신의 관습에 감사드립니다.
GS_WORKER_SALE_NEUTRAL |= 고마워요 안녕히 계세요
GS_WORKER_SALE_NEUTRAL |= 여신도 함께 가세요.
GS_WORKER_SALE_NEUTRAL |= 고마워요.
GS_WORKER_SALE_HAPPY |= 정말 감사합니다!
GS_WORKER_SALE_HAPPY |= 곧 다시 뵙기를 바랍니다!
GS_WORKER_SALE_HAPPY |= 고객님들의 의견을 소중히 받겠습니다.
GS_WORKER_SALE_HAPPY |= 고객님께 감사드립니다.
GS_WORKER_SALE_HAPPY |= 좋은 하루 되세요!
GS_WORKER_SALE_HAPPY |= 곧 다시 뵙겠습니다!
GS_WORKER_SALE_HAPPY |= 또 오세요!
GS_WORKER_SALE_HAPPY |= 감사합니다.
GS_WORKER_SALE_HAPPY |= 구매하신 제품이 마음에 드셨기를 바랍니다!
GS_WORKER_SALE_HAPPY |= 감사합니다. 좋은 하루 되세요.
GS_WORKER_SALE_HAPPY |= 정말 감사합니다.
GS_WORKER_SALE_HAPPY |= 감사합니다. 다시 오세요.
GS_WORKER_SALE_HAPPY |= 정말 감사합니다. 다시 오세요.
GS_WORKER_SALE_HAPPY |= 애용해 주셔서 감사합니다.
GS_WORKER_SALE_HAPPY |= 안녕히 가세요. 좋은 하루 되세요.
GS_WORKER_SALE_HAPPY |= 조심하세요 여신이 함께합니다.
GS_WORKER_SALE_HAPPY |= 좋은 하루 되세요.
GS_WORKER_SALE_HAPPY |= 당신의 관습은 축복입니다.
