형제House |= 형제자매 만나기
Master of EventsVegetableShow_Intro |= 각 재능 있는 참가자는 가장 풍성한 채소 3 가지를 선택해 텐트 안 쿠션 위에 올려놓아야 합니다. 그런 다음 별 등급과 다양성을 기준으로 평가합니다!
Master of EventsVegetableShow_Intro |=  참가 마감 시간은 오후 3시까지이므로 그 전에 돌아와 멋진 채소를 전시하세요. 결과는 오후 3시 이후에 발표되지만, 저는 오후 8시에 저녁을 먹고 집에 돌아갈 예정이니 그 전에 꼭 확인해주세요!
Master of EventsVegetableShow_Intro |= 행운을 빌며 최고의 채소가 우승하기를 기원합니다!
Master of EventsVegetableShow_Complete |= 축하합니다! 출품작을 제시간에 제출해 주셨어요! 심사가 완료되었으며, 결과를 발표하게 되어 기쁩니다!
Master of EventsVegetableShow_NotEntered |= <PlayerName>, 채소 전시회에 참가하고 싶다면 서둘러야 할 것 같습니다. 참가 신청 마감은 오후 3시입니다. 그 후에 다시 돌아와서 결과를 확인해 보세요!
Master of EventsVegetableShow_MissedDeadline |= 아, <PlayerName>. 참가 마감 시간이 오후 3시였기 때문에 이 대회에 참가하지 못했습니다. 아무튼 다음에 다시 도전해 주세요. 우승 후보로 보이는데요.
Master of EventsVegetableShow_AwaitingDeadline |= <PlayerName>님의 출품작을 보고 있었습니다. 오후 3시 이후부터 오후 8시 이전에 다시 돌아와서 어떻게 되었는지 확인해 주세요.

FlowerShowT1 |= 올해의 꽃 전시회를 위해 모두 모인 것 같네요.
FlowerShowT2 |= 올해는 정말 아름다운 꽃들이 많이 출품되었지만, 우승자는 단 한 명뿐입니다! 먼저 오늘의 준우승자를 소개합니다. 그들은...
FlowerShowT3 |= 이제 최종 3명이 남았습니다...
FlowerShowT4 |= 올해의 꽃 전시회 챔피언을 발표합니다...
FlowerShowT5 |= 여러분 모두 축하합니다. 정말 아름다운 꽃들이 정말 많았어요!
FlowerShowT6 |= 참석해주신 모든 분들께 감사드리며 내년에 다시 뵙기를 기대합니다!
FlowerShow_Task |= 꽃 전시회
FlowerShow_TaskDesc |= 오후 3시까지 대회 텐트에 꽃 3개를 배치하세요. 그런 다음 오후 3시에서 오후 8시 사이에 돌아와 이벤트 마스터와 대화하여 결과 발표식에 참여하세요.
FLOWER_SHOW |= 꽃 전시회
FlowerShow |= 꽃 전시회
FlowerShowDesc |= 꽃 전시회에 입장하려면 오후 3시 이전에 페스티벌 그린에 있는 이벤트 마스터에게 말을 걸면 됩니다.
AnnualCompetition_Name_FlowerShow |= 꽃 전시회
AnnualCompetition_Date_FlowerShow |= 봄의 12일째 날
AnnualCompetition_Location_FlowerShow |= 페스티벌 그린
Master of EventsFlowerShow_Intro |= 호호! 올해의 꽃 전시회에 오신 것을 진심으로 환영합니다.
Master of EventsFlowerShow_Intro |= 각 재능 있는 참가자는 가장 멋진 꽃 세 송이를 선택하여 텐트 안의 쿠션 위에 놓아야 합니다. 그런 다음 별점과 다양성을 기준으로 심사가 진행됩니다!
Master of EventsFlowerShow_Intro |= 참가 마감 시간은 오후 3시까지이므로 그 전에 돌아와 멋진 꽃을 전시하세요. 결과는 오후 3시 이후에 발표되지만, 저는 저녁 8시에 저녁을 먹고 집에 돌아갈 예정이니 그 전에 꼭 확인해주세요!
Master of EventsFlowerShow_Intro |= 행운을 빌며 최고의 꽃이 우승하기를 기원합니다!
Master of EventsFlowerShow_Complete |= 축하합니다! 제시간에 출품작을 제출해 주셨어요! 심사가 완료되었으며, 결과를 발표하게 되어 기쁩니다!
Master of EventsFlowerShow_NotEntered |= <PlayerName>, 올해 꽃 전시회에 참가하고 싶으시다면 서두르는 것이 좋을 것 같습니다. 참가 신청 마감은 오후 3시입니다. 그 후에 다시 돌아와서 결과를 확인하세요!
Master of EventsFlowerShow_MissedDeadline |= 아, <PlayerName>. 참가 마감 시간이 오후 3시였기 때문에 이번 대회에 참가하지 못했습니다. 아무튼 다음에 다시 도전해 주세요. 잠재적인 우승자의 모습을 하고 계십니다.
Master of EventsFlowerShow_AwaitingDeadline |= <PlayerName>님의 출품작을 보고 있었어요.  오후 3시 이후부터 오후 8시 이전에 다시 돌아와서 어떻게 되었는지 확인해 주세요.
JamContestT1 |= 올해 잼 대회를 위해 모두 모인 것 같네요.
JamContestT2 |= 올해도 정말 멋진 작품들이 출품되었지만 우승자는 단 한 명뿐입니다! 먼저 오늘의 준우승자를 소개합니다. 그들은...
JamContestT3 |= 이제 최종 3명이 남았습니다...
JamContestT4 |= 올해의 챔피언을 발표하게 되어 기쁘게 생각합니다...
JamContestT5 |= 여러분 모두 축하드립니다. 잼 천국이었어요!
JamContestT6 |= 참석해주신 모든 분들께 감사드리며, 내년에 다시 뵙기를 기대합니다!
JamContest_Task |= 잼 대회
JamContest_TaskDesc |= 오후 3시까지 대회 텐트에 잼 3개를 놓습니다. 그런 다음 오후 3시에서 오후 8시 사이에 돌아와 이벤트 마스터와 대화하여 결과 발표식에 참여하세요.
JAM_CONTEST |= 잼 대회
JamContest |= 잼 대회
JamContestDesc |= 잼 대회에 참가하려면 오후 3시까지 페스티벌 그린의 이벤트 마스터에게 말씀하세요.
AnnualCompetition_Name_JamContest |= 잼 대회
AnnualCompetition_Date_JamContest |= 
AnnualCompetition_Location_JamContest |= 페스티벌 그린
Master of EventsJamContest_Intro |= 호호! 올해의 잼 대회에 오신 것을 진심으로 환영합니다.
Master of EventsJamContest_Intro |= 각 재능 있는 참가자는 가장 맛있는 잼 세 가지를 선택하여 텐트 안의 쿠션 위에 올려놓아야 합니다. 그런 다음 별점과 다양성을 기준으로 심사가 진행됩니다!
Master of EventsJamContest_Intro |= 참가 마감은 오늘 오후 3시까지이므로 그 전에 돌아와 맛있는 잼을 전시하세요. 결과는 오후 3시 이후에 발표되지만, 저는 저녁 8시에 저녁을 먹고 집에 돌아갈 예정이니 그 전에 꼭 확인해주세요!
Master of EventsJamContest_Intro |= 행운을 빌며 최고의 잼이 우승하기를 기원합니다!
Master of EventsJamContest_Complete |= 축하합니다! 제시간에 출품작을 제출해 주셨어요, 호호! 심사가 진행되었으며, 결과를 발표하게 되어 기쁩니다!
Master of EventsJamContest_NotEntered |= <PlayerName>, 올해 잼 대회에 참가하고 싶으시다면 서두르는 것이 좋을 것 같습니다. 참가 신청 마감은 오후 3시입니다. 그 후에 다시 돌아와서 결과를 확인해 보세요!
Master of EventsJamContest_MissedDeadline |= 아, <PlayerName>. 참가 마감 시간이 오후 3시였으므로 이 대회에 참가하지 못했습니다. 아무튼 다음에 다시 도전해 주세요. 우승 후보로 보이는데요.
Master of EventsJamContest_AwaitingDeadline |= <PlayerName>님이 참가하는 것을 보고 있었습니다.  오후 3시 이후부터 오후 8시 이전에 다시 돌아와서 어떻게 되었는지 확인해 보세요.


FishingCompetitionT1 |= 올해 낚시 대회를 위해 모두 모인 것 같네요.
FishingCompetitionT2 |= 올해도 훌륭한 작품들이 출품되었지만 우승자는 단 한 명뿐입니다! 먼저 오늘의 준우승자를 소개합니다. 그들은...
FishingCompetitionT3 |= 이제 최종 3명이 남았습니다...
FishingCompetitionT4 |= 올해의 챔피언을 발표합니다...
FishingCompetitionT5 |= 여러분 모두 축하합니다. 좋은 물고기를 잡는 법을 확실히 알고 있군요!
FishingCompetitionT6 |= 참석해주신 모든 분들께 감사드리며 내년에 다시 뵙기를 기대합니다!
FishingCompetition_Task |= 낚시 대회
FishingCompetition_TaskDesc |= 오후 3시 이전에 대회 텐트에 물고기 3마리를 놓습니다. 그런 다음 오후 3시에서 오후 8시 사이에 돌아와 이벤트 마스터와 대화하여 결과 발표식에 참여하세요.
FISHING_COMPETITION |= 낚시 대회
FishingCompetition |= 낚시 대회
FishingCompetitionDesc |= 낚시 대회에 참가하려면 오후 3시 이전에 그레이마켓에 있는 이벤트 마스터에게 말씀하세요.
Master of EventsFishingCompetition_Intro |= 호호! 올해의 낚시 대회에 오신 것을 진심으로 환영합니다.
Master of EventsFishingCompetition_Intro |= 각 재능 있는 참가자는 가장 환상적인 물고기 세 마리를 선택하여 텐트 안의 쿠션 위에 올려놓아야 합니다. 그런 다음 별점과 다양성을 기준으로 심사가 진행됩니다!
Master of EventsFishingCompetition_Intro |= 참가 마감 시간은 오후 3시까지이므로 그 전에 돌아와 멋진 물고기를 전시하세요. 결과는 오후 3시 이후에 발표되지만, 저는 저녁 8시에 저녁을 먹고 집에 돌아갈 예정이니 그 전에 꼭 확인해주세요!
Master of EventsFishingCompetition_Intro |= 행운을 빌며 최고의 물고기가 우승하기를 기원합니다!
Master of EventsFishingCompetition_Complete |= 축하합니다! 출품작을 제시간에 제출해 주셨습니다! 심사가 완료되었으며, 결과를 발표하게 되어 기쁩니다!
Master of EventsFishingCompetition_NotEntered |= <PlayerName>, 이 낚시 대회에 참가하고 싶으시다면 서둘러야 할 것 같습니다. 참가 신청 마감은 오후 3시입니다. 그 후에 다시 돌아와 결과를 확인하세요!
Master of EventsFishingCompetition_MissedDeadline |= 아, <PlayerName>. 참가 마감 시간이 오후 3시였으므로 이 대회에 참가하지 못했습니다. 아무튼 다음에 다시 시도해 주세요. 우승 후보로 보이는데요.
Master of EventsFishingCompetition_AwaitingDeadline |= <PlayerName>. 님이 참가하는 모습을 보고 있었습니다. 오후 3시 이후부터 오후 8시 이전에 다시 돌아와서 어떻게 되었는지 확인해 보세요.

AnnualDance_Gift_LikesPlayer |= 이 선물을 받게 되어 매우 기뻐. 우리의 우정이 더욱 돈독해지길 바라.
AnnualDance_Gift_DislikesPlayer |= 이 선물을 기쁜 마음으로 받을게. 하루만이라도 서로의 차이를 잊어버리자.
AnnualDance_Intro_Blossom |= 환영합니다! 매년 봄마다 이곳에서 열리는 블라썸 댄스에 오신 여러분을 환영합니다.
AnnualDance_Intro_Blossom |= 오늘의 이 멋진 행사는 우리 각자가 우리 커뮤니티와 서로의 관계를 축하할 수 있는 기회입니다. 대부분 함께 춤을 추며 하루를 보내지만, 마을 주민들에게 의미 있는 몸짓을 할 수도 있습니다.
AnnualDance_Intro_Blossom |= 참여를 원한다면 다른 마을 주민이 좋아할 만한 아이템을 링에 던져보세요. 누군가 당신의 제스처를 받아들인다면, 앞으로 나와서 선물을 받으면 큰 감사를 표할 것입니다.
AnnualDance_Intro_Blossom |= 이제 가서 즐겨보세요!
AnnualDance_Intro_Maypole |= 환영합니다! 매년 여름마다 이곳에서 열리는 메이폴 댄스에 오신 여러분을 환영합니다.
AnnualDance_Intro_Maypole |= 오늘의 멋진 행사는 우리 각자가 우리 커뮤니티와 서로의 관계를 축하할 수 있는 기회입니다. 대부분 함께 춤을 추며 하루를 보내지만, 마을 주민들에게 의미 있는 제스처를 할 수도 있습니다.
AnnualDance_Intro_Maypole |= 참여를 원한다면 다른 마을 주민이 좋아할 만한 아이템을 고리 안에 던져보세요. 누군가 당신의 제스처를 받아들인다면, 앞으로 나와서 선물을 받으면 큰 감사를 표할 것입니다.
AnnualDance_Intro_Maypole |= 이제 가서 즐겨보세요!
AnnualDance_Intro_Samain |= 환영합니다! 매년 가을마다 이곳에서 열리는 사마인 댄스에 오신 여러분을 환영합니다.
AnnualDance_Intro_Samain |= 오늘의 이 멋진 행사는 우리 각자가 우리 커뮤니티와 서로의 관계를 축하할 수 있는 기회입니다. 대부분 함께 춤을 추며 하루를 보내지만, 마을 주민들에게 의미 있는 제스처를 할 수도 있습니다.
AnnualDance_Intro_Samain |= 참여를 원한다면 다른 마을 주민이 좋아할 만한 아이템을 고리 안에 던져주세요. 누군가 당신의 제스처를 받아들인다면, 앞으로 나와서 선물을 받으면 큰 감사를 표할 것입니다.
AnnualDance_Intro_Samain |= 이제 가서 즐겨보세요!
AnnualDance_Intro_Fel |= 환영합니다! 매년 겨울마다 이곳에서 열리는 펠 댄스 축제에 오신 여러분을 환영합니다.
AnnualDance_Intro_Fel |= 오늘의 이 멋진 행사는 우리 각자가 우리 커뮤니티와 서로의 관계를 축하할 수 있는 기회입니다. 대부분 함께 춤을 추며 하루를 보내지만, 마을 주민들에게 의미 있는 몸짓을 할 수도 있습니다.
AnnualDance_Intro_Fel |= 참여를 원한다면 다른 마을 주민이 좋아할 만한 아이템을 링에 던져보세요. 누군가 당신의 제스처를 받아들인다면, 앞으로 나와서 선물을 받으면 큰 감사를 표할 것입니다.
AnnualDance_Intro_Fel |= 이제 가서 즐겨보세요!

GhostTrader_Cursed_Popup |= 48시간 동안 저주에 걸렸습니다.
