Wheel_Misfire |= 이번에는 실패했네. 걱정마. 여신들이 지켜보고 있으니 힘들었겠지.
Wheel_Pre |= 우리가 아기를 가졌으면 좋겠어? 럼블을 준비하자!
Wheel_Pre |= 우리 가족을 늘리고 싶다고? 여기서? 지금?
Wheel_Pre |= 아기를 가지려고? 뭐 먹었어?
Wheel_Pre |= 로맨틱해? 양치질은 먼저 한거야?
Wheel_Pre |= 아기를 가질까? 안녕!
Wheel_Pre |= 우리 가족을 늘리고 싶어? 햇볕이 쨍쨍할 때 건초를 만들자.
Wheel_Pre |= 우리가 아기를 가졌으면 좋겠어? 여신들이 보고 있길 바라자고요!
Wheel_Pre |= 아기를 가질까? 좋아! 계단으로 데려다줘 별을 말하는 거야.
Wheel_Pre |= 나도 아기를 원해. 가자!
Wheel_Pre |= 아기를 가질 수 있을까? 정말 로맨틱하네! 난 네 거야!
Wheel_Pre |= 네, 아기를 위해 노력하자! 생명은 계속 주어지는 선물이야.
Wheel_Pre |= 아기를 가질까? 방금 머리를 빗었지만 괜찮아.
Wheel_Pre |= 아기를 위해 노력할까? 좋은 결과가 있기를 바라자!
Wheel_Pre |= 그래서, 우리 가족을 늘리고 싶다고? 잠깐 정신 좀 차릴게. 좋아, 가자.
Wheel_Pre |= 아기를 가지려고? 날 위해서? 그럴 필요 없어.
Wheel_Pre |= 아기를 가지려고? 오팔에 데려다줘.
Wheel_Pre |= 낭만적이지 않아? 가자! 수레바퀴를 돌려서 아기를 가지러 가자!
Wheel_Pre |= 아기 시간? 그 콘돌은 청소했어?
Wheel_Pre |= 아기를 위해 도전할까? 게임을 시작하자!
Wheel_Pre |= 아기를 가질까? 여신의 축복이 있기를.
Wheel_Pre |= 아기 시간? 때가 됐어요!
Wheel_Pre |= 아기를 가질 시간이라고?! 수레바퀴를 돌리자!
Wheel_Pre |= 아기를 가질까? 충격에 대비해!
Wheel_Pre |= 로맨틱한 기분을 느끼며 아기를 갖고 싶어? 벌써 그 때가 되었나?
Wheel_Pre |= 아기를 가질 시간이야! 좋아, 하지만 쥐들이 듣고 있으니 조용히해.
Wheel_Pre |= 아기를 갖고 싶다고? 정말 간절하구나!
Wheel_Pre |= 우리가 아기를 가졌으면 좋겠어? 넌 밀가루를 가져와 난 고글을 찾을게.
Wheel_Pre |= 아기를 만들자! 자, 바퀴를 돌리자!
