Achievement_ItsRaw_Name |= 날것 그대로
Achievement_StuckInTheMiddleWithYou_Desc |= 최대한 깊은 곳을 여행한 후 미드우드를 클리어하세요.
Achievement_WhenTheGoingGetsTough_Name |= 힘들어질 때
Achievement_WhenTheGoingGetsTough_Desc |= 터프우드를 클리어하세요.
Achievement_TheToughGetGoing_Name |= 험난한 여정
Achievement_TheToughGetGoing_Desc |= 최대한 깊은 곳으로 이동한 후 터프우드를 클리어하세요.
Achievement_LikeABoss_Name |= 보스처럼
Achievement_LikeABoss_Desc |= 정예 몬스터를 처치하세요.
Achievement_CrackingCartography_Name |= 정밀 지도 제작
Achievement_CrackingCartography_Desc |= 한 곳에서 모든 지도석을 발견하세요.
Achievement_AllMappedOut_Name |= 모든 지도 표시
Achievement_AllMappedOut_Desc |= 모든 위치의 모든 지도석을을 발견하세요. 
Achievement_ABriarEngagement_Name |= 브라이어 약혼
Achievement_ABriarEngagement_Desc |= 브라이어로 여행하기.
Achievement_ParadiseFound_Name |= 낙원 발견
Achievement_ParadiseFound_Desc |= 티르 나 노그으로 여행하세요.
Achievement_TheRambleInTheBramble_Name |= 덤불 속 산책
Achievement_TheRambleInTheBramble_Desc |= 에버그린으로 여행하세요.
Achievement_VacuumPacked_Name |= 진공 포장
Achievement_VacuumPacked_Desc |= 보이드 여행.
Achievement_SuperCasanova_Name |= 슈퍼 카사노바
Achievement_SuperCasanova_Desc |= 모든 데이트 명소를 발견하세요.
Achievement_AbsoluteBeginners_Name |= 완전 초보자
Achievement_AbsoluteBeginners_Desc |= 마스터에게 기술을 배우세요.
Achievement_NowIAmTheMaster_Name |= 이제 내가 마스터
Achievement_NowIAmTheMaster_Desc |= 마스터에게 모든 기술을 배워보세요.
Achievement_ProficiencyCycling_Name |= 숙련도 사이클링
Achievement_ProficiencyCycling_Desc |= 모든 마스터의 모든 스킬을 배워보세요.
Achievement_HareRaisingPrices_Name |= 토끼 키우기 가격
Achievement_HareRaisingPrices_Desc |= 첫 번째 페어웨더 아이템을 구매하세요.
Achievement_WeveOnlyJustBegun_Name |= 이제 시작입니다
Achievement_WeveOnlyJustBegun_Desc |= 프롤로그를 완료하세요.
Achievement_DidntChickenOut_Name |= 겁먹지 않기
Achievement_DidntChickenOut_Desc |= 스토리 과제 가장 많은 닭을 죽이기 클리어.
Achievement_IsTheKidNapping_Name |= 아이가 낮잠을 자고 있나요?
Achievement_IsTheKidNapping_Desc |= 스토리 과제 실종된 아이를 클리어하세요.
Achievement_PumpedUp_Name |= 펌핑 업
Achievement_PumpedUp_Desc |= 스토리 과제 역병을 클리어하세요.
Achievement_AQuickJibberJabber_Name |= 빠른 잡담
Achievement_AQuickJibberJabber_Desc |= 스토리 과제 만남을 클리어하세요.
Achievement_ShameOnMe_Name |= 부끄러워
Achievement_ShameOnMe_Desc |= 스토리 과제 나를 두 번 속이기 클리어하기.
Achievement_MysteriesInSpades_Name |= 삽의 미스터리
Achievement_MysteriesInSpades_Desc |= 스토리 과제 과거를 묻다를 클리어하세요.
Achievement_ThreesTheCharm_Name |= 세 번째 행운
Achievement_ThreesTheCharm_Desc |= 스토리 과제 세 번째 행운을 클리어하세요.
Achievement_SnakeSolids_Name |= 뱀 덩어리
Achievement_SnakeSolids_Desc |= 스토리 과제 매력적인 웜을 클리어하세요.
Achievement_OFrabjousDayCalloohCallay_Name |= 오, 멋진 날! 칼루! 캘리
Achievement_OFrabjousDayCalloohCallay_Desc |= 스토리 과제 재버웍을 클리어하세요.
Achievement_YayBigSpender_Name |= 고액 지출자
Achievement_YayBigSpender_Desc |= 경매에서 승리하세요.
Achievement_CockAHoop_Name |= 콕-어-후프
Achievement_CockAHoop_Desc |= 마블 토스에서 최고 상금을 획득하세요.
Achievement_BeatTheBanker_Name |= 은행원 이기기
Achievement_BeatTheBanker_Desc |= 비명 지르기 또는 비명 지르지 않기에서 상위 3개 상품 중 하나를 획득하세요.
Achievement_ItWasFete_Name |= 축제였다
Achievement_ItWasFete_Desc |= 마을 대회에서 우승하세요.
Achievement_GoneToGloucester_Name |= 글로스터로 떠나기
Achievement_GoneToGloucester_Desc |= 포스터 박사의 웅덩이를 발견하세요.
Achievement_PlayItBackwards_Name |= 거꾸로 돌리기
Achievement_PlayItBackwards_Desc |= 사랑하는 동물에게 활력을 되찾아주세요.
Achievement_Pricebusters_Name |= 프라이스버스터!
Achievement_Pricebusters_Desc |= 유령 상인을 찾아보세요.
Achievement_EverEddy_Name |= 에버 에디
Achievement_EverEddy_Desc |= 소용돌이를 발견하세요.
Achievement_SecretShopper_Name |= 시크릿 쇼퍼
Achievement_SecretShopper_Desc |= 비밀 시장을 방문해 보세요.
Achievement_WouldEdwardWoodwardIfHeCould_Name |= 에드워드 우드워드가 할 수 있다면?
Achievement_WouldEdwardWoodwardIfHeCould_Desc |= 서머사이드 이벤트에 두 번째로 참석하세요.
Achievement_ThatWasMyFoot_Name |= 그건 내 발이었어
Achievement_ThatWasMyFoot_Desc |= 춤에 참여하세요.
Achievement_Disappointing_Name |= 실망스러운
Achievement_Disappointing_Desc |= 불의 축제에 참여하세요.
Achievement_IdRatherKeepTheCow_Name |= 차라리 소를 키울래
Achievement_IdRatherKeepTheCow_Desc |= 마법 콩 3개를 심습니다.
Achievement_WhyDidTheChickenCrossTheRoad_Name |= 닭은 왜 길을 건넜을까?
Achievement_WhyDidTheChickenCrossTheRoad_Desc |= 닭의 이동을 체험해 보세요.
Achievement_TheJaunting_Name |= 짧은 소풍
Achievement_TheJaunting_Desc |= 영혼의 산책을 경험하세요.
Achievement_FieldOfScreams_Name |= 비명의 들판
Achievement_FieldOfScreams_Desc |= 프레드 보리콘을 공격하세요.
Achievement_ClowningAround_Name |= 어릿광대
Achievement_ClowningAround_Desc |= 간질이는 톰 후크핑거에게 쫓기세요.
Achievement_ThereWillBeBlood_Name |= 피가 흐를 것입니다
Achievement_ThereWillBeBlood_Desc |= 핏빛 달이 뜬 동안 전투를 벌입니다.
Achievement_TotalCarnage_Name |= 총체적 대학살
Achievement_TotalCarnage_Desc |= 일식 중에 전투를 벌입니다.
Achievement_SpawnCamper_Name |= 스폰 캠퍼
Achievement_SpawnCamper_Desc |= 물고기 광란을 발견하세요.
Achievement_IsItSafeToEat_Name |= 먹어도 안전한가요?
Achievement_IsItSafeToEat_Desc |= 버섯 포자를 발견하세요.
Achievement_AllergySeason_Name |= 알레르기 시즌
Achievement_AllergySeason_Desc |= 꽃을 발견하세요.
Achievement_ALodeOfFun_Name |= 재미의 광맥
Achievement_ALodeOfFun_Desc |= 광석 러시를 발견하세요.
Achievement_SeeingStars_Name |= 별 보기
Achievement_SeeingStars_Desc |= 행운 행운 별을 목격하세요.
Achievement_InGoodGraces_Name |= 은혜를 입고
Achievement_InGoodGraces_Desc |= 여신에게 제물을 바치세요.
Achievement_ALiteralGodsend_Name |= 말 그대로 신의 선물
Achievement_ALiteralGodsend_Desc |= 여신으로부터 별 5개의 혜택을 받습니다.

Achievement_DyeingToBeDifferent_Name |= 남들과 다른 염색
Achievement_DyeingToBeDifferent_Desc |= 댄디 레온이 당신의 옷을 바꿔드립니다.
Achievement_BroSureYouWantThat_Name |= 형, 정말 그걸 원해?
Achievement_BroSureYouWantThat_Desc |= 카탈로그에 새 아이템을 선물로 받으세요.
Achievement_WelcomeToChoiceParalysis_Name |= 선택 마비를 환영합니다
Achievement_WelcomeToChoiceParalysis_Desc |= 카탈로그의 모든 아이템을 잠금 해제하세요.
Achievement_ThePlotThickens_Name |= 계획이 두꺼워지다
Achievement_ThePlotThickens_Desc |= 새로운 토지를 구입하세요.
Achievement_YouCantChooseYourFamily_Name |= 가족을 선택할 수 없습니다...
Achievement_YouCantChooseYourFamily_Desc |= 친구와 함께 첫 번째 조립 프로젝트를 완료하세요. 가족 말고요.
Achievement_TheFabFour_Name |= 팹 포 
Achievement_TheFabFour_Desc |= 3인 건축 프로젝트를 감독하고 완료하세요. 
Achievement_WhosThatTripTrapping_Name |= 저 여행용 덫은 누구야?
Achievement_WhosThatTripTrapping_Desc |= 퀼 주변의 모든 다리를 수리하세요.
Achievement_Hobbled_Name |= 절뚝거리며
Achievement_Hobbled_Desc |= 첫 번째 토템을 클리어하세요.
Achievement_FallenIdol_Name |= 타락한 우상
Achievement_FallenIdol_Desc |= 최대 레벨 토템을 클리어합니다.
Achievement_CopperLoadOfThis_Name |= 이것의 구리 부하
Achievement_CopperLoadOfThis_Desc |= 브론즈 챌린지를 클리어하세요.
Achievement_AMercuryPrize_Name |= 머큐리 상
Achievement_AMercuryPrize_Desc |= 실버 챌린지를 클리어하세요.
Achievement_SetTheBarHigh_Name |= 높은 기준 설정 
Achievement_SetTheBarHigh_Desc |= 골드 챌린지를 클리어하세요.
