FNF_CIRCLE_SOUTH_BRIDGE_NAME |= 서클 동쪽 다리
FNFCONVERSATION_HOUSE_2 |= 농담이 아니야! 아이들이 반짝반짝 빛나는 새 집을 볼 날을 손꼽아 기다릴 수 없을 거야!

FNFCONVERSATION_HOUSE_3 |= 커피 한 잔 줄래? 이 일 때문에 목이 말랐어.
FNFCONVERSATION_HOUSE_3 |= 컵파? 컵파의 즐거운 시간!

FNFCONVERSATION_HOUSE_4 |= 진전되고 있어! 흔들리던 문이 이제 화살처럼 곧게 뻗었어!
FNFCONVERSATION_HOUSE_4 |= 응, 그리고 느슨해진 경첩을 모두 조였어. 이제 더 이상 삐걱거리는 소리가 나지 않아!

FNFCONVERSATION_HOUSE_5 |= 여신님, 우리는 기름칠이 잘 된 기계와 같아요!
FNFCONVERSATION_HOUSE_5 |= 새집처럼 멋진 집을 빨리 보여주고 싶어!

FNFCONVERSATION_HOUSE_6 |= 그거 좀 줄래?
FNFCONVERSATION_HOUSE_6 |= 톱? 톱!

FNFCONVERSATION_HOUSE_7 |= 지붕이 벌써 좋아 보이네! 페인트칠은 어떻게 되가고 있어?
FNFCONVERSATION_HOUSE_7 |= 대박! 이 집은 새것처럼 멋지게 보일 거야.

FNFCONVERSATION_HOUSE_8 |= 망치 좀 넘겨줄래?
FNFCONVERSATION_HOUSE_8 |= 해머? '망치 타임'에 더 가깝지!

FNFCONVERSATION_HOUSE_9 |= 청소는 잘 돼가, 친구?
FNFCONVERSATION_HOUSE_9 |= 천천히, 꾸준히! 이 진흙은 늪보다 더 진하지.

FNFCONVERSATION_HOUSE_10 |= 밀어붙이고 있어! 바닥에서 삐걱거리는 소리는 덜하지만 무릎에 무리가 가네!
FNFCONVERSATION_HOUSE_10 |= 맞아, 그 완고한 도어록과 씨름했지. 그래도 마침내 성공했어!

FNFCONVERSATION_HOUSE_11 |= 으, 친구들! 이 망할 집 때문에 미칠 것 같아!
FNFCONVERSATION_HOUSE_11 |= 말해줘! 이 모든 일 때문에 손이 아파.

FNFCONVERSATION_HOUSE_12 |= 그 렌치 좀 던져줄래?
FNFCONVERSATION_HOUSE_12 |= 렌치? 내 등을 비트는 것과 비슷하지!

FNFCONVERSATION_HOUSE_13 |= 석고 수선 작업은 어떻게 되어가, 친구?
FNFCONVERSATION_HOUSE_13 |= 지치네! 먼지를 뒤집어썼어.

FNFCONVERSATION_HOUSE_14 |= 서두르고 있어! 바닥이 덜 삐걱거리긴 하지만 인내심이 바닥을 드러내고 있어!
FNFCONVERSATION_HOUSE_14 |= 녹슨 창틀과 싸워야 했지. 겨우 고쳤지만 얼마나 번거로웠는지 몰라!

FNFCONVERSATION_HOUSE_15 |= 아, 친구들! 이 집을 수리하는 건 정말 골치 아픈 일이지?
FNFCONVERSATION_HOUSE_15 |= 다시 말해도 돼! 온몸의 근육이 아파.

FNFCONVERSATION_HOUSE_16 |= 힘겹게 통과하고 있어! 벽에 패치가 되어 있지만 팔이 납처럼 느껴져!
FNFCONVERSATION_HOUSE_16 |= 맞아, 무성하게 자란 정원과 씨름했지. 마침내 길들여졌지만, 정말 힘든 싸움이었어!

FNFCONVERSATION_HOUSE_17 |= 우와, 친구들! 이 집을 고치는 게 생각보다 어렵네.
FNFCONVERSATION_HOUSE_17 |= 농담이 아니야! 허리가 엄청 아파.

FNFCONVERSATION_BRIDGE_1 |= 밧줄 좀 줄래?
FNFCONVERSATION_BRIDGE_1 |= 밧줄? 끊어지지 않기를 바랄 뿐이야!

FNFCONVERSATION_BRIDGE_2 |= 판자 교체는 어떻게 진행되고 있어?
FNFCONVERSATION_BRIDGE_2 |= 당밀처럼 느리네! 하지만 튼튼하고 안전할거야.

FNFCONVERSATION_BRIDGE_3 |= 열심히 일하고 있어! 느슨했던 난간이 드디어 조여졌네!
FNFCONVERSATION_BRIDGE_3 |= 맞아, 통로의 구멍을 메웠어. 이제 걸려 넘어질 위험은 없어!

FNFCONVERSATION_BRIDGE_4 |= 여신님, 우리는 다리 건설 여단이죠!
FNFCONVERSATION_BRIDGE_4 |= 당연하지! 걱정 없이 이 다리를 건너면 우리의 노고에 감사할거야!

FNFCONVERSATION_BRIDGE_5 |= 맙소사, 친구들! 이 낡은 다리를 수리하느라 돛에 바람을 뺀 거지?
FNFCONVERSATION_BRIDGE_5 |= 네가 말했잖아! 이 모든 일 때문에 손이 갑갑해.

FNFCONVERSATION_BRIDGE_6 |= 망치 좀 줄래?
FNFCONVERSATION_BRIDGE_6 |= 망치? 인내심을 망치질하는 것에 가깝지!

FNFCONVERSATION_BRIDGE_7 |= 케이블 조이는 건 어떻게 돼가나, 친구?
FNFCONVERSATION_BRIDGE_7 |= 힘들어! 하지만 방황하는 친구들을 위해 단단히 고정하고 준비할게!

FNFCONVERSATION_BRIDGE_8 |= 열심히 일하고 있지! 드디어 지지대가 강화되었어!
FNFCONVERSATION_BRIDGE_8 |= 널빤지 사이의 틈을 메웠어. 이제 더 이상 흔들리지 않아!

FNFCONVERSATION_BRIDGE_9 |= 여신님, 우리가 제공하는 이 안정된 길에 모두가 감사해야 할 거야!
FNFCONVERSATION_BRIDGE_9 |= 당연하지! 우리가 만들어준 튼튼한 다리를 보고는 우리를 찬양할 준비가 되어 있을 거야!

FNFCONVERSATION_BRIDGE_10 |= 우와, 친구들! 이 삐걱거리는 다리를 고치는 건 제대로 된 집안일이지?
FNFCONVERSATION_BRIDGE_10 |= 그렇지 않아! 너무 오래 서있어서 발이 아파.

FNFCONVERSATION_BRIDGE_11 |= 이음매 수리는 어떻게 되가고 있나, 친구?
FNFCONVERSATION_BRIDGE_11 |= 순조롭게 진행 중이지! 곧 바위처럼 단단해질 거야.

FNFCONVERSATION_BRIDGE_12 |= 열심히 작업 중이야! 난간이 드디어 곧게 펴졌어!
FNFCONVERSATION_BRIDGE_12 |= 그래, 썩은 널빤지도 교체했어. 더 이상 추락할 염려가 없어졌어!

FNFCONVERSATION_BRIDGE_13 |= 여신님, 우리는 다리 수리의 달인이야! 주민들이 우리의 노고를 인정해주겠지!
FNFCONVERSATION_BRIDGE_13 |= 당연하지! 우리가 만든 이 튼튼한 다리를 보고 축하할 준비가 되어 있을 거야!

FNFCONVERSATION_BRIDGE_14 |= 그 끌 좀 줄래?
FNFCONVERSATION_BRIDGE_14 |= 끌? 내 정신을 깎아먹는다는 표현이 맞겠지!

FNFCONVERSATION_BRIDGE_15 |= 볼트 조임은 잘 되고 있어, 친구?
FNFCONVERSATION_BRIDGE_15 |= 순조롭게 진행 중이야! 안정적이고 믿을 수 있을 거야.

FNFCONVERSATION_BRIDGE_16 |= 계속하고 있어! 드디어 기초가 튼튼해졌어!
FNFCONVERSATION_BRIDGE_16 |= 맞아, 돌의 갈라진 틈을 메웠어. 이제 더 이상 가장자리가 부서지지 않겠지!

FNFCONVERSATION_BRIDGE_17 |= 어휴, 이 폭파된 다리 고치는 게 신경이 쓰이는군!
FNFCONVERSATION_BRIDGE_17 |= 이봐, 힘내! 모두가 안전한 새 다리를 보고 얼마나 기뻐할지 생각해 봐!

FNFCONVERSATION_GENERIC_START_1 |= 오래 걸리겠군!
FNFCONVERSATION_GENERIC_START_1 |= 정말 그래! 그래도 도전해볼게.
FNFCONVERSATION_GENERIC_START_2 |= 이 정도면 만족스럽게 끝낼 수 있을 거야.
FNFCONVERSATION_GENERIC_START_2 |= 팀워크가 꿈을 이뤄줄 거야.
FNFCONVERSATION_GENERIC_START_3 |= 갈 길이 멀어!
FNFCONVERSATION_GENERIC_START_3 |= 하지만 그만한 가치가 있지.
FNFCONVERSATION_GENERIC_START_4 |= 얼마나 걸릴지 모르겠어!
FNFCONVERSATION_GENERIC_START_4 |= 너의 추측이 내 추측만큼이나 정확해.
FNFCONVERSATION_GENERIC_START_5 |= 철저하게 시작합시다!
FNFCONVERSATION_GENERIC_START_5 |= 맞아, 시간이 좀 걸릴지도 모르겠네.
FNFCONVERSATION_GENERIC_START_6 |= 이 작업의 크기를 조정해볼게.
FNFCONVERSATION_GENERIC_START_6 |= 해볼 만한 작업인 것 같아.
FNFCONVERSATION_GENERIC_START_7 |= 일을 시작할 시간이야.
FNFCONVERSATION_GENERIC_START_7 |= 친구란 그런 거지!
FNFCONVERSATION_GENERIC_START_8 |= 계획 좀 알려줄래?
FNFCONVERSATION_GENERIC_START_8 |= 여기 있어.
FNFCONVERSATION_GENERIC_START_9 |= 도와달라는 부탁을 받아서 반가웠어.
FNFCONVERSATION_GENERIC_START_9 |= 맞아, 그렇게 잘 아는 줄 몰랐어.FNFCONVERSATION_GENERIC_START_10 |= 도구를 확인했어?
FNFCONVERSATION_GENERIC_START_10 |= 맞아, 필요한 건 다 준비했어!
FNFCONVERSATION_GENERIC_START_11 |= 계획을 전달해줘.
FNFCONVERSATION_GENERIC_START_11 |= 여기 있어.
FNFCONVERSATION_GENERIC_START_12 |= 함께 일할 수 있기를 기대하고있어.
FNFCONVERSATION_GENERIC_START_12 |= 마찬가지로!
FNFCONVERSATION_GENERIC_START_13 |= 시작할 준비가 됐어?
FNFCONVERSATION_GENERIC_START_13 |= 난 준비됐어.
FNFCONVERSATION_GENERIC_START_14 |= 자료 확인 중이야.
FNFCONVERSATION_GENERIC_START_14 |= 준비 완료!
FNFCONVERSATION_GENERIC_MIDDLE_1 |= 잘 되기 시작했어요.
FNFCONVERSATION_GENERIC_MIDDLE_1 |= 응! 우리 모두가 자랑스러워.
FNFCONVERSATION_GENERIC_MIDDLE_2 |= 망치로 엄지손가락을 두드렸어.
FNFCONVERSATION_GENERIC_MIDDLE_2 |= 아야! 내 건 치지마.
FNFCONVERSATION_GENERIC_MIDDLE_3 |= 톱 좀 줄래?
FNFCONVERSATION_GENERIC_MIDDLE_3 |= 이거?
FNFCONVERSATION_GENERIC_MIDDLE_4 |= 누가 못을 숨겼지?
FNFCONVERSATION_GENERIC_MIDDLE_4 |= 미안해! 낮잠을 자고 있었어.
FNFCONVERSATION_GENERIC_MIDDLE_5 |= 빨리 퇴근하고 싶어!
FNFCONVERSATION_GENERIC_MIDDLE_5 |= 나도! 허리가 쑤셔.
FNFCONVERSATION_GENERIC_MIDDLE_6 |= 너무 힘들어!
FNFCONVERSATION_GENERIC_MIDDLE_6 |= 운동이 필요해.
FNFCONVERSATION_GENERIC_MIDDLE_7 |= 좋아 보이기 시작했어!
FNFCONVERSATION_GENERIC_MIDDLE_7 |= 나? 오, 고마워!
FNFCONVERSATION_GENERIC_MIDDLE_8 |= 나무가 얼마나 남았지?
FNFCONVERSATION_GENERIC_MIDDLE_8 |= 충분해. 걱정하지마.
FNFCONVERSATION_GENERIC_MIDDLE_9 |= 노크 노크.
FNFCONVERSATION_GENERIC_MIDDLE_9 |= 제발, 다시는 안 돼.
FNFCONVERSATION_GENERIC_MIDDLE_10 |= 내가 왜 이걸로 허리를 부러뜨리는지 상기시켜줘.
FNFCONVERSATION_GENERIC_MIDDLE_10 |= 친구와 가족, 그렇지?
FNFCONVERSATION_GENERIC_MIDDLE_11 |= 지금 당장 따뜻한 수프 한 잔 마시고 싶어.
FNFCONVERSATION_GENERIC_MIDDLE_11 |= 컵으로 수프를 마신다고? 이상하네.
FNFCONVERSATION_GENERIC_MIDDLE_12 |= 이거 좀 들어줄래?
FNFCONVERSATION_GENERIC_MIDDLE_12 |= 물론이지, 이거 좀 들어줄래?
FNFCONVERSATION_GENERIC_MIDDLE_13 |= 나한테.
FNFCONVERSATION_GENERIC_MIDDLE_13 |= 너에게.
FNFCONVERSATION_GENERIC_END_1 |= 이제 거의 다 왔어!
FNFCONVERSATION_GENERIC_END_1 |= 저건 그냥 톱밥이야.
FNFCONVERSATION_GENERIC_END_2 |= 정말 멋지네.
FNFCONVERSATION_GENERIC_END_2 |= 우리의 좋은 친구를 위해 그만한 가치가 있었어.
FNFCONVERSATION_GENERIC_END_3 |= 우리도 칭찬받아 마땅해.
FNFCONVERSATION_GENERIC_END_3 |= 소 쓰다듬기는 아니겠지?
FNFCONVERSATION_GENERIC_END_4 |= 얼마나 더?
FNFCONVERSATION_GENERIC_END_4 |= 거의 끝났어.
FNFCONVERSATION_GENERIC_END_5 |= 이 건축이 생각보다 빨리 끝났네.
FNFCONVERSATION_GENERIC_END_5 |= 모든 작업을 마쳤어...
FNFCONVERSATION_GENERIC_END_6 |= 제막식을 기다리는 중인가?
FNFCONVERSATION_GENERIC_END_6 |= 몇 시인지 볼게.
FNFCONVERSATION_GENERIC_END_7 |= 이 부분은 원래 칠할 예정이었어?
FNFCONVERSATION_GENERIC_END_7 |= 말하지 않으면 말하지 않겠어.
FNFCONVERSATION_GENERIC_END_8 |= 이건 정말 큰 일이었어.
FNFCONVERSATION_GENERIC_END_8 |= 그래, 하지만 할 일이었어!
FNFCONVERSATION_GENERIC_END_9 |= 얼마 안 남았어.
FNFCONVERSATION_GENERIC_END_9 |= 얼마 안 남았어.
FNFCONVERSATION_GENERIC_END_10 |= 조금만 더 조정하면 돼.
FNFCONVERSATION_GENERIC_END_10 |= 거의 다 끝났어.
FNFCONVERSATION_GENERIC_END_11 |= 이걸 부탁받아서 기뻤어.
FNFCONVERSATION_GENERIC_END_11 |= 나도. 도와줘서 고마워.
FNFCONVERSATION_GENERIC_END_12 |= 함께 일할 수 있어서 즐거웠어.
FNFCONVERSATION_GENERIC_END_12 |= 맞아, 즐거웠어. 고마워!
FNFCONVERSATION_GENERIC_END_13 |= 좋아 보이네.
FNFCONVERSATION_GENERIC_END_13 |= 아주 견고해. 고체용이야.
FNFCONVERSATION_GENERIC_END_14 |= 잘 견뎌낼 거야.
FNFCONVERSATION_GENERIC_END_14 |= 그러길 바라!
FNFCONVERSATION_GENERIC_END_15 |= 잘했어!
FNFCONVERSATION_GENERIC_END_15 |= 고마워! 너도.

FNFCONVERSATION_WINDMILL_START_1 |= 오래 걸리겠어!
FNFCONVERSATION_WINDMILL_START_1 |= 맞아! 그래도 도전해볼게.
FNFCONVERSATION_WINDMILL_START_2 |= 이게 내가 처음으로 작업하는 풍차야.
FNFCONVERSATION_WINDMILL_START_2 |= 마지막 풍차도 되길 바라! 이것의 크기를 봐.
FNFCONVERSATION_WINDMILL_START_3 |= 이 정도면 만족스럽게 끝낼 수 있을 거야.
FNFCONVERSATION_WINDMILL_START_3 |= 팀워크가 꿈을 이룰 거야.
FNFCONVERSATION_WINDMILL_START_4 |= 갈 길이 멀어!
FNFCONVERSATION_WINDMILL_START_4 |= 하지만 그만한 가치가 있을 거야.
FNFCONVERSATION_WINDMILL_MIDDLE_1 |= 잘 되기 시작했어.
FNFCONVERSATION_WINDMILL_MIDDLE_1 |= 맞아! 우리 모두가 자랑스러워.
FNFCONVERSATION_WINDMILL_MIDDLE_2 |= 망치로 엄지손가락을 두드렸어.
FNFCONVERSATION_WINDMILL_MIDDLE_2 |= 아야! 발가락을 치는 것보단 낫지!
FNFCONVERSATION_WINDMILL_MIDDLE_3 |= 톱 좀 줄래?
FNFCONVERSATION_WINDMILL_MIDDLE_3 |= 물론이야. 이걸 쓰면 윙윙거릴 거야.
FNFCONVERSATION_WINDMILL_MIDDLE_4 |= 누가 못을 숨겼어?
FNFCONVERSATION_WINDMILL_MIDDLE_4 |= 아, 미안해! 낮잠을 자고 있었어.
FNFCONVERSATION_WINDMILL_MIDDLE_5 |= 빨리 퇴근하고 싶어!
FNFCONVERSATION_WINDMILL_MIDDLE_5 |= 나도! 허리가 쑤셔.
FNFCONVERSATION_WINDMILL_MIDDLE_6 |= 너무 힘들어!
FNFCONVERSATION_WINDMILL_MIDDLE_6 |= 운동이 필요했어.
FNFCONVERSATION_WINDMILL_MIDDLE_7 |= 좋아 보이기 시작했어!
FNFCONVERSATION_WINDMILL_MIDDLE_7 |= 나? 오, 고마워!
FNFCONVERSATION_WINDMILL_MIDDLE_8 |= 나무가 얼마나 남았지?
FNFCONVERSATION_WINDMILL_MIDDLE_8 |= 충분해. 걱정하지마.
FNFCONVERSATION_WINDMILL_MIDDLE_9 |= 노크 노크.
FNFCONVERSATION_WINDMILL_MIDDLE_9 |= 멈춰줘.
FNFCONVERSATION_WINDMILL_MIDDLE_10 |= 잘 해결하고 있어.
FNFCONVERSATION_WINDMILL_MIDDLE_10 |= 하하!
FNFCONVERSATION_WINDMILL_MIDDLE_11 |= 이 풍차는 정말 힘들어.
FNFCONVERSATION_WINDMILL_MIDDLE_11 |= 넌 코미디언이 돼야겠어.
FNFCONVERSATION_WINDMILL_MIDDLE_12 |= 내가 왜 이걸로 허리를 부러뜨리는지 상기시켜줄래?
FNFCONVERSATION_WINDMILL_MIDDLE_12 |= 친구와 가족, 그렇지?
FNFCONVERSATION_WINDMILL_MIDDLE_13 |= 지금 당장 따뜻한 수프 한 잔 마시고 싶어.
FNFCONVERSATION_WINDMILL_MIDDLE_13 |= 컵으로 수프를 마셔요? 이상한 사람이네.
FNFCONVERSATION_WINDMILL_END_1 |= 이제 거의 다 왔어, 맛이 느껴져!
FNFCONVERSATION_WINDMILL_END_1 |= 저건 그냥 톱밥이야.
FNFCONVERSATION_WINDMILL_END_2 |= 이 풍차는 공학의 경이로움이야.
FNFCONVERSATION_WINDMILL_END_2 |= 빨리 돌려보고 싶네.
FNFCONVERSATION_WINDMILL_END_3 |= 그라인딩이 거의 끝났어!
FNFCONVERSATION_WINDMILL_END_3 |= 그리고 새로운 것이 시작될거야!
FNFCONVERSATION_WINDMILL_END_4 |= 이걸 만들 때 밀가루를 공짜로 받았으면 좋겠어.
FNFCONVERSATION_WINDMILL_END_4 |= 양파를 넣어야겠어.
FNFCONVERSATION_WINDMILL_END_5 |= 멋지네.
FNFCONVERSATION_WINDMILL_END_5 |= 우리의 좋은 친구를 위해 그럴 가치가 있었어.
FNFCONVERSATION_WINDMILL_END_6 |= 풍차, 대지를 위한 풍차.
FNFCONVERSATION_WINDMILL_END_6 |= 손을 맞잡고 영원히 돌아갈거야.
FNFCONVERSATION_WINDMILL_END_7 |= 거의 다 됐어. 이제 날개만 정리하면 돼.
FNFCONVERSATION_WINDMILL_END_7 |= 그리고 문에 경첩을 달자.
FNFCONVERSATION_WINDMILL_END_8 |= 우리도 칭찬받아 마땅해.
FNFCONVERSATION_WINDMILL_END_8 |= 소 쓰다듬는 소리는 아니겠지?

FNFCONVERSATION_COWSHED_START_1 |= 소 외양간을 짓자.
FNFCONVERSATION_COWSHED_START_1 |= 행복한 소를 만들자.
FNFCONVERSATION_COWSHED_START_2 |= 지을 준비가 되었어?
FNFCONVERSATION_COWSHED_START_2 |= 언제나처럼!
FNFCONVERSATION_COWSHED_MIDDLE_1 |= 소가 좋아하겠군.
FNFCONVERSATION_COWSHED_MIDDLE_1 |= 나도 들어가고 싶어!
FNFCONVERSATION_COWSHED_MIDDLE_2 |= 이 판자 좀 들어줄래?
FNFCONVERSATION_COWSHED_MIDDLE_2 |= 물론이지, 난 팔이 세 개나 있거든.
FNFCONVERSATION_COWSHED_END_1 |= 작은 디테일만 남았어.
FNFCONVERSATION_COWSHED_END_1 |= 그래도 가장 중요하지.
FNFCONVERSATION_COWSHED_END_2 |= 곧 공개할 준비가 되었어!
FNFCONVERSATION_COWSHED_END_2 |= 좋아! 잘했어!

FNFCONVERSATION_STAGE_START_1 |= 힘들겠는데.
FNFCONVERSATION_STAGE_START_1 |= 오, 제발! 쉬운 길로가자!
FNFCONVERSATION_STAGE_START_2 |= 자원?
FNFCONVERSATION_STAGE_START_2 |= 확인.
FNFCONVERSATION_STAGE_START_3 |= 저 비계를 올려보자.
FNFCONVERSATION_STAGE_START_3 |= 아무도 보지마!
FNFCONVERSATION_STAGE_MIDDLE_1 |= 무대가 웅장하게 준비되었어.
FNFCONVERSATION_STAGE_MIDDLE_1 |= 자신감이 넘치네.
FNFCONVERSATION_STAGE_MIDDLE_2 |= 몬스터가 이걸 파괴하지 않았으면 좋겠군.
FNFCONVERSATION_STAGE_MIDDLE_2 |= 오래도록 사용할 수 있도록 만들게.
FNFCONVERSATION_STAGE_MIDDLE_3 |= 저기 도움이 필요해?
FNFCONVERSATION_STAGE_MIDDLE_3 |= 아니. 괜찮아.
FNFCONVERSATION_STAGE_MIDDLE_4 |= 이것이 중심이 될 거야.
FNFCONVERSATION_STAGE_MIDDLE_4 |= 그리고 걸작이야!
FNFCONVERSATION_STAGE_MIDDLE_5 |= 계속 열심히 해보자.
FNFCONVERSATION_STAGE_MIDDLE_5 |= 우리가 사랑을 위해 하는 일들, 그렇지?
FNFCONVERSATION_STAGE_END_1 |= 곧 공개할 시간이야!
FNFCONVERSATION_STAGE_END_1 |= 정말 멋지네!
FNFCONVERSATION_STAGE_END_2 |= 엔지니어링의 위업이지!
FNFCONVERSATION_STAGE_END_2 |= 발이 아파!
FNFCONVERSATION_STAGE_END_3 |= 어떤 퍼포먼스에도 어울리네.
FNFCONVERSATION_STAGE_END_3 |= 최고 수준의 수리 작업이었어.
FNFCONVERSATION_STAGE_END_4 |= 이걸 재건하는 게 즐거웠어.
FNFCONVERSATION_STAGE_END_4 |= 우리 모두의 목공 실력이 놀랍군.
FNFCONVERSATION_STAGE_END_5 |= 저 커튼은 청소가 필요해.
FNFCONVERSATION_STAGE_END_5 |= 이걸 끝내고 나서 청소할게.

FNFCONVERSATION_JUNK_BLOCKAGE_START_1 |= 금방 끝낼 수 있을 거야.
FNFCONVERSATION_JUNK_BLOCKAGE_START_1 |= 진짜로 짓는 건 아니야, 그렇지?
FNFCONVERSATION_JUNK_BLOCKAGE_START_2 |= 금방 해결될 거야.
FNFCONVERSATION_JUNK_BLOCKAGE_START_2 |= 어떻게 해야 할지 모르겠네.
FNFCONVERSATION_JUNK_BLOCKAGE_MIDDLE_1 |= 이거 무겁네.
FNFCONVERSATION_JUNK_BLOCKAGE_MIDDLE_1 |= 팔을 들어 올리지.
FNFCONVERSATION_JUNK_BLOCKAGE_MIDDLE_2 |= 엉망진창이군.
FNFCONVERSATION_JUNK_BLOCKAGE_MIDDLE_2 |= 치욕적인 덤핑이네.
FNFCONVERSATION_JUNK_BLOCKAGE_END_1 |= 거의 다 왔어.
FNFCONVERSATION_JUNK_BLOCKAGE_END_1 |= 응, 다행히도.
FNFCONVERSATION_JUNK_BLOCKAGE_END_2 |= 이제 정체가 완화될 거야.
FNFCONVERSATION_JUNK_BLOCKAGE_END_2 |= 난 안 돼. 꽃가루 알레르기가 있어!

FNFCONVERSATION_MARKET_STALL_START_1 |= 이 가판대를 사용해 보자!
FNFCONVERSATION_MARKET_STALL_START_1 |= 말 그대로는 아니겠지?
FNFCONVERSATION_MARKET_STALL_START_2 |= 캐노피 기억나?
FNFCONVERSATION_MARKET_STALL_START_2 |= 물론이지! 그냥 집에 두고 왔어.
FNFCONVERSATION_MARKET_STALL_START_3 |= 이 건축을 즐겨보려고.
FNFCONVERSATION_MARKET_STALL_START_3 |= 나도! 여기서 무엇을 판매할지 궁금해?
FNFCONVERSATION_MARKET_STALL_START_4 |= 상인들을 끌어들일 수 있겠네.
FNFCONVERSATION_MARKET_STALL_START_4 |= 특히 우리가 잘 짓는다면 말이지.
FNFCONVERSATION_MARKET_STALL_START_5 |= 원래 가판대가 망가진 게 아쉽네.
FNFCONVERSATION_MARKET_STALL_START_5 |= 그렇긴 하지만 고칠 수 있어.
FNFCONVERSATION_MARKET_STALL_START_6 |= 빨리 여기서 쇼핑하고 싶어.
FNFCONVERSATION_MARKET_STALL_START_6 |= 우리가 만들면 사람들이 올 거야.
FNFCONVERSATION_MARKET_STALL_MIDDLE_1 |= 여유로운 건축이야.
FNFCONVERSATION_MARKET_STALL_MIDDLE_1 |= 그래, 네가 계속 낮잠을 자고 있긴 했지.
FNFCONVERSATION_MARKET_STALL_MIDDLE_2 |= 그만 멈춰!
FNFCONVERSATION_MARKET_STALL_MIDDLE_2 |= 그게 이 건축의 요점 아닌가?
FNFCONVERSATION_MARKET_STALL_MIDDLE_3 |= 거기 표시 좀 해줄래?
