WFIntroT1 |= 여기 있었구나!
SummertideYear1T2 |= 만세
SummertideYear1T2 |= 예이!
SummertideYear1T3 |= 이 영광스러운 날은 베일의 여신 드루이다가 다른 사람들보다 먼저 서서 우리의 보잘것없는 제물에 팔을 벌리는 날입니다.
SummertideYear1T4 |= 태양의 계절이 끝나가는 것을 축하하고 알찬 수확을 맛볼 수 있도록 축복을 구하는 날입니다.
SummertideYear1T5 |= 과수원의 여왕을 축하합니다!
SummertideYear1T6 |= 드루이다는 우리를 지켜보면서, 그녀의 사랑은 성장을 가져올 것이고, 굶주림을 막을 것이며, 질병으로부터 그리고 다가올 추운 겨울로부터 우리를 보호할 것이다.
SummertideYear1T7 |= 자, 서머타이드의 기도를 말씀드리겠습니다.
SummertideYear1T8 |= 오, 과수원의 여신이여.
SummertideYear1T9 |= 여름의 조류가 물러간다.
SummertideYear1T10 |= 감사를 드리는 저희에게 열매를 주소서.
SummertideYear1T11 |= 우리는 베일입니다.
SummertideYear1T12 |= 우리는 퀼입니다.
SummertideYear1T13 |= 드루이다의 뜻에 따라 고개를 숙입니다..
SummertideYear1T14 |= 서머타이드의 씨앗들이 나서서 선택을 준비합니다.
SummertideYear1T15 |= 알다시피, 오직 한 사람만이 드루이다에게 우리의 제물을 바칠 수 있습니다. 오직 한 사람만이 베일에서 가장 위대한 명예를 위해 선택됩니다.
SummertideYear1T16 |= 이제 우리의 관습처럼 드루이다의 시선을 중재자에게 내리도록 하세요.
SummertideYear1T17 |= 드루이다가 쌍둥이 중 한 명을 골랐어! 오, 영광스러운 날! 말해봐, 얘야. 어느 쪽이 우리의 여름의 전령이 될까?
SummertideYear1T17Alt |= 드루이다가 선택했어요! 오, 영광스러운 날이군요! 우리에게 말해주세요, 중재자님. 어느 쪽이 서머타이드의 전령이 될까요?
SummertideYear1T18 |= 흐랴아
SummertideYear1T18 |= 만세
SummertideYear1T18 |= 예이!
SummertideYear1T19 |= 좋아! 우드펠로우 헤럴드로 들어가렴! 너는 드루이다의 포옹을 느낄 수 있는 오팔로 우리의 제물을 가져갈 준비가 된 축복받은 영혼으로 이생을 떠나게 된단다!
SummertideYear1T20 |= 그녀의 정화하는 빛을 받아보렴! 아, 여신께 영광을!
SummertideYear1T21 |= 그들이 없어졌어! 그리고 그들은 네가 선택하도록 만들었어! 난 믿을 수가 없어.
SummertideYear1T22 |= 나는 여기서 일이 잘 될 거라고 생각했는데, 그의 말은 모두 사실이었어.
SummertideYear1T23 |= 그냥 꿈이 아니었어...
UnwellOutroT1 |= 해냈어! 벌써, 기분이 훨씬 좋아졌어! 마치 엄청난 증오의 무게가 걷힌 것 같아. 여신들이 너를 축복하는구나. 보상으로 이 책을 받아주렴. 이 책은 우리 워마쉬 사람들에 대해 더 많이 알려주지. 통찰력을 얻을 수 있을 거야. 오, 즐거운 하루되렴!
JWWillowdownT1 |= 환영한다, 꿈꾸는 자여,\n전설을 향한 여정은 이제 끝났다.\n증오의 야수를 죽이고, 가장 순수한 불로 그 심장을 깨끗이 씻었다.
JWWillowdownT2 |= 그 머리를 저기 지하실에\n정성껏 묻어두었으니,\n이제 다음 필요까지\n편히 쉬면서 씨앗과 함께 생명을 키워라.
JWWillowdownT3 |= 행복한 토끼가 되어라,\n네가 자랑스럽구나,\n네가 하고 싶은 건 뭐든 할 수 있어,\n내가 끝까지 함께 하마.
JWWillowdownT4 |= 만들어진 전설은 계속될 될테니,\n책으로 이야기되고 노래로 불려질 거야,\n오늘도 너를 위해 만세 삼창을 외치자!
형제OutsideTombT1 |= 저거... 정말 너야?!\n고대 무덤에서 귀신을 본 것 같은 표정으로 나오는 내 동생?!\n어떻게 지냈어?!\n정말 많이 컸네! 거기서 뭐가 좀 찾았어?
형제OutsideTombT2 |= 정말 놀라워! 아마 이것은 '쌍둥이'일 거야. 왜냐하면 나도 너와 똑같이 거기에 있었고 심판를 받았기 때문이지. 나는 자유 시간을 탐험으로 보냈고 꽤 능숙해졌지! 미리어는 나를 마스터로 만들어줬어! 응, 맞아, 너의 쌍둥이이자 진정한 탐험의 대가가되었지.
형제OutsideTombT3 |= 나는 네가 놀라운 잠재력과 사명을 가지고 있다는 사실이 기뻐. 터프우드는 뭔가 문제가 있다는 걸 항상 알고 있었어. 내가 가는 곳마다 그 악이 더 넓은 세상으로 스며들고 있다는 느낌이 들었지. 나는 터프우드가 내려다보이는 서쪽 스톤크라운에 살고 있어. 언제든 나를 찾아와도 좋아! 조건만 충족한다면 탐험에 대해 가르쳐줄 의무가 있으니까!
형제OutsideTombT4 |= 아, 그리고 0서클의 큰 돌다리가 고쳐진 것을 봤을거야. 좋은 친구들을 모아서 해결했어. 
형제OutsideTombT5 |= 이제 고양이 밥을 주러 가야 해. 다시 만나서 정말 반가웠어. 네가 자랑스럽고 나도 자랑스러워해줘서 고마워. 정말 멋진 듀오네! 잘 지내, 게으름뱅이.
NPCFuneralOutlaneT1 |= 우리는 <VAR1>을 기리기 위해 이 자리에 모였습니다.\n우리는 그들의 껍데기를 바다에 바칩니다.
NPCFuneralOutlaneT2 |= 자연은 그들을 다시 생명의 순환으로 맞이합니다.\n그들의 변화가 우리 세상에는 기쁨을, 그들에게 행복을 가져다주길 바랍니다.
NPCFuneralOutlaneT3 |= 여신이 그들을 축복하소서\n여신을 축복하소서.
NPCFuneralOutlaneT4 |= 모두의 친구여, 안녕히 가소서\n바다가 당신을 잘 데려가길.
NorthGateOpenT1 |= 비극과 페이의 거래! 허버트는 그런 것들을 알고 있지. 허버트는 네가 찾는 것이 무엇인지 알고 있어. 이제 성인이 되었으니 문을 통과하여 찾을 수 있어!
NorthGateOpenT2 |= 서클을 찾아라! 모험과 위험이 가득한 저 너머의 세계가 기다리고 있다! 허버트가 너의 안녕을 기원하마. 
NorthGateOpenT3 |= 자신을 보호해야 한다면 이 문 너머 리버무어에 있는 마스터 조곤을 찾아가봐. 어서 가!
FrogmarshOpenT1 |= 건강하지 못한 몸을 정화할 수단이 있나? 그럼 내가 문을 열어주지.
FrogmarshOpenT2 |= 경고한다. 이제 곧 드라운웰에 진입한다. 어떤 대가를 치르더라도 그를 피해. 사방에 놓아둔 양초가 그를 가두고 있어. 그에게 붙잡히지 마. 그는 어두워지고 무덤이 열릴 때만 나오지. 조심해!
NorthGateNoiseT1 |= 내가 봤다니까, 맞아, 봤다고! 돼지만한 똥을!
NorthGateNoiseT2 |= 숲 밖에 괴물이 있다는 거야?
NorthGateNoiseT3 |= 맞아, 맞아! 허버트가 정확히 그렇게 말했어!
NorthGateNoiseT4 |= 정말 믿을 수가 없어...
NorthGateNoiseT5 |= 그게 뭐였지?
NorthGateNoiseT6 |= 허버트가 말했잖아!
NorthGateNoiseT7 |= 그건 그냥 천둥일 뿐이야. 응, 그냥 천둥일 뿐이야.
ParentDream2T1 |= 아, 드디어 집에 왔어. 발을 쉬게 하면서 베리 주스 한잔 마셔야겠다.
ParentDream2T2 |= 맞아, 우리는 먼 길을 걸었어! 발을 들어주면 다과를 가져줄게.
ParentDream2T3 |= 잠시만! 내가 생각하는 그런 건가?!
ParentDream2T4 |= 어머나! 저건! 황새가 배달을 하고 있어!
ParentDream2T5 |= 고마워, 황새야! 신들의 축복이 있기를! 우리는 아기가 생겼어!
ParentDream2T6 |= 아기들?!
ParentDream2T7 |= 쌍둥이! 맞아! 쌍둥이가 생겼어!
ParentDream1T1 |= 아하! 내가 방금 찾은 것 좀 봐!
ParentDream1T2 |= 뭐 신나는 거라도 있어?
ParentDream1T3 |= 완벽한 연인의 송로버섯이야. 지금까지 우리 정원에 묻혔다는 게 믿기지 않아!
ParentDream1T4 |= 나랑 같은 생각하고 있어?
ParentDream1T5 |= 그럴 수도 있을 것 같아! 한번 해보자! 어쩌면 이번에는 운이 좋게 아이를 갖게 될 수도 있어요!
ParentDream1T6 |= 정말 그랬으면 좋겠어!
형제MeetupT1 |= 너구나! 네가 왔어! 만나서 정말 반가워! 너는 잘 있었어?
형제MeetupT2 |= 내가 흥분한 것처럼 보였다면 미안해. 내가 발견한 것이 있어서 바로 말해야겠어. 그랜드 마스터에 대해 들어봤어? 아니면 여기 동쪽에 있는 서클? 그곳에 바위에 박힌 이상한 문이 있어. 최근에 그 문에 대한 꿈을 자주 꾸고 있어서 조사를 좀 해보기로 했어. 내 가설에 따르면 서클은 실제 그랜드 마스터들이 묻힌 곳이야. 그들은 계약에 서명하고 미리어를 지키는 사람들이었지. 문 앞에는 잠재력이 높은 자에게만 출입을 허용하는 발판이 있어. 그 위에 서 보았지만 아무 일도 일어나지 않았어. 시도해 볼래?
형제MeetupT3 |= 내가 떠난 후로 우리가 한 번도 만난 적이 없었지, 그런데 여기서 고대 비밀에 대해 떠들고 있네! 안으로 들어가서 제대로 따라잡자...
형제MeetupT4 |= 그래서 그게 네가 한 일이구나, 그렇지? 흠, 좀 이상하게 들리네.
형제MeetupT5 |= 세상에! 시간 좀 봐! 내 민들레가 적당히하라고 하네.
형제MeetupT6 |= 만나서 반가웠어. 진전이 있으면 어떻게 진행되는지 알려줘. 그리고 터프우드를 피해! 그 곳은 소름끼쳐. 그곳에서 뭔가가 나를 감시하는게 분명해. 증오가 끓어오르는 게 느껴져. 그래도 내 마음은 강하지. 저건 날 못 잡아!
형제MeetupT7 |= 몸 조심해. 그리고 다시 만나자.
GrandmasterIntroT1 |= 우리는 여신의 고향인 오팔로 가는 길을 지키는 세 명의 그랜드마스터다. 방금 통과한 돌문을 통해 우리를 만날 수 있으니, 너는 미리어를 들여다볼 자격이 있다고 여겨지는군.
GrandmasterIntroT2 |= 이제 네가 우리 앞에 서서 거울을 바라보는 동안 네게 오팔의 자격이 있는지 살펴볼 것이다.
GrandmasterIntroT3 |= 뭔가 잘못됐어! 어떻게 이렇게 빨리 우리 앞에 서게 된 거지? 넌 아직 위대한 업적을 이루지 못했어! 하지만 여신들은 이 홀에서 우리 앞에 섰던 그 누구보다 네게서 더 많은 것을 본 것 같군.
GrandmasterIntroT4 |= 정말 이례적인 일이지만 미리어가 우리에게 말을 건넸어. 우리 세 명이 너를 가장 중요한 임무로 인도해야 한다는 메시지가 분명하다.
GrandmasterIntroT5 |= 오팔에 들어가기 위한 너의 가치를 증명할 전설 임무가 기다리고 있다.
GrandmasterIntroT6 |= 나는 라이트다. 페이와의 전쟁에서 사용된 도구와 무기를 만든 사람이 바로 나지. 평화를 위한 계약이 체결되었을 때, 나는 내 지식을 두 세계 사이에 묶어 잃어버리거나 오용되지 않도록 내 목숨을 희생했다.
GrandmasterIntroT7 |= 너에게 주어진 임무는 길고 어려울 것이다.
GrandmasterIntroT8 |= 터프우드의 가장 어둡고 깊은 곳에서 온 고대 생명체, 무시무시한 재버워크가 퀼 전역에 순수한 증오를 퍼뜨리고 있다!
GrandmasterIntroT9 |= 어떤 필멸의 무기로도 죽일 수 없지. 하지만 보팔 검은 그 어두운 심장을 뚫을 수 있는 유일한 검이다.
GrandmasterIntroT10 |= 오래 전에 내 손으로 직접 만든 이 검은 전설 속의 한 사람만이 휘두를 수 있었지.
GrandmasterIntroT11 |= 원래의 검은 전쟁 중에 사라졌지만 대장장이의 대장간은 여전히 존재하며, 검을 만드는 데 사용된 광석은 여전히 땅속 깊은 곳에서 채굴할 수 있다. 하지만 이 검은 전설 속 인물만이 휘두를 수 있다.
GrandmasterIntroT12 |= 전설이 되려면 그랜드마스터들과 함께 명성을 높여야 한다. '평판'을 획득하면 '명성' 레벨이 잠금 해제되어 성장에 도움이 될 선물을 받을 수 있다.
GrandmasterIntroT13 |= 나는 치유사다. 내 말을 잘 들어라. 우리 각자는 앞으로의 모험을 위해 너를 위한 특별한 선물을 가지고 있다.
GrandmasterIntroT14 |= 평판 단지를 주겠다. 이를 통해 전설적인 신분으로 올라가는 데 필요한 재화인 명성을 모을 수 있다. 상점을 소유할 때마다, 고객을 만족시킬 때마다, 몬스터를 처치할 때마다, 임무를 완수할 때마다 REP를 획득할 수 있다. 항아리가 채워질 때마다 이곳으로 돌아오면 새로운 아이템을 선물받을 것이며 이야기가 계속 펼쳐질 것이다. 상점을 소유하는 것부터 시작하면 곧 경험치를 빠르게 모을 수 있다.
GrandmasterIntroT15 |= 나는 상인이다. 내가 너에게 주는 선물은 현명하게 사용하면 퀼의 다른 어떤 사업보다 더 큰 성공을 거둘 수 있는 마법의 장부를 이용할 수 있는 권환이다. 이제 장부는 네가 방문하는 모든 상점의 카운터에 놓이게 된다. 장부 페이지에서 직원을 고용하고, 해고하고, 일정을 관리하고, 계정을 관리하고, 특전을 얻을 수 있다.
GrandmasterIntroT16 |= 원하는 사업을 구매하는 데 사용하라.
GrandmasterIntroT17 |= 내가 너에게 주는 선물은 다른 것보다 덜 거창하지만 도움이 될 거다. 오래전 내가 길을 잃고 외로울 때 만든 반지지. 우정의 반지다. 우정을 쌓을 때 더 많은 우정 포인트를 얻을 수 있다.
GrandmasterIntroT18 |= 그러니 지금 바로 떠나서 전설이 되어라. 검을 획득하고 재버워크을 처치하라. 퀼을 증오에서 해방시켜야 한다.
GrandmasterIntroT19 |= 이 임무를 완수하면  오팔의 여신의 궁전에 있는 상과 불멸에 한 걸음 더 가까워질 것이다.
GrandmasterIntroT20 |= 작별이다.
StonecrownJWT1 |= 영웅이야! 네가 해냈어! 재버워크를 죽였으니 이제 증오는 과거의 일이 되었어! 지금 네가 정말 자랑스러워.
StonecrownJWT2 |= 하지만 함께 꿈을 이뤄냈으니 역사책에 내 이름도 올라갔으면 좋겠어.
StonecrownJWT3 |= 오, 영광스러운 날이야! 당장 그랜드 마스터들을 만나러 가자! 만세!
CunningPlotsSceneT1 |= 이미 말했잖아, 치우지 않을거라고.
CunningPlotsSceneT2 |= 내가 어지른 게 아니잖아! 내가 마을에 못 들어가게 하려고 저기 버리는 거 봤어.
CunningPlotsSceneT3 |= 파! 말도 안 돼 풍차를 몰래 사용하려는 나를 막으려고 여기다 버렸잖아.
CunningPlotsSceneT4 |= 아! 인정하는 거야?!
CunningPlotsSceneT5 |= 난 그런 적도 없고 맷돌에 접착제를 붓지도 않았어.
CunningPlotsSceneT6 |= 다시 한번 해보고 얼마나 많은 호박이 방귀 가스로 가득 차는지 봐라.
CunningPlotsSceneT7 |= 그게 너였구나!
CunningPlotsSceneT8 |= 난 그런 적 없어요!
CunningPlotsSceneT9 |= 나도야! 어쨌든 난 이 난장판을 치우지 않을 거야.
CunningPlotsSceneT10 |= 하아, 누군가가 나타나서 이 문제를 해결해줄 거야. 항상 한 명의 착한 사람이 있지.
CunningPlotsSceneT11 |= 맞아, 그거지.
TwangingTotemsIntroT1 |= 아하! 저기 있네!
TwangingTotemsIntroT2 |= 저게 사라질 때까지 나오지 않을 거야! 제발 도와줘!
TwangingTotemsIntroT3 |= 숲에서 나와서 귀찮게 하는 저 두 녀석에게 새 장난감이 생겼네. 누가 줬을까나?
TwangingTotemsIntroT4 |= 저 균열 보이지? 전에 홈스테드에서 본 적이 있어. 강력한 힘이 너무 가까이 가지 못하게 막았지만 이것도 똑같아 보여. 조사해 볼래? 하지만 위험에 대비해야돼!
TwangingTotemsIntroT5 |= 모든 작전이 홉과 롭을 있는 지역으로 끌어들이는 것 같아. 역병은 이 지역의 모든 재화를 황폐화시키지. 내 생각에는 그 균열을 없애고 토템을 파괴해야 할 것 같아! \n아마도 홉들도 함께 사라져 우리 모두 평화롭게 남겨두겠지.
NPCStory_Like_EdnaTeapottT1 |= 내가 이그나티우스와 결혼했던 거 알고있니?
NPCStory_Like_EdnaTeapottT2 |= 사랑해.
NPCStory_Like_EdnaTeapottT3 |= 나도 사랑해.
NPCStory_Like_EdnaTeapottT4 |= 그러다 에드워드와 홀리라는 젊은 커플이 이사왔고, 조금 지저분해졌다고 해두마.
NPCStory_Like_EdnaTeapottT5 |= 이 비밀을 지켜야 해.
NPCStory_Like_EdnaTeapottT6 |= 그들이 알면 안 돼.
NPCStory_Like_EdnaTeapottT7 |= 어느새 파트너가 바뀌었어.
NPCStory_Like_EdnaTeapottT8 |= 난 널 떠날 거야.
NPCStory_Like_EdnaTeapottT9 |= 사랑의 영혼은 떠났어.
NPCStory_Like_EdnaTeapottT10 |= 이건 운명이었어.
NPCStory_Like_EdnaTeapottT11 |= 우린 퍼즐처럼 딱 맞아.
NPCStory_Like_ArthurBrownT1 |= 어떤 동굴에 갔는데 내가 먹어본 모든 동물들이 거기에 있었고, 나에게 그것들을 먹어보라고 하더군. 서로 가장 맛있다고 경쟁하는 것 같았어.
NPCStory_Like_ArthurBrownT2 |= 안녕, 아서, 한 입 먹을래?
NPCStory_Like_ArthurBrownT3 |= 내 고기는 매우 부드러워.
NPCStory_Like_ArthurBrownT4 |= 와서 한 입 먹어봐, 아서.
NPCStory_Like_ArthurBrownT5 |= 너는 전에 우리를 먹었잖아. 어디가 안 좋아?
MusicFestivalT1 |= 안녕, 유령들아?! 다시 죽을 때까지 흔들 준비가 되었나? 5999년처럼 파티를 즐길 준비가 되었냐고? 여기 있다! 전설들이 죽음에서 돌아왔지만, 사실 그들은 여전히 죽어 있지.
MusicFestivalT2 |= 그들은 너를 퇴마하기 위해 여기 있지... 투명한 손을 공중에 올려 천둥 폭발 퇴마를 받으라고!
MusicFestivalT3 |= 예에!
MusicFestivalT3 |= 난 준비됐어!
MusicFestivalT3 |= 몸은 없지만 준비는 끝났어!
MusicFestivalT3 |= 덤벼라! 
MusicFestivalT3 |= 날 흔들어라!
MusicFestivalT3 |= 더 이상은 안 돼!
MusicFestivalT3 |= 저거 18인치짜리 페이 헨지야?
MusicFestivalT3 |= 맘에 들어!
MusicFestivalT3 |= 날 쫓아내라!
MusicFestivalT3 |= 좋았어!
MusicFestivalT3 |= 편안한 의자처럼 흔들리네!
MusicFestivalT3 |= 난 편안하게 죽었어
MusicFestivalT3 |= 우우우!
MusicFestivalT3 |= 좋아!
MusicFestivalT3 |= 기분이 좋아지네요!
MusicFestivalT3 |= 우린 이 마을을 로큰롤 위에 세웠어.
MusicFestivalT3 |= 곧 썩을 자들을 위해!
MusicFestivalT3 |= 번개를 타고... 다시!
MusicFestivalT4 |= 우린 락!
MusicFestivalT5 |= 영적이었어!
MusicFestivalT6 |= 우린 썬더블라스트 엑소시즘이야! 모두들 고맙고 좋은 사후세계 되라고!
MusicFestivalT7 |= 정말 최고였어! 말 그대로 귀지가 녹아내렸어! 나나나나나나나나나난!
MusicFestivalT8 |= 다음에 또 보자, 멋진 친구. 멍청하다고 하기에는 너무 멋지군.
GrandmasterTier9SiblingT2 |= 네가 여기 있을 거라고 들었어. 나는 너를 따라서 여기까지 와서 조용히 듣기로 결정했기 때문에, 여기 있는 거야. 너의 놀라운 명성에 대해서는 나중에 제대로 축하해 줄게.
GrandmasterTier9SiblingT3 |= 메테오라이트? 찾기가 아주 어려운 광물이라며. 흠, 생각 좀 해볼게...
GrandmasterTier9SiblingT4 |= 흠, 궁금한데...
GrandmasterTier9SiblingT5 |= 혹시 단단한 암석에 대해 잘 아는 사람이 있을까?
NPCStory_Friendly_HazelNuttT1 |= 나는 그가 나를 어깨에 올려 별을 만질 거라고 생각했어.
NPCStory_Friendly_HazelNuttT2 |= 아, 사과네!
NPCStory_Friendly_HazelNuttT3 |= 그가 한 일은 과일을 먹고 변기에 앉아 책을 읽는 것뿐이었지.
NPCStory_Friendly_HazelNuttT4 |= 아직 30분은 더 남았을 거야.
NPCStory_Friendly_HazelNuttT5 |= 좀 더 시간이 걸릴 예정이야. 이 책은 흥미진진하군.
NPCStory_Friendly_HazelNuttT6 |= 아직 거기 있어?
NPCStory_Friendly_HazelNuttT7 |= 여보세요?
NPCStory_Friendly_HazelNuttT8 |= 허?
NPCStory_Love_TheresaBrownT1 |= 아서!
NPCStory_Love_TheresaBrownT2 |= 이게 어디서 왔는지 모르겠어! 난 정직하다고!
NPCStory_Love_TheresaBrownT3 |= 어떻게 그럴 수가 있어? 우리는 채식주의자야!
NPCStory_Love_TheresaBrownT4 |= 나는 너무 약해! 나는 단지 뭔가 요리가 필요했다고! 고기맛이 나는 뭔가가!
NPCStory_Love_TheresaBrownT5 |= 정말 미안해!
NPCStory_Love_PatCoweT1 |= 페피! 파란 귀 파리처럼 뛰어다니지 말고 얌전히 있을래?!
NPCStory_Love_PatCoweT2 |= 소즈 팝스
NPCStory_Love_PatCoweT3 |= *트리클*
NPCStory_Love_PatCoweT4 |= 비거!
NPCStory_Like_BettyScrumpyT1 |= 내 페이스트리, 글쎄, 내 페이스트리는 유령 나비보다 더 가벼웠어! 내가 속을 채우기 위해 일반 사과가 아닌 가스 찬 사과를 잘못 사용한 것이 안타까울 뿐이야.
NPCStory_Like_BettyScrumpyT2 |= <anim_wave>*Parp*
NPCStory_Like_BettyScrumpyT3 |= <anim_wave>*Toot*
NPCStory_Like_BettyScrumpyT4 |= <anim_wave>*Barooom*
NPCStory_Like_BettyScrumpyT5 |= <anim_wave>*Frrrp*
NPCStory_Like_BettyScrumpyT6 |= <anim_wave>*Toot*
NPCStory_Like_BettyScrumpyT7 |= <anim_wave>*Parp*
NPCStory_Like_BettyScrumpyT8 |= <anim_wave>*Honk*
NPCStory_Like_TomCoweT1 |= 일을 하면서 휘파람을 불어라. 웁디두
NPCStory_Like_TomCoweT2 |= 흠, 오늘 부자가 될지 궁금해
NPCStory_Like_TomCoweT3 |= 이게 뭘 두드리는 소리야?
NPCStory_Like_EdwardWoodT1 |= 꼭 가야 해?
NPCStory_Like_EdwardWoodT2 |= 공평하잖아. 지난번에도 가야 했잖아.
NPCStory_Like_EdwardWoodT3 |= 그래, 하지만 그건 심플우드였지. 지금 터프우드에 대해 얘기하고 있잖아.
NPCStory_Like_EdwardWoodT4 |= 소문만큼 나쁘진 않아. 확실해. 거트루드 시그널이 거기서 나올 수 있다면 나도 나올 수 있어.
NPCStory_Like_EdwardWoodT5 |= 그냥 느낌이 안 좋은데...
NPCStory_Like_EdwardWoodT6 |= 요리 때문이겠지 칼을 갈고 올 테니 데이지 좀 봐줘.
NPCStory_Like_EdwardWoodT7 |= 데이지에게 무슨 일이 생기면 내가 항상 곁에 있을게, 내 사랑 구스베리
NPCStory_Like_EdwardWoodT8 |= 내 말을 들었으면 좋았을 텐데. 그저 네 자신을 증명하기 위해 간 거야. 넌 아무것도 증명할 필요가 없었어, 내 사랑.
NPCStory_Love_RogerReadilyT1 |= 그게 다였어? 누군가가 팔레트 교환으로 집을 칠하는 것을 보는 것만큼 흥미진진했어.
NPCStory_Love_RogerReadilyT2 |= 어디에 있을까?
NPCStory_Like_PoppySeedT1 |= 사랑이라는 늙은 은둔자가 있었는데, 내 마음속에 비둘기처럼 살고 있었지...
NPCStory_Like_PoppySeedT2 |= 오래된 녹색 언덕 아래에 여관, 즐거운 오래된 여관이 있었지.
NPCStory_Like_PoppySeedT3 |= 거기서 우리는 저작권 침해를 피했지...
NPCStory_Like_PoppySeedT4 |= 끔찍하다!
NPCStory_Like_PoppySeedT5 |= 우리가 아는 걸 불러줘.
NPCStory_Like_PoppySeedT6 |= 춤도 못 춘다.
NPCStory_Like_PoppySeedT7 |= 뿌우!
NPCStory_Like_NerysNailT1 |= 오! 이거 너무 좋아!
NPCStory_Like_NerysNailT2 |= 아름다워요! 정말 놀라운 색깔이네!
NPCStory_Like_NerysNailT3 |= 어머! 진짜 터지네!
NPCStory_Like_NerysNailT4 |= 정말 놀랍도록 깊은 갈색이다!
NPCStory_Love_DickTurnipT1 |= 나는 오늘 너무 슬퍼! 내 턱수염은 빳빳하고, 내 아랫도리는 물고기를 겁내지 않아.
NPCStory_Love_DickTurnipT2 |= 오늘은 날개가 부슬부슬 빛나지 않아. 정말 기분이 우울하네.
NPCStory_Love_DickTurnipT3 |= 아, 내 쓸데 없는 포플! 그 사람은 나를 쇼핑하러 데려가느니 버섯 위에 앉는 걸 더 좋아해.
NPCStory_Love_DickTurnipT4 |= 하하하!
NPCStory_Love_DickTurnipT5 |= 춤 좀 봐!
NPCStory_Love_DickTurnipT6 |= 우우! 오늘 그게 필요했어.
NPCStory_FriendlyEunLivingstunT1 |= 동굴 안에 있습니다. 나가려면 35페이지로 이동하세요.
NPCStory_FriendlyEunLivingstunT2 |= 당신은 동굴 안에 있습니다. 나가려면 231페이지로 이동하세요.
NPCStory_FriendlyEunLivingstunT3 |= 동굴 안에 있습니다. 나가려면 101페이지로 이동하세요.
NPCStory_FriendlyEunLivingstunT4 |= 이 책들에 미로를 쓰는 사람은 모두 사디스트야!
NPCStory_Like_FroggHermitT1 |= 아버지, 그 남자에게 팔았던 목걸이가 정말 사람을 무적 상태로 만드나요?
NPCStory_Like_FroggHermitT2 |= 물론이지, 아들아, 왜?
NPCStory_Like_FroggHermitT3 |= 아버지가 다른 여성한테 팔았던 하늘을 나는 목걸이와 똑같잖아요. 그리고 그녀는 절벽 아래에서 발견됐어요. 모두 평평한 곳이죠.
NPCStory_Like_FroggHermitT4 |= 분명히 설명서를 읽지 않았던 거야.
NPCStory_Like_FroggHermitT5 |= 아버지는 그녀에게 팔을 펄럭이며 매가 되라고 종이를 주었잖아요.
NPCStory_Like_FroggHermitT6 |= 아아그으으
NPCStory_Like_FroggHermitT7 |= 아버지, 방금 그 목걸이를 샀던 그 남자가 자신에게 불을 질렀어요.
NPCStory_Like_FroggHermitT8 |= 알겠어, 아들아. 이제 입 다물고 짐수레를 정리해서 서둘러 여기서 나가자.
NPCStory_Like_MoLawnT1 |= 사랑을 위해서라면 무엇이든 할 거야.
NPCStory_Like_MoLawnT2 |= 악랄한 홉 무리와도 싸울거야?
NPCStory_Like_MoLawnT3 |= 응, 사랑을 위해서라면 뭐든 할 거야.
