Symptom0NPCCommentFood Poisoning |= 병든 개처럼 아파.
Symptom2NPCCommentCurse Trumpeting |= 내 방귀에서 썩은 순무 냄새가 나.
Symptom0NPCCommentBucolic Plague |= 엄청 느려진 것 같아.
Symptom0NPCCommentBucolic Plague |= 빨리 움직일수가 없어.
Symptom0NPCCommentBucolic Plague |= 머리에 안개가 낀 것 같아.
Symptom1NPCCommentBucolic Plague |= 자꾸 졸음이 쏟아져.
Symptom1NPCCommentBucolic Plague |= 꿈을 꾸는 데 너무 많은 시간을 보내.
Symptom1NPCCommentBucolic Plague |= 걸으면서 잠들어.
Symptom2NPCCommentBucolic Plague |= 에너지가 없어.
Symptom2NPCCommentBucolic Plague |= 편안하지만 기운이 빠져.
Symptom2NPCCommentBucolic Plague |= 무기력한 기분이드네.
Symptom0NPCCommentDamp Spirits |= 아무것도 나를 흥분시키지 못해.
Symptom0NPCCommentDamp Spirits |= 나는 로맨스에 신경을 쓸 수가 없어.
Symptom0NPCCommentDamp Spirits |= 내 종마는 절름발이 노새야.
Symptom1NPCCommentDamp Spirits |= 내 내면이 약한것 같아.
Symptom1NPCCommentDamp Spirits |= 모든 것이 나에게 영향을 미쳐.
Symptom1NPCCommentDamp Spirits |= 강화가 필요해.
Symptom2NPCCommentDamp Spirits |= 저주를 받은 것 같아.
Symptom2NPCCommentDamp Spirits |= 마녀가 나를 싫어하는 게 분명해.
Symptom2NPCCommentDamp Spirits |= 어두운 구름이 나를 덮고 있어.
SymptomNameGoosedbumps |= 소름
Symptom0NPCCommentGoosedbumps |= 어두운 무언가를 만졌어.
Symptom0NPCCommentGoosedbumps |= 무덤 옆에서 잠든 것 같아.
Symptom0NPCCommentGoosedbumps |= 브루니가 나에게 마법을 걸었던 것 같아.
Symptom1NPCCommentGoosedbumps |= 내 더미는 거대하다!
Symptom1NPCCommentGoosedbumps |= 바람이 강풍보다 더 세다.
Symptom1NPCCommentGoosedbumps |= 속이 울렁거려.
Symptom2NPCCommentGoosedbumps |= 계속 잠들어.
Symptom2NPCCommentGoosedbumps |= 졸음이 많아졌어.
Symptom2NPCCommentGoosedbumps |= 모든 것이 나를 피곤하게 만들어.
Symptom0NPCCommentBubble Bobblehat |= 매우... 어려워... 말하기가... 어려워.
Symptom0NPCCommentBubble Bobblehat |= 말을 많이 못해.
Symptom0NPCCommentBubble Bobblehat |= 난 말이 아니라 거품 기억을 가지고 있어.
Symptom1NPCCommentBubble Bobblehat |= 체력이 더 필요해
Symptom1NPCCommentBubble Bobblehat |= 뭐든 날 터뜨릴 수 있을 것 같아
Symptom1NPCCommentBubble Bobblehat |= 내 튼튼한 두개골이 필요해.
Symptom2NPCCommentBubble Bobblehat |= 녹색 공룡 냄새가 나.
Symptom2NPCCommentBubble Bobblehat |= 이 냄새 좀 없애줄래, 버브?
Symptom2NPCCommentBubble Bobblehat |= 이 악취를 없애주면 100점 줄게!
Symptom0NPCCommentPixellation |= 너무 현실적인 느낌이야.
Symptom0NPCCommentPixellation |= 내 인생에 색이 필요해.
Symptom0NPCCommentPixellation |= 마음을 다잡고 싶어요.
Symptom1NPCCommentPixellation |= 대화를 하려면 결심이 필요해.
Symptom1NPCCommentPixellation |= 내 목소리가 작아졌어.
Symptom1NPCCommentPixellation |= 말하고 싶지 않아.
Symptom2NPCCommentPixellation |= 인생의 모든 것이 막막해.
Symptom2NPCCommentPixellation |= 포기하고 싶은 기분이 들어.
Symptom2NPCCommentPixellation |= 더 이상 아무것도 좋아 보이지 않아.
SymptomNameSwollen Melancholy |= 밀려오는 우울
Symptom0NPCCommentSwollen Melancholy |= 바람을 좀 쐬어야겠어.
Symptom0NPCCommentSwollen Melancholy |= 머릿속에 가스가 차서... 가스가 쌓여 있어.
Symptom0NPCCommentSwollen Melancholy |= 머리속이 멍해.
Symptom1NPCCommentSwollen Melancholy |= 머리가 엄청나게 커졌어.
Symptom1NPCCommentSwollen Melancholy |= 머리가 큰 것 같아.
Symptom1NPCCommentSwollen Melancholy |= 내 뼈가 부어 있어.
Symptom2NPCCommentSwollen Melancholy |= 칙칙한 느낌
Symptom2NPCCommentSwollen Melancholy |= 오... 더 이상 말하고 싶지 않아.
Symptom2NPCCommentSwollen Melancholy |= 모든 것이 쓰레기야.
ApothCustomerCheckStored |= 창고
ApothCustomerMakeCure |= 제작
ApothCustomerDismiss |= 해고
ApothCustomerHowCanIHelp |= 돕기
ApothCustomerTryElsewhere |= 다른 곳에서 시도해 볼 것 같아요.
ApothWorkerIntro |= 무슨 문제가 있는 것 같나요?
ApothWorkerCraft |= 이제 만들 시간입니다.
ApothWorkerPlacebo |= 이 마법의 냄비가 확실히 도움이 될 거예요.
ApothWorkerStored |= 이 미리 만든 치료제가 도움이 될 것입니다.
ApothWorkerCraftFinished |= 여러분만을 위해 특별히 제작된 제품입니다.
ApothWorkerSeller |= 지금은 아이템을 구매할 수 없습니다.


PATIENT_PLACEBO |= 일반 약보다 맛이 훨씬 좋아요.
PATIENT_PLACEBO_FAIL |= 이거 맛이 좀 웃기네요.
PATIENT_CURED |= 아아, 그게 훨씬 낫네요.
PATIENT_CURED |= 바로 티켓!
PATIENT_CURED |= 그게 성공했어요.
PATIENT_CURED |= 아, 정말 다행이네요!
PATIENT_CURED |= 일했다! 감사합니다!
PATIENT_CURED |= 훌륭한 문서입니다.
PATIENT_CURED |= 기분이 훨씬 나아졌습니다.
PATIENT_CURED |= 벌써 기분이 좋아졌어요.
PATIENT_CURED |= 일해주신 여신님께 감사드립니다.
PATIENT_CURED |= 치료되었습니다!
PATIENT_CURED |= 아, 정말 다행이네요!
PATIENT_CURED |= 너는 최고야!
PATIENT_CURED |= 잘 하셨어요! 감사해요!
PATIENT_CURED |= 결국 부풀어 오르는 것이 좋습니다.
PATIENT_CURED |= 나는 당신이 그것을 정리할 것이라는 것을 알았습니다.
PATIENT_CURED |= 많이 개선되었습니다! 감사합니다!
PATIENT_CURED |= 훨씬 나아졌습니다. 감사합니다.
PATIENT_CURED |= 고마워요.
PATIENT_CURED |= 아아아아, 좋아요!
PATIENT_NOTCURED |= 효과가 없었어요!
PATIENT_NOTCURED |= 이제 기분이 더 나빠졌어요.
PATIENT_NOTCURED |= 쓸모없어!
PATIENT_NOTCURED |= 부리를 키워, 이 꽥꽥이 새끼야!
PATIENT_NOTCURED |= 믿을 수 없을 줄 알았어.
PATIENT_NOTCURED |= 쓰레기 같은 놈.
PATIENT_NOTCURED |= 끔찍해.
PATIENT_NOTCURED |= 아직도 기분이 안 좋아.
PATIENT_NOTCURED |= 대체 나한테 뭘 준 거야?!
PATIENT_NOTCURED |= 서비스 형편없네.
PATIENT_NOTCURED |= 다음엔 내가 직접 처리할게요.
PATIENT_NOTCURED |= 끔찍한 대우.
PATIENT_NOTCURED |= 다 틀렸어.
PATIENT_NOTCURED |= 자칭 의료인이라고?
PATIENT_NOTCURED |= 박쥐가 더 나은 의사가 될 수 있어요.
PATIENT_NOTCURED |= 나 지금 아파요.
PATIENT_NOTCURED |= 와우! 네가 더 악화시켰어.
PATIENT_PARTIALCURE |= 고마워요.
PATIENT_PARTIALCURE |= 고맙습니다.
PATIENT_PARTIALCURE |= 다음에 또 봐요.
PATIENT_PARTIALCURE |= 괜찮았어요.
PATIENT_PARTIALCURE |= 내 의견은 중립을 유지하겠습니다.
PATIENT_PARTIALCURE |= 그 정도면 되겠네요.
PATIENT_PARTIALCURE |= 알겠습니다.
PATIENT_PARTIALCURE |= 이만 끊을게요.
PATIENT_PARTIALCURE |= 시간이 좀 걸리겠지.
PATIENT_PARTIALCURE |= 꽤 평균적이네요.
PATIENT_PARTIALCURE |= 나쁘지도 좋지도 않아요.
