DateSpot_The_Cuttings |= 벌목지
DateSpot_GoldenFields_TreasureHint |= 반짝이는 금빛이 사방을 둘러싸고 있습니다. 서쪽으로는 물이, 동쪽으로는 주황색 형상이 반짝입니다. 그것을 찾으려면 약간의 기지가 필요합니다.
DateSpot_Nine_Ball_Pool |= 아홉 공 웅덩이
DateSpot_Nine_Ball_Pool_TreasureHint |= 뒤에 노란 들판. 앞에는 물. 외로운 나무 한 그루가 반사되어 서 있습니다. 아주 감미롭게 들리네요.
DateSpot_The_Herb_Garden |= 허브 정원
DateSpot_The_Herb_Garden_TreasureHint |= 향기로운 냄새가 공기를 가득 채웁니다. 유리창이 태양을 반사합니다. 두 개의 분홍색 선 사이에 숨겨져 있습니다. 그것은 기본적으로 그것을 숨기려는 교활한 음모입니다.
DateSpot_Willow_End |= 윌로우 끄트머리
DateSpot_Willow_End_TreasureHint |= 멜로우브룩 남쪽... 다리 건너 보라색 바다의 남쪽에 나무 한 그루가 서 있습니다. 근처에서 벌들이 윙윙거립니다.
DateSpot_The_Old_Windmill |= 오래된 풍차
DateSpot_The_Old_Windmill_TreasureHint |= 오래된 방앗간에서 삐걱거리는 소리가 들리는 마른 땅입니다. 풍차 몇 대는 어디로 갔을까요?
DateSpot_Lonely_Oak |= 외로운 참나무
DateSpot_Lonely_Oak_TreasureHint |= 강가에 홀로 서 있는 나무 한 그루. 황금빛 경비병이 늘어선 길은 여신의 이름을 딴 장소로 이어집니다.
DateSpot_Dumping_Ground |= 버리는 땅
DateSpot_Dumping_Ground_TreasureHint |= 멜로우필드, 들판 아래, 울타리 너머에는 인류의 흔적들이 버려지고 버려진 채 방치되어 있습니다.
DateSpot_LonelyStump |= 고독한 그루터기
DateSpot_LonelyStump_TreasureHint |= 멜로우필드 서쪽의 연못 서쪽에 있는 나무 그루터기에서 두 채의 신비한 집 아래에 감시자가 숨어 있는 곳을 찾아보세요.
DateSpot_LavendarLay |= 라벤더가 잠든 곳
DateSpot_LavendarLay_TreasureHint |= 한 줄의 돌이 길을 가로지릅니다. 한 구석에 향기로운 보라색 땅. 먼 곳에서 이상한 음악이 가끔 들립니다. 사람들이 음악에 맞춰 춤을 추는 건 아닐까요?
DateSpot_Shroomhouses |= 버섯집
DateSpot_Shroomhouses_TreasureHint |= 리벨러의 원에서 동쪽으로 가세요. 낯설고 잊혀진 집 옆의 붉은 버섯을 파고 싶은 곳입니다.
DateSpot_RapidPoint |= 래피드 포인트
DateSpot_RapidPoint_TreasureHint |= 큰 문 서쪽, 강 굽이 옆에 헤더 한 그루가 있습니다.
DateSpot_SecretCorner |= 비밀 모퉁이
DateSpot_SecretCorner_TreasureHint |= 유적은 나무 아치와 불길한 문 동쪽의 소나무 사이에 숨어 있습니다.
DateSpot_FlingBridge |= 플링 다리
DateSpot_FlingBridge_TreasureHint |= 무늬가 있는 돌 근처의 거대한 교차점 그림자 아래.
DateSpot_RushingNook |= 러싱 구석
DateSpot_RushingNook_TreasureHint |= 돌과 지붕널 사이... 돌길은 기발한 둥근 집을 지나 떨어지는 물이 내려다보이는 곳으로 이어집니다.
DateSpot_KissesSneak |= 몰래하는 키스
DateSpot_KissesSneak_TreasureHint |= 이 마을로 들어가는 다리에서 시작하세요. 다른 다리를 건너세요. 화장실이 보입니다. 왼쪽을 파세요.
DateSpot_OverTheBoardwalk |= 오버 더 보드워크
DateSpot_OverTheBoardwalk_TreasureHint |= 통로를 건너 촛불을 살펴보세요. 스피어워트 아래의 어두운 부분을 파보세요.
DateSpot_RoundBackOShoppe |= 라운드 백 오 샵
DateSpot_RoundBackOShoppe_TreasureHint |= 이 건물 뒤에 숨겨져 있습니다. 오래된 구리 파이프와 쓰레기. 근처 줄에서 천을 말리고 있습니다.
DateSpot_TreeOfMemories |= 추억의 나무
DateSpot_TreeOfMemories_TreasureHint |= 밝은 분홍색 나뭇가지가 보물 위에 우뚝 솟아 있습니다. 주변의 칙칙하고 축축한 땅 사이에서 눈부신 광경이 펼쳐집니다. 누가 저 개구리들 좀 닥치라고 말해주세요!
DateSpot_MerryMaypole |= 메리 메이폴
DateSpot_MerryMaypole_TreasureHint |= 춤의 장소 아래에 묻혔습니다. 여신은 9에, 6에 서세요, 3에 파세요. 남쪽 멀리 코퍼팟의 지붕이 반짝입니다.
DateSpot_ThreeWitches |= 세 마녀
DateSpot_ThreeWitches_TreasureHint |= 키 큰 양초의 불빛 아래 나무 세 그루와 덤불 속 비밀의 문이 있습니다. 남쪽으로는 물 건너편에 줄무늬 천이 보입니다.
DateSpot_LoveFalls |= 사랑의 폭포
DateSpot_LoveFalls_TreasureHint |= 한 쌍의 연인이 포옹하고 있습니다. 근처에 서 있는 돌들이 조약돌 사이에서 두 사람의 포옹을 지켜보고 있습니다.
DateSpot_WantedMan |= 수배된 남자
DateSpot_WantedMan_TreasureHint |= 드룬힐에서 북쪽으로 향하세요. 세 개의 아치를 지나 페이가 여행하는 장소로 가세요. 이 비밀스러운 숲의 동쪽 가장자리 근처에서 땅을 파세요.
DateSpot_Twins |= 쌍둥이
DateSpot_Twins_TreasureHint |= 동상과 폐허 사이에 있는 두 개의 큰 웅덩이, 뒤틀리고 어두운 나무와 그 거대한 아치형 관문 남쪽에 있습니다.
DateSpot_HugWall |= 허그 월
DateSpot_HugWall_TreasureHint |= 두 개의 머리를 가진 고대 나무가 있는 연못 위의 높은 폐허가 된 성벽. 북쪽의 돌로 만든 왕관 근처에는 여신상이 낮잠을 자고 있습니다.
DateSpot_TwistedSisters |= 비뚤어진 자매
DateSpot_TwistedSisters_TreasureHint |= 북서쪽은 머리가 무겁습니다. 그늘진 연못에서 뿌리를 내리고 있는 나무들이 머리 위로 어렴풋이 보입니다. 길은 Y자 모양으로 갈라집니다. 서쪽으로 향하여 개울가를 파보세요.
DateSpot_DeepeyePonds |= 딥아이 연못
DateSpot_DeepeyePonds_TreasureHint |= 개울로 연결된 일련된 연못. 지도석이 바위 덩어리 옆에서 보물을 바라보고 있습니다. 바로 북쪽에는 어두운 숲이 펼쳐져 있습니다.
DateSpot_UnderwoodGrotto |= 언더우드 동굴
DateSpot_UnderwoodGrotto_TreasureHint |= 스톤크라운에서는 뿌리 사이의 비밀 문이 보물을 찾을 수 있는 숨겨진 동굴로 이어집니다.
DateSpot_BridgeOfSighs |= 탄식의 다리
DateSpot_BridgeOfSighs_TreasureHint |= 다리가 물에 잠긴 고대 마을의 잔해를 지나고 있습니다. 온전한 문이 있는 곳 근처를 파보세요. 늪지대 냄새는 무시하세요.
