CustomObject_Well_Name |= 우물
CustomObject_Trellis_C_Name |= 작은 트렐리스
CustomObject_Trellis_C_Desc |= 갑자기 와플이 먹고 싶어요.
CustomObject_Trellis_D_Name |= 일반 트렐리스
CustomObject_Trellis_D_Desc |= 흠음. 와플.
CustomObject_Box_Fish_A_Name |= 냄새나는 생선 상자
CustomObject_Box_Fish_A_Desc |= 냄새는 신경쓰지 마세요.
CustomObject_Box_Bottle_A_Name |= 병 상자
CustomObject_Box_Bottle_A_Desc |= 장식에 유리를 더할 귀여운 병입니다.
CustomObject_Box_Fish_B_Name |= 모듬 생선 상자
CustomObject_Box_Fish_B_Desc |= 어부들이 집처럼 느낄 수 있는 고무 물고기 상자입니다.
CustomObject_Box_Fish_C_Name |= 가짜 물고기 상자
CustomObject_Box_Fish_C_Desc |= 상자에 들어있는 가짜 물고기입니다.
CustomObject_Box_Paint_A_Name |= 알록달록한 페인트 상자
CustomObject_Box_Paint_A_Desc |= 사랑스러운 작은 페인트 상자.
CustomObject_Box_Storage_Empty_Name |= 빈 저장 상자
CustomObject_Box_Storage_Empty_Desc |= 빈 상자. 아니면 반쯤 찼나요? 아니요, 비어 있습니다.
CustomObject_Box_Storage_Logs_Name |= 목재 저장소
CustomObject_Box_Storage_Logs_Desc |= 나무 속에 저장된 나무 조각.
CustomObject_Box_Dark_Empty_B_Name |= 어두운 수평 상자
CustomObject_Box_Dark_Empty_B_Desc |= 어둠의 상자. 음, 어두운 나무.
CustomObject_Box_Dark_Flowers_A_Name |= 어두운 꽃 상자
CustomObject_Box_Dark_Flowers_A_Desc |= 안목 있는 숙녀를 위한 선물입니다.
CustomObject_Box_Dark_Mushrooms_A_Name |= 어두운 버섯 상자
CustomObject_Box_Dark_Mushrooms_A_Desc |= 이 상자에는 버섯이 없습니다.
CustomObject_Box_Light_Empty_A_Name |= 가벼운 빈 상자
CustomObject_Box_Light_Empty_A_Desc |= 또 다른 빈 상자. 나무 상자.
CustomObject_Box_Light_Flour_A_Name |= 가벼운 나무 밀가루 상자
CustomObject_Box_Light_Flour_A_Desc |= 빵집 모양을 위한 작은 밀가루 상자.
CustomObject_Box_Metal_Name |= 금속 상자
CustomObject_Box_Metal_Desc |= 다양한 금속으로 만든 상자.
CustomObject_Box_Mill_Name |= 제분 상자
CustomObject_Box_Mill_Desc |= 제분소의 상자.
CustomObject_Box_Paper_A_Name |= 다양한 스케치 상자
CustomObject_Box_Paper_A_Desc |= 종이 상자. 매우 흥미롭습니다.
CustomObject_Box_Paper_B_Name |= 각종 미술품 상자
CustomObject_Box_Paper_B_Desc |= 또 다른 흥미로운 종이 상자.
CustomObject_Crate_Dark_Name |= 어두운 상자
CustomObject_Crate_Dark_Desc |= 어두운 상자 수집가를 위한 어두운 나무 상자입니다.
CustomObject_Crate_Dark_Glow_Name |= 빛나는 어두운 상자
CustomObject_Crate_Dark_Glow_Desc |= 호기심을 자극하는 빛나는 상자.
CustomObject_Crate_Light_Name |= 가벼운 상자
CustomObject_Crate_Light_Desc |= 깔끔하고 가벼운 나무 상자입니다.
CustomObject_Crate_Light_Glow_Name |= 빛나는 가벼운 상자
CustomObject_Crate_Light_Glow_Desc |= 신비로우면서도 컴팩트합니다.
CustomObject_Crate_Large_A_Name |= 대형 상자
CustomObject_Crate_Large_A_Desc |= 당신의 공간을 채울 잔혹한 상자.
CustomObject_Crate_Large_Metal_A_Name |= 대형 금속 상자
CustomObject_Crate_Large_Metal_A_Desc |= 금속 조각과 밥이 담긴 상자입니다.
CustomObject_Crate_Large_Metal_C_Name |= 아이언 밥 상자
CustomObject_Crate_Large_Metal_C_Desc |= 금속으로 채워진 상자의 또 다른 각도입니다.
CustomObject_Crate_Large_Pots_A_Name |= 대형 냄비 상자
CustomObject_Crate_Large_Pots_A_Desc |= 점토 냄비 상자.
CustomObject_Crate_Large_Flowers_A_Name |= 다양한 꽃이 담긴 상자
CustomObject_Crate_Large_Flowers_A_Desc |= 아마도 큰 상자에 담긴 가짜 꽃일 것입니다.
CustomObject_Crate_Large_Yum_Name |= 대형 참마 상자
CustomObject_Crate_Large_Yum_Desc |= 이 끈적끈적한 참마 상자를 디자인한 사람은 지루했나 봐요.
CustomObject_Crate_Large_Gems_Name |= 대형 보석 상자
CustomObject_Crate_Large_Gems_Desc |= 진짜 같았으면 좋았을 텐데. 그래도 멋지네요!
CustomObject_Barrel_Container_Name |= 배럴 컨테이너
CustomObject_Barrel_Container_Desc |= 배럴을 넣을 수 없다는 점을 제외하면 배럴 컨테이너용입니다.
CustomObject_Barrel_Large_Name |= 대형 배럴
CustomObject_Barrel_Large_Desc |= 소박한 느낌의 튼튼한 배럴입니다.
CustomObject_Barrel_Large_Gems_A_Name |= 보석 배럴
CustomObject_Barrel_Large_Gems_A_Desc |= 큰 보석 통입니다.
CustomObject_Barrel_Large_Plant_A_Name |= 식물 배럴
CustomObject_Barrel_Large_Plant_A_Desc |= 이 꽃통으로 초록빛 손가락을 만들어보세요.
CustomObject_Barrel_Large_MonsterParts_A_Name |= 뼈 배럴
CustomObject_Barrel_Large_MonsterParts_A_Desc |= 어두운 가장자리가 있으신가요? 이 척추를 배럴에 사용합니다.
CustomObject_Barrel_Large_MonsterParts_B_Name |= 내장의 배럴
CustomObject_Barrel_Large_MonsterParts_B_Desc |= 이걸 과시하려면 배짱이 필요하죠.
CustomObject_Barrel_Large_Plant_B_Name |= 장식적인 식물 배럴
CustomObject_Barrel_Large_Plant_B_Desc |= 사랑스러운 초록의 식물 배럴입니다.
CustomObject_Barrel_Large_Water_Name |= 물통
CustomObject_Barrel_Large_Water_Desc |= 마실 수 없는 물통으로 색채를 더해보세요.
CustomObject_Barrel_Large_Weapons_A_Name |= 무기 배럴
CustomObject_Barrel_Large_Weapons_A_Desc |= 무해한 무기를 통에 넣어 모험가의 느낌을 더합니다.
CustomObject_Barrel_Large_Weapons_B_Name |= 무기의 배럴
CustomObject_Barrel_Large_Weapons_B_Desc |= 누가 무기를 통에 보관하나요? 진심이야?
CustomObject_Barrel_Small_A_Name |= 작은 단순 배럴
CustomObject_Barrel_Small_A_Desc |= 귀여운 미니 배럴.
CustomObject_Barrel_Small_B_Name |= 배럴 & 삽
CustomObject_Barrel_Small_B_Desc |= 장식용 미니 배럴입니다.
CustomObject_Keg_Name |= 술통
CustomObject_Keg_Desc |= 여관 주인 분위기를 내는 거대한 술통입니다.
CustomObject_Sack_Large_A_Name |= 큰 자루
CustomObject_Sack_Large_A_Desc |= 자루에 이름을 붙입니다.
CustomObject_Bowl_Gold_A_Name |= 황금 그릇
CustomObject_Bowl_Gold_A_Desc |= 어느 집에나 어울리는 아름다운 황금 그릇입니다.
CustomObject_Sack_Plant_B_Name |= 식물 자루
CustomObject_Sack_Plant_B_Desc |= 뛰어난 정원사를 위한 그릇입니다.
CustomObject_Bowl_Gold_B_Name |= 큰 금 그릇
CustomObject_Bowl_Gold_B_Desc |= 금도금 어... 접시 물건. 멋지네요!
CustomObject_Cauldron_A_Name |= 가마솥
CustomObject_Cauldron_A_Desc |= 비용이 많이 들지 않는 가마솥입니다.
CustomObject_Cauldron_B_Name |= 철제 요리 냄비
CustomObject_Cauldron_B_Desc |= 실제 마녀가 직접 만든 솥입니다.
CustomObject_Kettle_Name |= 철 주전자
CustomObject_Kettle_Desc |= 최소 1년 동안 보증됩니다.
CustomObject_Pan_Name |= 철제 팬
CustomObject_Pan_Desc |= 오늘 밤 튀김!
CustomObject_Pot_B_Name |= 도자기 냄비
CustomObject_Pot_B_Desc |= 냄비로 갔습니다.
CustomObject_Sack_Plant_A_Name |= 채소 자루
CustomObject_Sack_Plant_A_Desc |= 또한, 모욕적인 단어도 됩니다. 이 식물 자루야.
CustomObject_Pot_Gold_A_Name |= 키가 큰 금 냄비
CustomObject_Pot_Gold_A_Desc |= 우아한 금 냄비입니다.
CustomObject_Pot_Gold_B_Name |= 얇은 금 냄비
CustomObject_Pot_Gold_B_Desc |= 날씬하고 세련된.
CustomObject_Pot_Gold_C_Name |= 뚱뚱한 금 냄비
CustomObject_Pot_Gold_C_Desc |= 집이나 무덤에 품격을 더해줍니다.
CustomObject_Pot_Wood_A_Name |= 간단한 나무 냄비
CustomObject_Pot_Wood_A_Desc |= 잘 만들어진 나무 냄비입니다.
CustomObject_Pot_Wood_B_Name |= 뚜껑이 달린 냄비
CustomObject_Pot_Wood_B_Desc |= 사랑스러운 장인정신과 좋은 가격.
CustomObject_Rock_Large_A_Name |= 바위의 왕
CustomObject_Rock_Large_A_Desc |= 락앤롤!
CustomObject_Rock_Large_B_Name |= 성난 바위
CustomObject_Rock_Large_B_Desc |= 왜 그렇게 화가 났나요? 물어봐도 될까요?
CustomObject_Rock_Large_C_Name |= 크고 울퉁불퉁한 바위
CustomObject_Rock_Large_C_Desc |= 오 어서! 진지해지세요!
CustomObject_Rock_Large_D_Name |= 낡은 바위
CustomObject_Rock_Large_D_Desc |= 침식은 이것에 친절하지 않았습니다.
CustomObject_Rock_Large_E_Name |= 잘못 놓인 돌 덩어리
CustomObject_Rock_Large_E_Desc |= 아, 이걸 어디에 뒀는지 궁금하네요.
CustomObject_Rock_Overgrown_A_Name |= 이끼 낀 짐승
CustomObject_Rock_Overgrown_A_Desc |= 이 나쁜 소년은 이끼가 너무 많이 들어갈 수 있습니다.
CustomObject_Rock_Overgrown_B_Name |= 부서진 무성한 바위
CustomObject_Rock_Overgrown_B_Desc |= 또 다른 이끼 낀 정원 바위입니다.
CustomObject_Rock_Overgrown_C_Name |= 쾌활한 잎이 무성한 돌
CustomObject_Rock_Overgrown_C_Desc |= 내가 말하건데, 이 정원의 바위들은 매우 감정적이다.
CustomObject_Rock_Overgrown_D_Name |= 무성한 정원 바위
CustomObject_Rock_Overgrown_D_Desc |= 또 다른 이끼 낀 정원 바위입니다.
CustomObject_Rock_Pile_A_Name |= 바위 더미
CustomObject_Rock_Pile_A_Desc |= 당신에게 더미를 제공합니다.
CustomObject_Rock_Pile_Overgrown_B_Name |= 이끼 낀 바위 컬렉션
CustomObject_Rock_Pile_Overgrown_B_Desc |= 이걸로 정원 공간을 분할합니다.
CustomObject_Rock_Pile_Overgrown_C_Name |= 신록암군
CustomObject_Rock_Pile_Overgrown_C_Desc |= 록 팬을 위한 것입니다.
CustomObject_Rock_Pile_Overgrown_D_Name |= 바위 더미
CustomObject_Rock_Pile_Overgrown_D_Desc |= 암석 더미 변형. 지루한 작가.
CustomObject_Rock_Pile_Overgrown_A_Name |= 더 많은 이끼 낀 바위
CustomObject_Rock_Pile_Overgrown_A_Desc |= 무성하게 자란 바위 더미입니다.
CustomObject_Rock_Pile_Large_Overgrown_A_Name |= 토끼 모양의 이끼 낀 바위
CustomObject_Rock_Pile_Large_Overgrown_A_Desc |= 안 보인다는 게 무슨 말이에요??
CustomObject_Rock_Pile_Large_Overgrown_B_Name |= 큰 이끼 낀 암석 노두
CustomObject_Rock_Pile_Large_Overgrown_B_Desc |= 이끼 낀 커다란 바위.
CustomObject_Rock_Pile_Large_Overgrown_C_Name |= 이끼 낀 바위 농어
CustomObject_Rock_Pile_Large_Overgrown_C_Desc |= 무성하고 아마도 가격이 너무 높을 것입니다.
CustomObject_Rock_Pile_Large_Overgrown_D_Name |= 큰 이끼 낀 바위 더미
CustomObject_Rock_Pile_Large_Overgrown_D_Desc |= 이거 누가 만드는거야??
CustomObject_Crystal_Cluster_B_Name |= 크리스탈 클러스터
CustomObject_Crystal_Cluster_B_Desc |= 당신의 정원을 위한 아름다운 장식.
CustomObject_Crystal_Cluster_C_Name |= 크리스탈 그룹
CustomObject_Crystal_Cluster_C_Desc |= 이 멋진 크리스탈 덩어리로 선의 감각을 느껴보세요.
CustomObject_Crystal_Cluster_A_Name |= 크리스탈 바위
CustomObject_Crystal_Cluster_A_Desc |= 당신의 카르마를 엉망으로 만드세요.
CustomObject_Crystal_A_Name |= 화려한 크리스탈
CustomObject_Crystal_A_Desc |= 이것들이 얼마나 아름다운지는 분명합니다.
CustomObject_Crystal_B_Name |= 빛나는 크리스탈
CustomObject_Crystal_B_Desc |= 모든 페이 정원에 어울리는 멋진 반주입니다.
CustomObject_Crystal_C_Name |= 반짝이는 수정바위
CustomObject_Crystal_C_Desc |= 아, 빛나잖아!
CustomObject_Stone_Carving_A_Name |= 돌 조각
CustomObject_Stone_Carving_A_Desc |= 신비의 돌.
CustomObject_Stone_Carving_B_Name |= 고대 돌 조각
CustomObject_Stone_Carving_B_Desc |= 어떤 정원에서도 멋지게 보입니다.
CustomObject_Stone_Carving_C_Name |= 풍화된 돌 조각
CustomObject_Stone_Carving_C_Desc |= 조각품은 횡설수설합니다.
CustomObject_Stone_Carving_D_Name |= 부서지는 돌 조각
CustomObject_Stone_Carving_D_Desc |= 노움 장인이 손으로 조각한 작품입니다.
CustomObject_Stone_Hut_A_Name |= 돌 구슬 오두막
CustomObject_Stone_Hut_A_Desc |= 나만의 페이 하우스. 모기지는 필요하지 않습니다.
CustomObject_Stone_Hut_B_Name |= 기울어진 돌 오두막
CustomObject_Stone_Hut_B_Desc |= 당신의 정원을 위한 귀여운 추상 요정입니다.
CustomObject_Stone_Sculpture_A_Name |= 무엇의 동상
CustomObject_Stone_Sculpture_A_Desc |= 추상적이고 우아합니다.
CustomObject_Stone_Sculpture_B_Name |= DOES의 동상
CustomObject_Stone_Sculpture_B_Desc |= 균형의 예술에 대한 증거입니다.
CustomObject_Stone_Sculpture_C_Name |= IT의 동상
CustomObject_Stone_Sculpture_C_Desc |= 이거 만든 사람이 현대적인 취향을 갖고 있군요.
CustomObject_Stone_Sculpture_D_Name |= MEAN의 동상
CustomObject_Stone_Sculpture_D_Desc |= 매력적이고 멋지다. 그래도 비싸다.
CustomObject_Stone_Sculpture_E_Name |= 페이 예술 설치
CustomObject_Stone_Sculpture_E_Desc |= 핑거스 핀치핑거라는 그놈이 만들었네요, 믿을 수 없을 정도로.
CustomObject_Stone_Sculpture_F_Name |= 매달린 페이 아트
CustomObject_Stone_Sculpture_F_Desc |= 어떤 사람들은 이것을 쓰레기라고 부를 수도 있습니다. 나? 나는 그것을 예술 보물이라고 부른다.
CustomObject_Stone_Statue_A_Name |= 운반자
CustomObject_Stone_Statue_A_Desc |= 정말 이상한 것을 묘사합니다.
CustomObject_Stone_Statue_B_Name |= 감시자
CustomObject_Stone_Statue_B_Desc |= 귀엽지만 신비로운 모습입니다.
CustomObject_Stone_Statue_C_Name |= 수수께끼
CustomObject_Stone_Statue_C_Desc |= 일종의 기계 오리처럼 생겼습니다.
CustomObject_Stone_Statue_D_Name |= 수호자
CustomObject_Stone_Statue_D_Desc |= 이것이 무엇을 상징하든 가격이 정당화되지 않습니다.
CustomObject_Stone_Statue_E_Name |= 신사
CustomObject_Stone_Statue_E_Desc |= 실제로는 훌리건 나폴레옹처럼 생겼어요. 지울 수가 없네요.
CustomObject_Stone_Carving_E_Name |= 고대 돌 기둥
CustomObject_Stone_Carving_E_Desc |= 재활용된 고대 돌로 제작되었습니다.
CustomObject_Bushy_Bush_A_Name |= 덤불같은 덤불
CustomObject_Bushy_Bush_A_Desc |= 잘 다듬어진 덤불입니다.
CustomObject_Bushy_Bush_B_Name |= 덥수룩한 덤불-덤불
CustomObject_Bushy_B_Desc |= 당신의 삶에 녹색을 더하세요.
CustomObject_Bushy_Bush_C_Name |= 덥수룩하고 덥수룩한 덤불
CustomObject_Bushy_Bush_C_Desc |= 작지만 완벽하게 단단합니다.
CustomObject_Fir_Bush_A_Name |= 우아한 전나무 덤불
CustomObject_Fir_Bush_A_Desc |= 당신의 정원에 좋은 전나무.
CustomObject_Fir_Bush_B_Name |= 구부러진 전나무 덤불
CustomObject_Fir_Bush_B_Desc |= 케이트라고 불리는 매력적인 덤불.
CustomObject_Fir_Bush_C_Name |= 고운 전나무 덤불
CustomObject_Fir_Bush_C_Desc |= 큰 정원을 위한 작은 덤불.
CustomObject_Bushy_Mound_A_Name |= 덤불 무더기
CustomObject_Bushy_Mound_A_Desc |= 어수선해도 예쁩니다.
CustomObject_Flower_Bush_A_Name |= 꽃이 만발한 덤불
CustomObject_Flower_Bush_A_Desc |= 덤불을 완성하는 사람을 위해.
CustomObject_Flower_B_Name |= 예쁜 꽃 덤불
CustomObject_Flower_Bush_B_Desc |= 정원을 야생처럼 보이게 만들기에 좋습니다.
CustomObject_Flower_Bush_C_Name |= 볼륨감 있는 꽃 덤불
CustomObject_Flower_Bush_C_Desc |= 가격 대비 매우 예쁩니다.
CustomObject_Large_Coloured_Bush_A_Name |= 큰 색의 덤불
CustomObject_Large_Coloured_Bush_A_Desc |= 계절별.
CustomObject_Medium_Coloured_Bush_A_Name |= 중간 색 덤불
CustomObject_Medium_Coloured_Bush_A_Desc |= 계절 색상이 있는 테이퍼드 부시입니다.
CustomObject_Small_Coloured_Bush_A_Name |= 작은 색상의 덤불
CustomObject_Small_Coloured_Bush_A_Desc |= 사랑스러운 색상의 귀여운 나뭇잎.
CustomObject_Leafy_Bush_Pink_A_Name |= 잎이 많은 핑크색 덤불
CustomObject_Leafy_Bush_Pink_A_Desc |= 먹을 수 없는 분홍색 열매가 달린 멋진 덤불입니다.
CustomObject_Lafy_Bush_Pink_B_Name |= 잎이 많은 핑크 베리 덤불
CustomObject_Leafy_Bush_Pink_B_Desc |= 한 가지 색을 추가합니다.
CustomObject_Spherical_Blossom_Name |= 둥근 꽃
CustomObject_Spherical_Blossom_Desc |= 정원을 뽐내기 위한 멋진 중앙 장식품입니다.
CustomObject_Topiary_Medium_A_Name |= 둥근 토피어리
CustomObject_Topiary_Medium_A_Desc |= 조각된 나뭇잎.
CustomObject_Topiary_Large_B_Name |= 기둥형 토피어리
CustomObject_Topiary_Large_B_Desc |= 정원에 품격을 더합니다.
CustomObject_Topiary_Large_A_Name |= 토피어리 그림
CustomObject_Topiary_Large_A_Desc |= 겉모습만 보면 수풀 사람입니다.
CustomObject_Topiary_Small_A_Name |= 받침대 토피어리
CustomObject_Topiary_Small_A_Desc |= 순수한 토피어리 공입니다.
CustomObject_Wavy_Bush_Name |= 물결 모양의 덤불
CustomObject_Wavy_Bush_Desc |= 우주적인 광채를 더하는 반짝이는 페이 부시입니다.
CustomObject_Grass_Spikey_A_Name |= 뾰족한 잔디 A
CustomObject_Grass_Spikey_A_Desc |= 저렴하고 쾌활하지 않습니다.
CustomObject_Leafy_Bush_A_Name |= 값싼 덤불
CustomObject_Leafy_Bush_A_Desc |= 싸구려 덤불.
CustomObject_Leafy_B_Name |= 단순한 덤불
CustomObject_Leafy_Bush_B_Desc |= 대표적인.
CustomObject_Grass_Spikey_Large_A_Name |= 큰 뾰족한 잔디
CustomObject_Grass_Spikey_Large_A_Desc |= 가시덤불 정원.
CustomObject_Grass_Spikey_B_Name |= 뾰족한 잔디
CustomObject_Grass_Spikey_B_Desc |= 실제로는 꽤 부드럽습니다.
CustomObject_Log_A_Name |= 쓰러진 통나무
CustomObject_Log_A_Desc |= 정원에서 찾을 수 있는 가장 좋은 종류의 로그입니다.
CustomObject_Log_B_Name |= 키싱 통나무
CustomObject_Log_B_Desc |= 앉기 좋은 통나무. 실제로 그렇게 할 수 없다는 점만 빼면요.
CustomObject_Stump_A_Name |= 그루터기
CustomObject_Stump_A_Desc |= 여기에 대한 설명이 떠오르지 않습니다.
CustomObject_Radish_A_Name |= 큰 무
CustomObject_Radish_A_Desc |= 장식용으로만 사용되는 커다란 보라색 채소입니다.
CustomObject_Radish_B_Name |= 커다란 무
CustomObject_Radish_B_Desc |= 맛보다 보기 좋은 무입니다.
CustomObject_Log_Large_A_Name |= 소름 끼치는 통나무
CustomObject_Log_Large_A_Desc |= 정원에 미스터리한 숲의 느낌을 줍니다.
CustomObject_Onion_A_Name |= 졸린 양파
CustomObject_Onion_A_Desc |= 가격에 울지 마세요.
CustomObject_Pepper_A_Name |= 풀 페퍼
CustomObject_Pepper_A_Desc |= 피터 파이퍼가 이 중 하나를 골랐다가 으깨졌어요.
CustomObject_Carrot_A_Name |= 랭키 당근
CustomObject_Carrot_A_Desc |= 얼마나 맛있어 보이는지 보여요?
CustomObject_Carrot_B_Name |= 위 당근
CustomObject_Carrot_B_Desc |= 토끼 방지.
CustomObject_Pepper_B_Name |= 으깬 후추
CustomObject_Pepper_B_Desc |= 돼지도 먹지 않는 고추.
CustomObject_Pumpkin_A_Name |= 물에 잠긴 호박
CustomObject_Pumpkin_A_Desc |= 저건 호박이 아니에요! 달이에요! 아니면 뭔가.
CustomObject_Pumpkin_B_Name |= 자랑스러운 호박
CustomObject_Pumpkin_B_Desc |= 거대한 랜턴을 만드는 데 사용할 수 있습니다.
CustomObject_Window_A_A_Name |= 다이아몬드 창문
CustomObject_Window_A_A_Desc |= 단순하고 소박하며 인상적인 투명 창입니다.
CustomObject_Window_A_B_Name |= 아이비 창문
CustomObject_Window_A_B_Desc |= 크리프를 위한 창입니다.
CustomObject_Window_A_C_Name |= 푸른 이끼 창문
CustomObject_Window_A_C_Desc |= 뷰에 색을 추가합니다.
CustomObject_Window_B_A_Name |= 일반 헥스 창문
CustomObject_Window_B_A_Desc |= 기본적이지만 기능적인 창입니다.
CustomObject_Window_B_B_Name |= 잎이 많은 헥스 창문
CustomObject_Window_B_B_Desc |= 멋진 프레임 창입니다.
CustomObject_Window_B_C_Name |= 양귀비 헥스 창문
CustomObject_Window_B_C_Desc |= 빨간색 리드 구속.
CustomObject_Window_C_A_Name |= 아치형 창문
CustomObject_Window_C_A_Desc |= 자세히 살펴봅시다.
CustomObject_Window_C_B_Name |= 잎이 달린 아치형 창문
CustomObject_Window_C_B_Desc |= 아치 제작자 Archie가 디자인했습니다.
CustomObject_Window_C_C_Name |= 푸른 꽃잎 창문
