Greeting |= 뭐해!


NPCRidingPigReaction |= 그거 조심하세요
NPCRidingPigReaction |= 돼지 타기 숙련도 시험을 통과하셨나요?
NPCRidingPigReaction |= 조심해서 타세요!
NPCRidingPigReaction |= 저 돼지가 나는 걸 좀 보세요!
NPCRidingPigReaction |= 빨리 가!
NPCRidingPigReaction |= 돼지에게 후추 냄새가 난다
NPCRidingPigReaction |= 와, 저기!
NPCRidingPigReaction |= 쫀득쫀득한 베이컨!
NPCRidingSheepReaction |= 조심하세요! 부딪히지 마세요!
NPCRidingSheepReaction |= 양 타기 숙련도 시험을 통과하셨나요?
NPCRidingSheepReaction |= 조심해서 타세요!
NPCRidingSheepReaction |= 저 양들 좀 보세요!
NPCRidingSheepReaction |= 나아아아쁜!
NPCRidingSheepReaction |= 민트야!
NPCRidingSheepReaction |= 와, 저기!
NPCRidingSheepReaction |= 절단 속도!
GoddessDayReminder |= 예배를 드렸어?
GoddessDayReminder |= 자정까지 여신의 은총을 얻자!
GoddessDayReminder |= 오늘은 여신의 날이야. 예배를 드렸어?
GoddessDayReminder |= 이번 여신의 날에는 어떤 축복을 기원할거야?
GoddessDayReminder |= 너는 여신에게 제물을 바치는 것을 좋아하는 것 같네요!
GoddessDayReminder |= 오늘 제물을 바쳤어?
GoddessDayReminder |= 예배의 날입니다! 축하하자!
GoddessDayReminder |= 이번 주에 내 제물이 도움이되길 바라.
GoddessDayReminder |= 안녕 은빛 낫! 나는 좋은 축복을 좋아해.
GoddessDayReminder |= 예배에서 좋은 작물을 얻었어, 아니면 나쁜 쓰레기를 얻었어?
CookedMealReactionPoor |= 음, 최선을 다 한 것 같아.
CookedMealReactionGood |= 그거 의외로 맛있었어. 마더 허바드가 만드는 법을 가르쳐 주었어? 너는이 요리의 달인같아.
CookedMealReactionGood |= 누군가의 애정을 얻는 한 가지 방법은 그들의 입맛을 즐겁게 하는 거야! 정말 맛있는 식사였고 즐거운 시간을 보냈어. 고마워, <PlayerName>.
CookedMealReactionGood |= 한 입 먹을 때마다 너를 더 사랑하게 되었고, 매일 행복하게 먹을 수 있었어.
CookedMealReactionGood |= 정말 낭만적이었어. 하지만 접시는 설거지하지 않을거야. 부드러운 손을 관리해야 하거든. 언젠가는 고마워할지도 몰라!
CookedMealReactionGood |= 정말 즐거운 식사였어. 한 입 먹을 때마다 행복했어.
CookedMealReactionGood |= 잘 차려진 식탁에 둘러앉아 함께 나누는 식사보다 더 매력적인 것은 없어.
CookedMealReactionGood |= 정말 멋졌어요! 기술과 정성을 다해 요리하는구나. 언젠가 디저트가 추가되기를 기대하고 있어.
CookMealPrep |= 집이 멋지고 아늑하네.
CookMealPrep |= 무엇을 만들거야?
CookMealPrep |= 너의 작품을 맛보고 싶어.
CookMealPrep |= 좋은 냄새... 으으으음.
CookMealPrep |= 바닥은 누가 했어?
CookMealPrep |= 정말 멋지네.
CookMealPrep |= 난 손재주가 좋은 사람이 좋아.
CookMealPrep |= 너만큼 맛있길 바라.
CookMealPrep |= 난 요리하는 거 좋아해. 향이...
CookMealPrep |= 글루텐 프리인야? 그리고 글루텐이 뭔야?
VisitPlaceReaction |= 여기 너무 예뻐요.
VisitPlaceReaction |= 여기는 너무 사랑스러워.
VisitPlaceReaction |= 이곳은 즐거운 곳이야.
VisitPlaceReaction |= 나는 항상 이곳을 좋아했어.
VisitPlaceReaction |= 공기에서 좋은 냄새가 나네.
VisitPlaceReaction |= 로맨틱하지 않아?
VisitPlaceReaction |= 아주 목가적이네.
VisitPlaceReaction |= 여기 너와 나 그리고 곤충들뿐이잖아.
VisitPlaceReaction |= 감시하는 여신들만 빼면 우리 둘뿐이야.
VisitPlaceReaction |= 정말 아름다운 곳이야.
VisitPlaceReaction |= 난 여기가 좋아.
VisitPlaceReaction |= 여기 좋네.
VisitPlaceReaction |= 아, 너무 평화로워.
VisitPlaceReaction |= 로맨틱하지 않아?
VisitPlaceReaction |= 난 여기가 정말 좋아.
VisitPlaceReaction |= 여기 자주 와?
VisitPlaceReaction |= 세상에는 아름다운 것들이 너무 많아.
VisitPlaceReaction |= 드디어 혼자야.
VisitPlaceReaction |= 여기 있으면 내면의 평화가 찾아와.
VisitPlaceReaction |= 사람들의 시선으로부터 벗어나. 여신들만 빼고.
VisitShowReaction |= 나는 펍에 오는 것을 좋아하지만... 이번엔 좀 더 특별하네.
VisitShowReaction |= 여기 분위기가 좋네. 지금처럼 데이트하기에 딱이다.
VisitShowReaction |= 활기찬 술집과 술 냄새, 구토 냄새를 데이트에 비교할 수는 없지. 응, 내 생각인 거 알아.
VisitShowReaction |= 정말 재미있어! 여기 정말 좋아!
VisitShowReaction |= 이곳에 자주 와? 예전에 이곳에서 몇 번 데이트한 적이 있는데, 술 한 잔과 여흥을 즐기며 특별한 사람을 알아가는 게 정말 즐거워.
VisitShowReaction |= 다음은 누구 차례야? 말해봐, 이걸 받으면 나중에 내가 가져다줄게.
DateGiftReaction |= 나한테?
DateGiftReaction |= 아, 그러지마.
DateGiftReaction |= 선물? 난 축복받았어.
DateGiftReaction |= 로맨틱하다!
DateGiftReaction |= 자상하네.
DateGiftReaction |= 넌 정말 다정해.
DateGiftReaction |= 이 빵에 버터를 바르는 법을 알아!
DateGiftReaction |= 정말 친절하구나.
DateChatTextCook |= 집에서 밥 한 끼 해줘!
DateChatTextShow |= 마을 주점으로 가자.
DateChatTextGift |= 좋아요, 어떤 선물을 준비했어?
DateChatTextMusic |= 음악을 들려줘.
DateTaskCook |= 데이트를 위해 집에서 요리를 해보세요.
DateTaskShow |= 마을 주점을 방문하세요.
DateTaskGift |= 선물하기.
DateTaskMusic |= 음악 들려주기.
DateChatMusicPlaying1 |= 좋아, 멈추지마. 끝날 때까지 들을 수 있어.
DateChatMusicPlaying2 |= 아름다워. 누가 내 귀에 꿀을 부은 것 같아.
DateChatMusicPlaying3 |= 놀라워요 너는 음악에 재능이 있구나.
DateChatMusicStopped |= 아아아, 계속 들려줘. 내 귀에 아름다운 선율이 들려.
DateChatMusicEnd |= 정말 멋진 음악이야. 넌 마음에서 우러나오는 연주로 내 영혼을 울렸어.
DateChatMusicEnd |= 나는 꿈속에서 그 현악기 소리를 듣고 있어. 내가 너의 류트가 되어도 될까?
DateChatMusicEnd |= 듣고 잠들 뻔했어! 정말 꿈만 같아!
DateChatMusicEnd |= 우리가 함께 이렇게 아름다운 음악을 만들 수 있다니.
DateChatMusicEnd |= 내 가슴이 떨렸어. 귀가 녹고 다리가 젤리처럼 흐물거려.
DateChatMusicEnd |= 데이트하는 두 사람에게 딱 선곡이네. 더 많은 것을 원하지만 지나친 로맨스는 지진과 떨림으로 이어질 수 있으니까.

DateEndingBadly |= 잘 안됐어.
DateEndingBadly |= 이번 데이트가 특별하길 원한다고 했잖아!
DateTooLate |= 데이트하기엔 너무 늦었어 집에 가야 해.
DateArrived |= 왔구나, 올 줄 알았어.
DateEnjoyable |= 오늘 너와 함께해서 정말 좋았어. 언젠가 다시 만나고 싶어.
MarriageStrollTooLate |= 너무 늦었어, 이제 집에 가야 해.
MarriageTaskEndingBadly |= 결혼할 뻔했는데 정말 가슴이 아파!
PlayMusicReaction |= 재능이 대단하다.
PlayMusicReaction |= 나가! 넌 음유시인이야!
PlayMusicReaction |= 감미로운 음악이군.
PlayMusicReaction |= 우리처럼 사랑스러운 멜로디야.
PlayMusicReaction |= 내 마음이 나방처럼 설레네.
PlayMusicReaction |= 너무 달콤해!
PlayMusicReaction |= 내 귀에 음악이 들려요.
PlayMusicReaction |= 날 유혹하려는 거야?
PlayMusicReaction |= 너의 멜로디가 좋아.
PlayMusicReaction |= 내가 아는 곡을 연주해줘.
PlayMusicReaction |= 당신이 만드는 음악은 정말 감미롭군.
PlayMusicReaction |= 라라라라
PlayMusicReaction |= 이 음악으로 마음을 녹일 수 있어요.
PlayMusicReaction |= 난 아름다운 음악에 약해
PlayMusicReaction |= 너무 매혹적이야
PlayMusicReaction |= 난 록 음악을 좋아해. 막대기로 바위를 치는 거말야.
BindingBandAccepted |= 여신의 축복이 있기를! 이제 날짜를 정해야해!
BindingBandAccepted |= 우리 결혼이 시작되었어! 정말 행복한 날이야! 사랑해!
BindingBandAccepted |= 오, 밴드! 진심으로 받아들일게. 날짜를 선택하자.
BindingBandAccepted |= 내가 본 것 중 가장 아름다운 바인딩 밴드야! 우리는 특별히 축복받아야해. 당신은 당신의 가치를 증명했고, 나는 진정으로 당신의 것이야.
BindingBandAccepted |= 으아 결혼! 날짜를 정하자!
BindingBandRejected |= 나를 위한 것이 아니야. 미안해. 아직은 때가 아니라고 생각해.
BindingBandDeliverInPerson |= 나에게 직접 건내줘.
BindingBandDateSelected |= 완벽해! 하루가 기다려져!
BindingBandDateSelected |= 너무 설레! 머리를 빗고 중요한 날을 준비해야겠어!
BindingBandDateSelected |= 멋져! 이보다 더 좋은 날을 직접 고를 수는 없었어.
BindingBandDateSelected |= 데이트야! 제시간에 와야해. 제 시간에 나타나지 않으면 상자에 넣을 거야.
BindingBandDateSelected |= 완벽한 커플을 위한 완벽한 데이트! 빨리 결혼하고 싶어!
BindingBandDateSelected |= 내가 제일 좋아하는 숫자와 요일이야! 운명적이야!
BindingBandDateSelected |= 곧 결혼할 거라는 생각에 어지러워. 사랑의 기운이 너무 강해.
BindingBandDateSelected |= 멋진 데이트! 우리 결혼해서 자손을 많이 낳자. 음, 세 명까지.
ReactToRose |= <PlayerName>! 날 위해? 정말?! 생각도 못했어! 결혼?!
ReactToRose |= 이 장미를 당신이 골랐어? 나를 위해? 멋진 프로포즈였어, <PlayerName>!
ReactToRose |= 오늘이 내 인생에서 가장 행복한 날이야! 고마워, <PlayerName>!
ReactToRose |= 흰 장미! 아름다운 프로포즈! 좋아, <PlayerName>!
ReactToRose |= 프로포즈하다니 믿을 수가 없어! 오, <PlayerName>!
ReactToRose |= 내게 일어난 일 중 가장 로맨틱한 일이야, <PlayerName>!
ReactToRose |= 프로포즈! 하지만 당신의 가치를 증명할 수 있겠어, <PlayerName>?
RoadToMarriagePositive |= 나는 좋은 결혼식을 좋아해.
RoadToMarriagePositive |= 성공하길 바라!
RoadToMarriagePositive |= 의식 절차를 잊지마!
RoadToMarriagePositive |= 너의 가치를 증명하라! 너의 가치를 증명하라!
RoadToMarriagePositive |= 저기 있네! 자신의 가치를 증명하라!
RoadToMarriageNegative |= 흠.
RoadToMarriageNegative |= 배우자분은 운이 없으시네.
RoadToMarriageNegative |= 네 가치를 증명한다고? 흥! 쓸모없어.
RoadToMarriageNegative |= 넌 훌륭한 배우자가 될거야. 다른 누군가를 위해.
RoadToMarriageNegative |= 하지만, 정말? 우린 서로에게 맞지 않잖아, 그렇지?
RoadToMarriageNegative |= 너는 자격이 없다고 생각해
RoadToMarriageMakePie |= 파이를 만들 때 참위드를 따는 것을 잊지마! 서머다운에 가봐.
RoadToMarriageMakePie |= 썸머다운에는 참위드가 흔하다고 들었어.
RoadToMarriageMakePie |= 오늘은 달걀을 모아야 해, 기억하지?
RoadToMarriageMakePie |= 파이에 쓸 밀가루는 구했어?
RoadToMarriageMakePie |= 오늘 파이를 구울 건야?
RoadToMarriageMakePie |= 집에 파이를 구울 가마가 있지 않니?
RoadToMarriageGiveToPriest |= 그 파이를 러버우드에 있는 사제에게 줄 거야?
RoadToMarriageGiveBandToPartner |= 너무 신나요! 내 바인딩 밴드 가져왔어?!
RoadToMarriageGetMarried |= 결혼식 날이 빨리 왔으면 좋겠어!
OfferingForBinding |= 당신의 제물은 여신이 받아들였습니다. 바인딩 밴드를 가져가 사랑하는 사람에게 선물하세요.

ObjectReactDandelion |= 관심 없어, 내가 직접 고를 수 있어!
ObjectReactBirthdayUnknown |= 내 생일을 기억하고 있었구나, 고마워. <PlayerName>!
ObjectReactBirthdayLike |= 내 생일을 기억해 주고 특별한 선물을 준비해 주어서 고마워!
ObjectReactBirthdayDislike |= 나한테 주는거라고? 내 생일에!?
SimHit |= 아, 조심해!
SimHit |= 아, 아파!
SimHit |= 그만해!
SimHitFriendly |= 왜 그러는 거야?
SimHitUnfriendly |= 저주할 거야!


StoppedShopping |= 시간이 됐어?  지금 가야해.
ForgetMeFlowerUsed |= 누구라고?
RabbitCorndollRejection |= 그럴 일은 없을 거야.
RoseOfRomanceRejection |= 그럴 일은 없을 거야.
RoseOfRomanceRejection_AlreadyMarried |= 우리는 이미 전에 결혼을 했었어. 성령이 우리를 떠났기 때문에 우리의 길은 다른 곳에 놓여 있었어.
WhiteRoseRejection |= 그럴 일은 없을 거야.
WhiteRoseRejectionAlreadyGotTask |= 이미 다른 사람과 결혼 의식을 시작했잖아!
WhiteRoseRejectionNotFirstDay |= 결혼 예식은 한주의 첫번째 날에 치러야해.
WhiteRoseRejectionWinter |= 겨울에는 결혼할 수 없어!
DandelionRejection |= 관심 없어, 내가 직접 고를 수 있어!
DateClashError |= 이미 데이트가 잡혀있잖아!
DateAcceptance |= 좋아, 데이트야! <VAR1> <VAR2> 에 있는 우리집에서 만나자.
DateAcceptanceWork |= 좋아, 데이트야! Meet me at my work at <VAR1> <VAR2> 에 있는 내 직장에서 만나자.
RomanticRejectionAngry |= 난 그런 것엔 관심 없어!
RoseOfRomanceRejectionNeutral |= 난 너를 별로 좋아하지 않아...
WhiteRoseRejectionNeutral |= 나는 너를 사랑하지 않아...
WhiteRoseRejectionAlreadyMarriedToSamePerson |= 우리는 이미 결혼했어.
WhiteRoseRejectionAlreadyMarried |= 이미 결혼했잖아.
