NPCCONVERSATION_GREETING_ALL_1 |= 안녕하세요. 잘 지내셨나요?
NPCCONVERSATION_FAREWELL_ALL_1 |= 안전한 여행 되세요.
NPCCONVERSATION_FAREWELL_ALL_1 |= 좋은 하루 되세요.
NPCCONVERSATION_FAREWELL_ALL_1 |= 잘 다녀오세요.
NPCCONVERSATION_FAREWELL_ALL_1 |= 안녕히 가세요.
NPCCONVERSATION_FAREWELL_ALL_1 |= 만나서 반가웠어요.
NPCCONVERSATION_FAREWELL_ALL_1 |= 대화 즐거웠어요.
NPCCONVERSATION_FAREWELL_ALL_2 |= 안녕히 가세요!
NPCCONVERSATION_FAREWELL_ALL_2 |= 안녕!
NPCCONVERSATION_FAREWELL_ALL_2 |= 나중에 봐!
NPCCONVERSATION_FAREWELL_ALL_2 |= 또 보자!
NPCCONVERSATION_FAREWELL_ALL_2 |= 조심하세요.
NPCCONVERSATION_FAREWELL_ALL_2 |= 여신이 당신을 축복합니다.
NPCCONVERSATION_FAREWELL_ALL_2 |= 안녕!
NPCCONVERSATION_FAREWELL_ALL_2 |= 알프 위어디사인인지 뭔지.
NPCCONVERSATION_FAREWELL_ALL_2 |= 길 잘 지켜
NPCCONVERSATION_FAREWELL_ALL_2 |= 너도 잘 다녀와
NPCCONVERSATION_FAREWELL_ALL_2 |= 안녕히 계세요
NPCCONVERSATION_FAREWELL_ALL_2 |= 복 받으세요
NPCCONVERSATION_FAREWELL_ALL_2 |= 안녕
NPCCONVERSATION_FAREWELL_ALL_2 |= 행복하세요.
NPCCONVERSATION_RAINING_ALL_1 |= 다시 비가 내립니다.
NPCCONVERSATION_RAINING_ALL_1 |= 비는 내리지 않지만 쏟아집니다.
NPCCONVERSATION_RAINING_ALL_1 |= 침을 뱉고 있어요.
NPCCONVERSATION_RAINING_ALL_1 |= 오로레가 또 울고 있어요.
NPCCONVERSATION_RAINING_ALL_1 |= 비가 오네요.
NPCCONVERSATION_RAINING_ALL_1 |= 또 비가 오네
NPCCONVERSATION_RAINING_ALL_1 |= 비가 그치겠지?
NPCCONVERSATION_RAINING_ALL_1 |= 또 비가 오네
NPCCONVERSATION_RAINING_ALL_1 |= 오늘은 오소리 코처럼 젖었네.
NPCCONVERSATION_RAINING_ALL_1 |= 오늘은 오소리 코처럼 젖었네.
NPCCONVERSATION_RAINING_ALL_1 |= 이슬비 좀 내리지?
NPCCONVERSATION_RAINING_ALL_1 |= 축축하네.
NPCCONVERSATION_RAINING_ALL_1 |= 흠뻑 젖었어
NPCCONVERSATION_RAINING_ALL_1 |= 흠뻑 젖었어!
NPCCONVERSATION_RAINING_ALL_1 |= 이 비가 그쳤으면 좋겠어.
NPCCONVERSATION_RAINING_ALL_1 |= 또 젖었네
NPCCONVERSATION_RAINING_ALL_2 |= 그래, 젖었어.
NPCCONVERSATION_RAINING_ALL_2 |= 머리를 감아야 했어요.
NPCCONVERSATION_RAINING_ALL_2 |= 젖어도 괜찮아.
NPCCONVERSATION_RAINING_ALL_2 |= 좋았어!
NPCCONVERSATION_RAINING_ALL_2 |= 멈추지 않아요.
NPCCONVERSATION_RAINING_ALL_2 |= 식물에 좋죠.
NPCCONVERSATION_RAINING_ALL_2 |= 오래 갈지는 모르겠지만
NPCCONVERSATION_RAINING_ALL_2 |= 공기를 상쾌하게 해줘요.
NPCCONVERSATION_RAINING_ALL_2 |= 고양이 수염처럼 축축하네.
NPCCONVERSATION_RAINING_ALL_2 |= 사라졌다가 다시 돌아올 거야.
NPCCONVERSATION_RAINING_ALL_2 |= 수달의 부엌처럼 축축합니다.
NPCCONVERSATION_RAINING_ALL_2 |= 수영하기 좋은 날씨!
NPCCONVERSATION_RAINING_ALL_2 |= 계속 이어지지 않았으면 좋겠네요.
NPCCONVERSATION_RAINING_ALL_2 |= 아주 많이!
NPCCONVERSATION_RAINING_ALL_2 |= 충분히 무해합니다.
NPCCONVERSATION_RAINING_ALL_2 |= 고양이처럼 침 뱉기.
NPCCONVERSATION_SNOW_ALL_1 |= 눈이 내린다!
NPCCONVERSATION_SNOW_ALL_1 |= 드루이다의 비듬이 내린다.
NPCCONVERSATION_SNOW_ALL_1 |= 눈이 온다고?
NPCCONVERSATION_SNOW_ALL_1 |= 오늘은 추워요.
NPCCONVERSATION_SNOW_ALL_1 |= 나 눈 좋아해.
NPCCONVERSATION_SNOW_ALL_1 |= 눈송이가 정말 많네요.
NPCCONVERSATION_SNOW_ALL_1 |= 아주 포근한 날씨네요.
NPCCONVERSATION_SNOW_ALL_1 |= 눈이 더 와요?
NPCCONVERSATION_SNOW_ALL_1 |= 눈이 오네요.
NPCCONVERSATION_SNOW_ALL_1 |= 눈이 좀 오네요.
NPCCONVERSATION_SNOW_ALL_1 |= 쌀쌀하네요!
NPCCONVERSATION_SNOW_ALL_1 |= 오늘은 좀 춥네요.
NPCCONVERSATION_SNOW_ALL_2 |= 확실히 예쁘네요.
NPCCONVERSATION_SNOW_ALL_2 |= 전 눈이 좀 오는 게 좋아요.
NPCCONVERSATION_SNOW_ALL_2 |= 양털로 된 야외 의자가 필요해요!
NPCCONVERSATION_SNOW_ALL_2 |= 부드럽고 부드러워요.
NPCCONVERSATION_SNOW_ALL_2 |= 거위가 폭발했나요?
NPCCONVERSATION_SNOW_ALL_2 |= 발밑이 바삭바삭해요!
NPCCONVERSATION_SNOW_ALL_2 |= 크리스탈 키스처럼.
NPCCONVERSATION_SNOW_ALL_2 |= 사랑스럽다.
NPCCONVERSATION_SNOW_ALL_2 |= 끔찍해.
NPCCONVERSATION_SNOW_ALL_2 |= 여우 엉덩이처럼 부드러워.
NPCCONVERSATION_SNOW_ALL_2 |= 차갑다!
NPCCONVERSATION_SNOW_ALL_2 |= 니피!
NPCCONVERSATION_WIND_ALL_1 |= 오늘 바람이 많이 부나요?
NPCCONVERSATION_WIND_ALL_1 |= 오늘은 바람이 좀 불어요.
NPCCONVERSATION_WIND_ALL_1 |= 오, 거칠네요.
NPCCONVERSATION_WIND_ALL_1 |= 거세다!
NPCCONVERSATION_WIND_ALL_1 |= 여신이 콩을 먹고 있나 봐요!
NPCCONVERSATION_WIND_ALL_1 |= 누군가 나쁜 가스가 나는 사과를 먹었나 봐요!
NPCCONVERSATION_WIND_ALL_1 |= 바람이 불어요!
NPCCONVERSATION_WIND_ALL_1 |= 오소리처럼 불고 있어요.
NPCCONVERSATION_WIND_ALL_1 |= 거센 바람!
NPCCONVERSATION_WIND_ALL_1 |= 바람이 불고 있어.
NPCCONVERSATION_WIND_ALL_1 |= 오늘은 모자 꼭 써요.
NPCCONVERSATION_WIND_ALL_1 |= 오늘은 울부짖는다.
NPCCONVERSATION_WIND_ALL_1 |= 좀 세게!
NPCCONVERSATION_WIND_ALL_1 |= 신선한 바람입니다.
NPCCONVERSATION_WIND_ALL_1 |= 오늘은 돌풍이 불어요!
NPCCONVERSATION_WIND_ALL_2 |= 예, 아름답게 불고 있습니다.
NPCCONVERSATION_WIND_ALL_2 |= 내가 아니었어!
NPCCONVERSATION_WIND_ALL_2 |= 확실히 거세네요.
NPCCONVERSATION_WIND_ALL_2 |= 어젯밤 나만큼은 안 불었어!
NPCCONVERSATION_WIND_ALL_2 |= 확실히 상쾌하네요!
NPCCONVERSATION_WIND_ALL_2 |= 바람이 많이 불어요!
NPCCONVERSATION_WIND_ALL_2 |= 바람이 불어요! 무슨 뜻인지 모르겠지만요.
NPCCONVERSATION_WIND_ALL_2 |= 네, 확실히 바람이 많이 불어요.
NPCCONVERSATION_WIND_ALL_2 |= 황야에서 조심해야겠네요!
NPCCONVERSATION_WIND_ALL_2 |= 강한 페그 날씨
NPCCONVERSATION_WIND_ALL_2 |= 머리핀을 꽉 잡으세요!
NPCCONVERSATION_WIND_ALL_2 |= 퍽퍽퍽!
NPCCONVERSATION_WIND_ALL_2 |= 벽돌 양지머리처럼 힘차게.
NPCCONVERSATION_WIND_ALL_2 |= 확실히 야생입니다!
NPCCONVERSATION_WIND_ALL_2 |= 오소리 바닥처럼 거칠어요.
NPCCONVERSATION_FOG_ALL_1 |= 오늘은 아무것도 보이지 않습니다.
NPCCONVERSATION_FOG_ALL_1 |= 오늘은 정말 안개가 자욱합니다!
NPCCONVERSATION_FOG_ALL_1 |= 안개다! 드래곤이 짝짓기 중인가 봐요!
NPCCONVERSATION_FOG_ALL_1 |= 안개야!
NPCCONVERSATION_FOG_ALL_1 |= 겁나!
NPCCONVERSATION_FOG_ALL_1 |= 안개가 꽤 짙네.
NPCCONVERSATION_FOG_ALL_1 |= 오늘은 안개가 자욱하네!
NPCCONVERSATION_FOG_ALL_1 |= 이 안개 속에서는 가죽도 털도 보이지 않아.
NPCCONVERSATION_FOG_ALL_1 |= 완두콩 수퍼야, 알았어!
NPCCONVERSATION_FOG_ALL_1 |= 오늘은 흐림.
NPCCONVERSATION_FOG_ALL_1 |= 오늘은 흐린 날씨.
NPCCONVERSATION_FOG_ALL_1 |= 목수의 날씨.
NPCCONVERSATION_FOG_ALL_1 |= 블레이크의 금으로 안개가 자욱합니다!
NPCCONVERSATION_FOG_ALL_1 |= 안개가 좀 끼었죠?
NPCCONVERSATION_FOG_ALL_2 |= 네, 소시지도 안 보여요.
NPCCONVERSATION_FOG_ALL_2 |= 지난번보다 안개가 더 짙어
NPCCONVERSATION_FOG_ALL_2 |= 안개가 끼면 비명소리가 숨겨지죠.
NPCCONVERSATION_FOG_ALL_2 |= 우리의 연례 안개 낀 날.
NPCCONVERSATION_FOG_ALL_2 |= 이 안개가 걷히면 좋겠어!
NPCCONVERSATION_FOG_ALL_2 |= 수프!
NPCCONVERSATION_FOG_ALL_2 |= 이 안에서 길을 잃을 것 같아.
NPCCONVERSATION_FOG_ALL_2 |= 연못 근처에는 가지 마세요!
NPCCONVERSATION_FOG_ALL_2 |= 발밑 조심해!
NPCCONVERSATION_FOG_ALL_2 |= 아주 진한 죽이네.
NPCCONVERSATION_FOG_ALL_2 |= 나도 한 입 먹었어.
NPCCONVERSATION_FOG_ALL_2 |= 해외의 어두운 것들!
NPCCONVERSATION_FOG_ALL_2 |= 채집할 때는 조심하세요.
NPCCONVERSATION_FOG_ALL_2 |= 절벽에서 떨어지지 마세요!
NPCCONVERSATION_NICEWEATHER_ALL_1 |= 오늘 날씨가 좋네요
NPCCONVERSATION_NICEWEATHER_ALL_1 |= 기분 좋은 날입니다.
NPCCONVERSATION_NICEWEATHER_ALL_1 |= 솔니르는 오늘 행복해 보인다.
NPCCONVERSATION_NICEWEATHER_ALL_1 |= 아, 멋진 하루.
NPCCONVERSATION_NICEWEATHER_ALL_1 |= 오늘은 좋은 날입니다.
NPCCONVERSATION_NICEWEATHER_ALL_1 |= 따뜻하고 좋은 날씨.
NPCCONVERSATION_NICEWEATHER_ALL_1 |= 아름다운 날씨.
NPCCONVERSATION_NICEWEATHER_ALL_1 |= 좋은 날.
NPCCONVERSATION_NICEWEATHER_ALL_1 |= 오늘은 좋고 온화합니다.
NPCCONVERSATION_NICEWEATHER_ALL_1 |= 화창한 날, 비는 멀리!
NPCCONVERSATION_NICEWEATHER_ALL_1 |= 축복받은 날씨.
NPCCONVERSATION_NICEWEATHER_ALL_1 |= 낮잠을 자기에 좋은 날씨.
NPCCONVERSATION_NICEWEATHER_ALL_1 |= 오늘 내 뺨을 따뜻하게합니다.
NPCCONVERSATION_NICEWEATHER_ALL_2 |= 예, 아름답습니다.
NPCCONVERSATION_NICEWEATHER_ALL_2 |= 사랑스럽다!
NPCCONVERSATION_NICEWEATHER_ALL_2 |= 우리 여신처럼 빛납니다.
NPCCONVERSATION_NICEWEATHER_ALL_2 |= 태양을 찬양하라! 오늘은 어둠의 영혼이 없네.
NPCCONVERSATION_NICEWEATHER_ALL_2 |= 상의를 벗어야겠어.
NPCCONVERSATION_NICEWEATHER_ALL_2 |= 정말 맛있어요!
NPCCONVERSATION_NICEWEATHER_ALL_2 |= 카모마일 수프보다 더 부드러워.
NPCCONVERSATION_NICEWEATHER_ALL_2 |= 겨드랑이에는 산들바람이 불고.
NPCCONVERSATION_NICEWEATHER_ALL_2 |= 드래곤의 분노를 뚫고 낮잠을 잘 수 있겠어.
NPCCONVERSATION_NICEWEATHER_ALL_2 |= 태양이 놀러 왔어요!
NPCCONVERSATION_NICEWEATHER_ALL_2 |= 기분 좋네요. 맛있는 파이처럼.
NPCCONVERSATION_NICEWEATHER_ALL_2 |= 졸릴 것 같아.
NPCCONVERSATION_NICEWEATHER_ALL_2 |= 뺨에 색을 입혀요. 그리고 얼굴도.
NPCCONVERSATION_MARKETDAY_ALL_1 |= 장날은 제가 가장 좋아하는 날입니다.
NPCCONVERSATION_MARKETDAY_ALL_1 |= 시장에서 물건을 사시나요?
NPCCONVERSATION_MARKETDAY_ALL_1 |= 오늘은 무엇을 파는지 궁금하신가요?
NPCCONVERSATION_MARKETDAY_ALL_1 |= 오늘은 시장이 붐비네요.
NPCCONVERSATION_MARKETDAY_ALL_1 |= 물건을 사러 가자.
NPCCONVERSATION_MARKETDAY_ALL_1 |= 이 작은 돼지는 시장을 좋아해요.
NPCCONVERSATION_MARKETDAY_ALL_1 |= 오늘 뭐 사세요?
NPCCONVERSATION_MARKETDAY_ALL_1 |= 쇼핑하는 날이에요.
NPCCONVERSATION_MARKETDAY_ALL_2 |= 난 좋은 시장이 좋아요.
NPCCONVERSATION_MARKETDAY_ALL_2 |= 가격이 계속 올라가고 있어요.
NPCCONVERSATION_MARKETDAY_ALL_2 |= 물건값이 너무 비싸서 싫어요.
NPCCONVERSATION_MARKETDAY_ALL_2 |= 질산염 판매자는 없나요?
NPCCONVERSATION_MARKETDAY_ALL_2 |= 싸게 사러 갈게요.
NPCCONVERSATION_MARKETDAY_ALL_2 |= 이 작은 돼지는 시장을 싫어해요.
NPCCONVERSATION_MARKETDAY_ALL_2 |= 싸게 사면 두 번 사세요.
NPCCONVERSATION_MARKETDAY_ALL_2 |= 거기서 물건을 사세요.
NPCCONVERSATION_GODDESSDAY_ALL_1 |= 오늘 예배를 드렸나요?
NPCCONVERSATION_GODDESSDAY_ALL_1 |= 오늘 헌금은 하셨나요?
NPCCONVERSATION_GODDESSDAY_ALL_1 |= 오늘 좋은 당근을 바쳤어요.
NPCCONVERSATION_GODDESSDAY_ALL_1 |= 좋은 축복을 받았나요?
NPCCONVERSATION_GODDESSDAY_ALL_1 |= 좋은 여신의 날입니다.
NPCCONVERSATION_GODDESSDAY_ALL_1 |= 좋은 제물 드렸나요?
NPCCONVERSATION_GODDESSDAY_ALL_1 |= 예배하는 거 잊지 마세요.
NPCCONVERSATION_GODDESSDAY_ALL_1 |= 여신의 날입니다. 축복하겠네
NPCCONVERSATION_GODDESSDAY_ALL_2 |= 이번 주 제물 다 바쳤어요.
NPCCONVERSATION_GODDESSDAY_ALL_2 |= 제물을 모두 정리했습니다.
NPCCONVERSATION_GODDESSDAY_ALL_2 |= 풍성한 결실을 바라며.
NPCCONVERSATION_GODDESSDAY_ALL_2 |= 슬프게도 많이 바치지 못했어.
NPCCONVERSATION_GODDESSDAY_ALL_2 |= 제물 다 드렸습니다.
NPCCONVERSATION_GODDESSDAY_ALL_2 |= 난 달걀과 좋은 열매를 바쳤어.
NPCCONVERSATION_GODDESSDAY_ALL_2 |= 토바이어스는 전투의 축복을 받았어.
NPCCONVERSATION_GODDESSDAY_ALL_2 |= 축복이 있기를!
NPCCONVERSATION_RAMBLINGS_ALL_1 |= 요즘 방귀를 멈출 수가 없어요.
NPCCONVERSATION_RAMBLINGS_ALL_1 |= 어젯밤에 맹세코 밴시 소리를 들었어요.
NPCCONVERSATION_RAMBLINGS_ALL_1 |= 방랑자가 저주를 받았다고 들었어요.
NPCCONVERSATION_RAMBLINGS_ALL_1 |= 요즘 개구리들이 많아요
NPCCONVERSATION_RAMBLINGS_ALL_1 |= 고양이들 진짜로 누구야?
NPCCONVERSATION_RAMBLINGS_ALL_1 |= 발가락이 노랗네요
NPCCONVERSATION_RAMBLINGS_ALL_1 |= 파이가 먹고 싶네요.
NPCCONVERSATION_RAMBLINGS_ALL_1 |= 지금 독한 술 한잔하고 싶은데.
NPCCONVERSATION_RAMBLINGS_ALL_1 |= 곧 낮잠 잘 시간이야.
NPCCONVERSATION_RAMBLINGS_ALL_1 |= 나중에 천둥이 칠지도 몰라.
NPCCONVERSATION_RAMBLINGS_ALL_1 |= 술 취한 요정을 본 게 분명해.
NPCCONVERSATION_RAMBLINGS_ALL_1 |= 소는 왜 늙지 않는 거지?
NPCCONVERSATION_RAMBLINGS_ALL_1 |= 유령 조심해
NPCCONVERSATION_RAMBLINGS_ALL_1 |= 더 댄서에 가본 적 있어요?
NPCCONVERSATION_RAMBLINGS_ALL_1 |= 모자를 쓴 큰 토끼를 꿈꿨어요.
NPCCONVERSATION_RAMBLINGS_ALL_1 |= 쇠못을 꼭 가지고 다니세요.
NPCCONVERSATION_RAMBLINGS_ALL_1 |= 지켜보는 냄비는 항상 끓는다.
NPCCONVERSATION_RAMBLINGS_ALL_1 |= 구르는 돌은 들쭉날쭉하다
NPCCONVERSATION_RAMBLINGS_ALL_1 |= 누가 달의 구멍을 훔쳤나요?
NPCCONVERSATION_RAMBLINGS_ALL_1 |= 부주의 한 속삭임이 미카엘을 데려갑니다.
NPCCONVERSATION_RAMBLINGS_ALL_1 |= 옥수수에는 귀가 있습니다.
NPCCONVERSATION_RAMBLINGS_ALL_1 |= 이게 현실인가, 아니면 환상인가?
NPCCONVERSATION_RAMBLINGS_ALL_1 |= 우리를 감시하는 건가요?
NPCCONVERSATION_RAMBLINGS_ALL_1 |= 파스 닙이 그것을 집어 올리는 것을보십시오.
NPCCONVERSATION_RAMBLINGS_ALL_1 |= 새 베개가 필요해.
NPCCONVERSATION_RAMBLINGS_ALL_1 |= 빈대가 물었어요.
NPCCONVERSATION_RAMBLINGS_ALL_1 |= 벌들이 윙윙거린다.
NPCCONVERSATION_RAMBLINGS_ALL_1 |= 밤에 열이 났어요. 밤 열병.
NPCCONVERSATION_RAMBLINGS_ALL_1 |= 나는 결코 광산에 갈 수 없었습니다.
NPCCONVERSATION_RAMBLINGS_ALL_1 |= 내 인생은 나를 위해 쓰여진 것 같아요.
NPCCONVERSATION_RAMBLINGS_ALL_1 |= 토끼 입술이네요. 입술에 털이 있어요.
NPCCONVERSATION_RAMBLINGS_ALL_1 |= 음식 냄새가 나?
NPCCONVERSATION_RAMBLINGS_ALL_1 |= 행운의 토끼 똥을 밟았어요.
