PlayerFamilyGifted_Spouse_LIKE |= 와! 정말 놀라워!
PlayerFamilyGifted_Child_UNKNOWN |= 감사합니다. 사랑해요.
PlayerFamilyGifted_Child_UNKNOWN |= 저한테요? 좋네요.
PlayerFamilyGifted_Child_UNKNOWN |= 앗!
PlayerFamilyGifted_Child_UNKNOWN |= 아아 고마워요!
PlayerFamilyGifted_Child_UNKNOWN |= 오오오!
PlayerFamilyGifted_Child_Birthday |= 우우우우와아아아! 생일 서언물!
PlayerFamilyGifted_Child_Birthday |= 빨리요!!
PlayerFamilyGifted_Child_Birthday |= 고마워요고마워요고마워요!
PlayerFamilyGifted_Child_Birthday |= 위이이이이! 커다란 선물, 그치만 조그만게 필요해요.
PlayerFamilyGifted_Child_Birthday |= 생일 축하해 나 자신!

PlayerSpouseBaby_HowAreYou |= 새로 태어난 아기 덕분에 정말 행복해.
PlayerSpouseBaby_HowAreYou |= 새로운 아기가 태어난 후에도 여전히 기쁨으로 가득해.
PlayerSpouseBaby_HowAreYou |= 황새가 우리를 축복해줘서 가슴이 뭉클해.
PlayerSpouseBaby_HowAreYou |= 황새가 와서 너무너무 기뻐!
PlayerSpouseBaby_HowAreYou |= 부모가 되는 기쁨으로 마음이 충만해.

PlayerSpouseAdoption_HowAreYou |= 당신이 우리를 위해 사랑스러운 새 아이를 선택해 주어서 정말 기뻐.
PlayerSpouseAdoption_HowAreYou |= 새 가족을 맞이하게 되어 기분이 좋아.
PlayerSpouseAdoption_HowAreYou |= 우리 가족이 성장하는 모습을 보니 기분이 좋아!
PlayerSpouseAdoption_HowAreYou |= 입양을 하니 기분이 정말 좋아. 새로운 아이에게 충분한 사랑을 줄거야.
PlayerSpouseAdoption_HowAreYou |= 슈에서 새롭게 데려온 아이 덕분에 기분이 좋아.

PlayerChildBaby_HowAreYou |= 새로운 동생이 생겨서 정말 기뻐요!
PlayerChildBaby_HowAreYou |= 우리 가족의 새로운 아이때문에 정말 정말 행복해요.
PlayerChildBaby_HowAreYou |= 정말 행복해요, 물어봐 주셔서 감사해요. 새로운 아이랑 같이 놀고 싶어요.
PlayerChildBaby_HowAreYou |= 기분 좋아요! 더 많은 사람들이 우리 가족을 더 좋게 만들 거예요.

PlayerSpouseMarriage_HowAreYou |= 러버우드에서 우리가 결혼한 후 나는 사랑의 영으로 가득 차 있어.
PlayerSpouseMarriage_HowAreYou |= 당신과 결혼해서 이보다 더 행복할 수가 없어.
PlayerSpouseMarriage_HowAreYou |= 나는 이제 막 이 아름다운 농장에 정착하여 당신과 함께 행복한 삶을 살고 있지.
PlayerSpouseMarriage_HowAreYou |= 정말 멋지고 행복하게 결혼한 것 같아!
PlayerSpouseMarriage_HowAreYou |= 나의 멋진 <PlayerName>, 사랑의 정신이 내 혈관을 타고 흐르고 있어.

PlayerSpouseBaby_WhatsHappening |= 돌봐야 할 아기가 새로 태어났기 때문에 이 멋진 의무에 많은 시간을 할애해야겠지.
PlayerSpouseBaby_WhatsHappening |= 우유 준비하기. 기저귀 빨기. 껴안아주기.
PlayerSpouseBaby_WhatsHappening |= 우리 새 아이는 나에게 많은 행복을 주고 있어. 아기가 정말 잘 자라고있어.
PlayerSpouseBaby_WhatsHappening |= 부모가 되는 기쁨이 커지고 있어!
PlayerSpouseBaby_WhatsHappening |= 방금 새로운 아이를 맞이했어.

PlayerSpouseAdoption_WhatsHappening |= 입양한 지 얼마 되지 않아서 해야 할 일이 많네.
PlayerSpouseAdoption_WhatsHappening |= 방금 새 아이를 입양했잖아. 이보다 더 기쁜 소식은 없을 거야!
PlayerSpouseAdoption_WhatsHappening |= 돌봐야 할 새로운 아이가 생겼고, 그 아이도 나중에 우리를 돌봐주기를 바라.
PlayerSpouseAdoption_WhatsHappening |= 부모가 된 기쁨이 가득하고 공기는 달콤하고 신선한 냄새가 나!

PlayerChildBaby_WhatsHappening |= 새 가족이 생겼어요. 정말 신나요. 곧 우리가 세상을 정복할 거예요!
PlayerChildBaby_WhatsHappening |= 새 형제가 생겼어요! 모두에게 말해야 해요!
PlayerChildBaby_WhatsHappening |= 새 동생을 괴롭힐 계획이에요. 내 말은, 잘 놀아준다고요.
PlayerChildBaby_WhatsHappening |= 우리 가족이 더 커졌어요. 가장 좋은 소식이에요!

PlayerSpouseMarriage_WhatsHappening |= 우리 집이 베일에서 가장 행복한 곳이 될 수 있도록 계획을 세우고 있어!
PlayerSpouseMarriage_WhatsHappening |= 이 아름다운 농장에 어떤 물건을 보관할지 아직 고민 중이야.
PlayerSpouseMarriage_WhatsHappening |= 지금 이보다 더 행복할 수 있는 일이 있을까 생각 중이야. 없는 것 같아!
PlayerSpouseMarriage_WhatsHappening |= 우리가 결혼한 게 아직도 믿기지 않아!
PlayerSpouseMarriage_WhatsHappening |= 지금 이 순간 우리 삶에 새로운 가능성이 너무 많이 생겼다는 생각이 들어.
