UI_Chat_WhatsHappening_Spouse_GARDEN |= 그냥 잡초를 조금 뽑는 중이야.
UI_Chat_WhatsHappening_Spouse_EAT |= 오, 내 인생의 사랑이여, 그저 잘 얻은 영양분을 섭취하는 중이야.

UI_Chat_WhatsHappening_Spouse_RELAX |= 아아, 마음과 몸을 정화하는 휴식이야.
UI_Chat_WhatsHappening_Spouse_RELAX |= 우리 농장의 분주한 일상에서 잠시 휴식을 취하고 있어.
UI_Chat_WhatsHappening_Spouse_RELAX |= 아픈 근육에게 잠시 휴식을 주고 있어. 일정을 여유롭게 잡아봐, 자기.
UI_Chat_WhatsHappening_Spouse_RELAX |= 일상에서 벗어나 달콤한 휴식을 취해봐, 나의 달콤한 꿀단지.

UI_Chat_WhatsHappening_Spouse_MILKCOW |= 나는 우리의 사랑스러운 소에게서 우유를 얻고있어.
UI_Chat_WhatsHappening_Spouse_MILKCOW |= 젖소 운동 시키려고.
UI_Chat_WhatsHappening_Spouse_MILKCOW |= 내 이름이 적힌 양동이가 있어. 우유, 내가 우유라고 불렸다면 말이야.
UI_Chat_WhatsHappening_Spouse_MILKCOW |= 누군가는 가족 젖소의 젖을 짜줘야 하니까 내가 해야지.

UI_Chat_WhatsHappening_Spouse_GET_HONEY |= 허니, 나는 꿀을 모으고 있어.
UI_Chat_WhatsHappening_Spouse_GET_HONEY |= 벌들과 이야기를 나누고 무엇을 교환할 수 있는지 알아볼 거야.
UI_Chat_WhatsHappening_Spouse_GET_HONEY |= 벌에 쏘일 것 같아. 요즘 꿀 가격이란!
UI_Chat_WhatsHappening_Spouse_GET_HONEY |= 벌통에서 채취해야 할 꿀이 좀 있어서.

UI_Chat_WhatsHappening_Spouse_SLEEP |= 잘 자야 할 시간이야!
UI_Chat_WhatsHappening_Spouse_SLEEP |= 숙면이 필요해요. 잘자, 여보.
UI_Chat_WhatsHappening_Spouse_SLEEP |= 충분한 수면을 위해 잠자리에 들려고.
UI_Chat_WhatsHappening_Spouse_SLEEP |= 취침 시간이야. 너무 늦게까지 깨어있지마, 눈이 토마토보다 더 빨개졌어.

UI_Chat_WhatsHappening_AdultChild_GARDEN |= 정원을 가꾸는 일을 도와드리고 있어요. 고마워요.
UI_Chat_WhatsHappening_AdultChild_GARDEN |= 이 나이에 꼭 이걸 해야 하나요? 정원 가꾸기는 정말 나이 드신 분들을 위한 거예요.
UI_Chat_WhatsHappening_AdultChild_GARDEN |= 정원에서 내 손가락을 초록색으로 물들이는 중이에요.
UI_Chat_WhatsHappening_AdultChild_GARDEN |= 집안일하기. 제 나이에도 여전히 용돈을 받을 수 있나요?

UI_Chat_WhatsHappening_AdultChild_COOK |= 저는 지금 맛있는 음식을 만들고 있어요. 제가 가진 인생 기술 중 하나죠.
UI_Chat_WhatsHappening_AdultChild_COOK |= 제가 하는 일 냄새 안 나세요? 파인쉐이드에서는 분명 냄새를 맡을 수 있을 거예요!
UI_Chat_WhatsHappening_AdultChild_COOK |= 지시에 따라 먹을 것을 만들고 있어요. 한 번 해볼래요?
UI_Chat_WhatsHappening_AdultChild_COOK |= 일상의 고민을 잊는 데는 멋진 요리만큼 좋은 것이 없죠.

UI_Chat_WhatsHappening_AdultChild_PETS |= 동물을 분류하려고 해요.
UI_Chat_WhatsHappening_AdultChild_PETS |= 명령에 따라 애완동물에게 먹이를 줄 시간이네요. 차라리 냄새가 덜 나는 일을 하고 싶어요.
UI_Chat_WhatsHappening_AdultChild_PETS |= 동물들 먹이 주기 시간이에요. 동물원은 우리 집과 비슷한 일종의 미친 동물 집이라는 것을 알게 되었죠.
UI_Chat_WhatsHappening_AdultChild_PETS |= 질문하신 대로 애완 동물이 괜찮은지 확인하려고요.

UI_Chat_WhatsHappening_AdultChild_OFFERING |= 수호자에게 경의를 표할거에요.
UI_Chat_WhatsHappening_AdultChild_OFFERING |= 우리를 살아있게 하고 인간의 형태로 유지하게 하는 제물을 바치려고 해요.
UI_Chat_WhatsHappening_AdultChild_OFFERING |= 그냥 큰 그릇에 음식 좀 넣을게요.
UI_Chat_WhatsHappening_AdultChild_OFFERING |= 저는 그릇 옆에서 명상하고 페이족에게 회비를 지불하러 갈 거예요.

UI_Chat_WhatsHappening_AdultChild_EAT |= 식사 중에 말을 걸어야 해요?
UI_Chat_WhatsHappening_AdultChild_EAT |= 배가 고파서 배를 채우고 있어요.
UI_Chat_WhatsHappening_AdultChild_EAT |= 하루 중 제가 가장 좋아하는 시간대... 먹는 시간이죠.
UI_Chat_WhatsHappening_AdultChild_EAT |= 그냥 영양분을 섭취하는 것뿐이죠. 자식 노릇을 하다 보면 힘이 들어요.

UI_Chat_WhatsHappening_AdultChild_RELAX |= 내가 하는 일에 관심을 가져주니 좋아요. 아니면 그냥 저를 확인하려는 건가요?
UI_Chat_WhatsHappening_AdultChild_RELAX |= 끝없는 업무에서 잠시 휴식을 취하고 있죠.
UI_Chat_WhatsHappening_AdultChild_RELAX |= 긴장을 풀고 우리가 여기 있는 것이 얼마나 행운인지 생각해봐요.
UI_Chat_WhatsHappening_AdultChild_RELAX |= 휴식이 필요해요. 다 컸는데도 자식 노릇을 하느라 지쳐요.

UI_Chat_WhatsHappening_AdultChild_MILKCOW |= 저 젖소에게 젖을 짜줘야 하나요? 젖소 젖을 보면 몸서리쳐져요.
UI_Chat_WhatsHappening_AdultChild_MILKCOW |= 젖소 젖을 짜러 가요. 건강하고 튼튼하게 살려면 우유가 필요해요.
UI_Chat_WhatsHappening_AdultChild_MILKCOW |= 소가 내 이름을 부르고 있어요. 음, 나는 젖소라고 부르지는 않지만 젖을 짜달라고 말하는 것 같네요.
UI_Chat_WhatsHappening_AdultChild_MILKCOW |= 젖을 짜러 가려고요.

UI_Chat_WhatsHappening_AdultChild_GET_HONEY |= 제가 가장 좋아하는 시간이에요. 벌을 피하고 꿀맛 같은 시간을 보낼거에요.
UI_Chat_WhatsHappening_AdultChild_GET_HONEY |= 나는 필요에 따라 꿀을 모으고 있어요. 우리의 필요죠.
UI_Chat_WhatsHappening_AdultChild_GET_HONEY |= 달콤한 꿀 좀 가져올게요!
UI_Chat_WhatsHappening_AdultChild_GET_HONEY |= 호박즙을 마시고 올게요. 아니, 아직 맥주는 안 돼요.

UI_Chat_WhatsHappening_AdultChild_SLEEP |= 부모님을 위해 아들이나 딸이라면 누구나 할 수 있는 일, 즉 잠을 자려고요.
UI_Chat_WhatsHappening_AdultChild_SLEEP |= 취침 시간이에요. 하루에 최소 25시간은 자야죠.
UI_Chat_WhatsHappening_AdultChild_SLEEP |= 자러 갈게요. 안녕히 주무세요, 부모님.
UI_Chat_WhatsHappening_AdultChild_SLEEP |= 취침 시간이에요. 스누즈 씨와 약속이 있어요.

UI_Chat_WhatsHappening_Child_GARDEN |= 정원 가꾸기를 해야 해요? 힘든 일이잖아요!
UI_Chat_WhatsHappening_Child_GARDEN |= 벌레가 계속 나와요. 벌레는 웃는 얼굴을 하고 있어요.
UI_Chat_WhatsHappening_Child_GARDEN |= 정원에서 일하라고 하셨잖아요. 불공평해요.
UI_Chat_WhatsHappening_Child_GARDEN |= 나는 정원에서 놀고 있어요. 그러니까 열심히 일한다는 뜻이었어요.

UI_Chat_WhatsHappening_Child_COOK |= 이걸 해야 해요? 위험해 보여요!
UI_Chat_WhatsHappening_Child_COOK |= 저는 칼을 가지고 놀고 물건을 자르는 걸 좋아해요.
UI_Chat_WhatsHappening_Child_COOK |= 요리를 하고 싶어요!
UI_Chat_WhatsHappening_Child_COOK |= 요리 중이에요! 다시는 아무것도 태우지 않겠다고 약속할게요.

UI_Chat_WhatsHappening_Child_PETS |= 애완동물을 쓰다듬고 싶어요! 제가 동물 혐오증이 있다면 모를까, 그렇지 않다면요.
UI_Chat_WhatsHappening_Child_PETS |= 동물에게 먹이를 주려고요.
UI_Chat_WhatsHappening_Child_PETS |= 말씀하신 대로 애완동물에게 먹이를 주러 가려고요.
UI_Chat_WhatsHappening_Child_PETS |= 애완동물 시간!

UI_Chat_WhatsHappening_Child_OFFERING |= 저는 포트 아저씨의 큰 그릇에 물건을 넣을 거예요.
UI_Chat_WhatsHappening_Child_OFFERING |= 포트 아저씨에게 제물을 바치라고 했죠?
UI_Chat_WhatsHappening_Child_OFFERING |= 사랑스러운 포트 아저씨를 위해 저 그릇에 물건을 넣고 있어요.
UI_Chat_WhatsHappening_Child_OFFERING |= 제물 시간! 만세!

UI_Chat_WhatsHappening_Child_EAT |= 나는 음식을 먹고 있어요.
UI_Chat_WhatsHappening_Child_EAT |= 배고파요. 식사 시간!
UI_Chat_WhatsHappening_Child_EAT |= 음..음..음..음..음..음..음..음.. 먹고 있어요.
UI_Chat_WhatsHappening_Child_EAT |= 야호! 식사 시간!

UI_Chat_WhatsHappening_Child_RELAX |= 놀이시간!
UI_Chat_WhatsHappening_Child_RELAX |= 놀고있어요.
UI_Chat_WhatsHappening_Child_RELAX |= 놀이시간이에요!
UI_Chat_WhatsHappening_Child_RELAX |= 내 놀이 시간이에요. 줌!

UI_Chat_WhatsHappening_Child_SOCIALISE |= 보이지 않는 친구들을 보고 싶어요.
UI_Chat_WhatsHappening_Child_SOCIALISE |= 친구들에게 이야기하러 갈거에요.
UI_Chat_WhatsHappening_Child_SOCIALISE |= 제 영혼을 채우고 지성을 확장할 수 있는 의미 있는 인간관계를 찾고 있어요.

UI_Chat_WhatsHappening_Child_STUDY |= 쉬이잇, 공부 중이에요.
UI_Chat_WhatsHappening_Child_STUDY |= 말하신 대로 숙제를 하고 있어요.
UI_Chat_WhatsHappening_Child_STUDY |= 사실, 허구, 말도 안 되는 문학 작품을 통해 생각을 확장하고 있죠.
UI_Chat_WhatsHappening_Child_STUDY |= 공부를 통해 INT 능력치를 올리려고 노력중이에요.

UI_Chat_WhatsHappening_Child_EXPLORE |= 방랑하며 재미있는 것을 찾으러 나가려고요.
UI_Chat_WhatsHappening_Child_EXPLORE |= 탐험하러 갈거에요!
UI_Chat_WhatsHappening_Child_EXPLORE |= 탐험 시간!
UI_Chat_WhatsHappening_Child_EXPLORE |= 탐험하러 가도 괜찮나요? 저는 작은 문처럼 숨어 있는 것을 찾는 걸 좋아해요.

UI_Chat_WhatsHappening_Child_GET_HONEY |= 꿀 시간! 냠!
UI_Chat_WhatsHappening_Child_GET_HONEY |= 우리 모두를 위해 꿀을 좀 가져와야겠어요. 이야!
UI_Chat_WhatsHappening_Child_GET_HONEY |= 벌이 저를 쏘았어요! 이건 불공평해요!
UI_Chat_WhatsHappening_Child_GET_HONEY |= 여왕벌 부인이 케이크를 주면 꿀을 가져가도 된다고 했어요. 정직하네요.

UI_Chat_WhatsHappening_Child_SLEEP |= 아, 저 꼭 자야 돼요?
UI_Chat_WhatsHappening_Child_SLEEP |= 아, 진짜 잘 시간이에요?
UI_Chat_WhatsHappening_Child_SLEEP |= 자러 갈게요. 잘 자요, 아빠, 엄마, 원하는 대로 하세요.
UI_Chat_WhatsHappening_Child_SLEEP |= 잘 자요! 침대 마녀에게 물리지 마세요!
