LETTER_DEFAULT_SALUTATION |= 친애하는
LETTER_TITLE_FAMILYVISIT_SIBLING1 |= 동생의 방문
LETTER_TEXT_FAMILYVISIT_SIBLING1 |= 베일에 누가 다시 돌아왔게?
LETTER_TEXT_FAMILYVISIT_SIBLING1 |= 바로 우리가 가장 좋아하는 말썽꾸러기지. 내가 이곳을 깜짝 방문할 예정이니 달력에 <SEASON>의 <DAY>을 표시해둬.
LETTER_TEXT_FAMILYVISIT_SIBLING1 |= 네가 농장을 어떻게 변화시켰는지 소문 많이 들었어. 우리가 이 모든 것을 꿈꾸던 때를 기억하지? 내 눈으로 직접 보고 싶어.
LETTER_TEXT_FAMILYVISIT_SIBLING1 |= 네가 없으면 사과나무를 습격해서 너를 기리는 의미로 껍질에 흔적을 남길게.
LETTER_SIGNOFF_FAMILYVISIT_SIBLING1 |= 곧 만나자,

LETTER_SALUTATION_FAMILYVISIT_SIBLING2 |= 소중한
LETTER_TITLE_FAMILYVISIT_SIBLING2 |= 동생의 방문
LETTER_TEXT_FAMILYVISIT_SIBLING2 |= 너의 형제자매이자 동료 농장 열성팬인 <SenderName>이야.
LETTER_TEXT_FAMILYVISIT_SIBLING2 |= <SEASON>의 <DAY>에 내가 성대하게 입장할 테니 마음의 준비를 해둬. 벌써 꽃이 피어나는 냄새가 나고 나뭇잎이 바스락거리는 소리가 들리는 것 같아.
LETTER_TEXT_FAMILYVISIT_SIBLING2 |= 우리가 이 땅에 쏟아 부은 웃음과 땀을 상상하며 들판을 거닐어볼거야.
LETTER_TEXT_FAMILYVISIT_SIBLING2 |= 네가 무지개를 쫓아 떠난다면 나는 까마귀와 교감하며 우리가 이룩한 업적에 대한 이야기를 나눌거야.
LETTER_SIGNOFF_FAMILYVISIT_SIBLING2 |= 뿌리 내려,

LETTER_SALUTATION_FAMILYVISIT_SIBLING3 |= 사랑하는
LETTER_TITLE_FAMILYVISIT_SIBLING3 |= 동생의 방문
LETTER_TEXT_FAMILYVISIT_SIBLING3 |= 이 편지가 농장의 품에 안겨 잘 지내길 바라. 계절이 춤을 추듯 내 마음은 나를 안식처로 이끌어. <SEASON>의 <DAY>에 내가 도착하길 기대해.
LETTER_TEXT_FAMILYVISIT_SIBLING3 |= 내 발아래 흙에는 우리가 나눈 웃음의 메아리가 울려 퍼질 거야. 거대한 떡갈나무 뿌리처럼 우리의 인연은 끊어지지 않으리. 우리의 길이 서로 그리워지면 우리의 성장을 지켜본 오래된 고대의 돌들과 이야기를 나누어야겠어.
LETTER_TEXT_FAMILYVISIT_SIBLING3 |= 그나저나 내 고상한 편지글에 감명받았어?
LETTER_SIGNOFF_FAMILYVISIT_SIBLING3 |= 하나가 되어,

LETTER_SALUTATION_FAMILYVISIT_EX1 |= 사랑하는
LETTER_TITLE_FAMILYVISIT_EX1 |= 전 배우자의 방문
LETTER_TEXT_FAMILYVISIT_EX1 |= 이 편지가 당신을 잘 찾았으리라 믿어. 우리가 각자의 길을 간 지 꽤 시간이 흘렀고, 삶이 당신을 어떻게 대하고 있는지 궁금한 적이 많았어. 윌로우다운 농장에 계속 마음과 영혼을 쏟아 부었을 거라 생각해.
LETTER_TEXT_FAMILYVISIT_EX1 |= 그 오래된 밭을 지나갈 때마다 활기찬 농작물과 잘 가꾸어진 과수원에서 당신의 존재를 느낄 수 있었어. 당신의 헌신과 노력은 이 땅에 지울 수 없는 흔적을 남겼지.
LETTER_TEXT_FAMILYVISIT_EX1 |= 조만간 <SEASON>의 <DAY>에 다시 농장을 방문할까 생각 중이야. 추억의 길로 떠나는 편안한 여행이 될 것 같네.
LETTER_TEXT_FAMILYVISIT_EX1 |= 괜찮으시겠지? 그때까지 몸조심하시고 농사 잘 지어!
LETTER_SIGNOFF_FAMILYVISIT_EX1 |= 따뜻한 안부를 담아,

LETTER_SALUTATION_FAMILYVISIT_EX2 |= 사랑하는
LETTER_TITLE_FAMILYVISIT_EX2 |= 전 배우자의 방문
LETTER_TEXT_FAMILYVISIT_EX2 |= 이 소식이 좋은 기운으로 전해지길 바라. 시간이 흘러도 농장에서의 삶에 대한 궁금증이 줄어들지 않네. 우리가 마지막으로 함께 돌길을 걸은 이후 계절을 당신은 어떻게 지냈어?
LETTER_TEXT_FAMILYVISIT_EX2 |= 베일을 찾으면 우리가 공유했던 꿈의 메아리와 웃음소리가 들리는 것 같아
LETTER_TEXT_FAMILYVISIT_EX2 |= 언젠가 <SEASON>의 <DAY>에 농장을 다시 방문하고 싶다는 생각이 문득 떠올랐어. 추억이 손짓을 하는데 상황이 어떻게 변했는지 보고 싶어. 당신의 건강을 기원하며 우리의 재회를 간절히 기대할게.
LETTER_SIGNOFF_FAMILYVISIT_EX2 |= 행운을 빌어,

LETTER_SALUTATION_FAMILYVISIT_EX3 |= 사랑하는
LETTER_TITLE_FAMILYVISIT_EX3 |= 전 배우자의 방문
LETTER_TEXT_FAMILYVISIT_EX3 |= 당신이 건강하고 기분이 좋으리라 믿어. 인생은 우리를 각기 다른 여정으로 이끌었지만, 내 마음은 종종 베일의 고요한 아름다움으로 되돌아가곤해. 농장에 대한 당신의 헌신으로 이곳이 풍요로운 안식처로 변모한 것은 분명하지.
LETTER_TEXT_FAMILYVISIT_EX3 |= 동물과 농작물이 당신의 보살핌 아래서 어떻게 성장했을지 무척이나 궁금해.
LETTER_TEXT_FAMILYVISIT_EX3 |= <SEASON>의 <DAY>에 옛 고향을 방문할까 고민 중이야. 농장을 다시 볼 생각에 향수와 약간의 그리움이 밀려오네. 
LETTER_TEXT_FAMILYVISIT_EX3 |= 건강하게 지내시고 다시 만날 날을 간절히 기다리고있어.
LETTER_SIGNOFF_FAMILYVISIT_EX3 |= 따뜻하게,


LETTER_SHOP_BADMOOD_TITLE |= 직원 요청
LETTER_SHOP_BADMOOD_INTRO |= 친애하는 <PlayerName>에게,
LETTER_SHOP_BADMOOD |= 지난번에 저를 보셨을 때 눈치 채시고 뭔가 조치를 취하셨을지도 모른다는 생각에 이 편질를 보내는 것을 망설였지만, 지금 제가 당신과 함께 일하면서 기분이 안 좋다는 것을 알려드리고 싶어요.
LETTER_SHOP_BADMOOD |= 제가 왜 이런 기분이 드는지 정확히 표현하기는 어렵지만 저를 도울 수 있는 방법을 찾아볼 수 있을까요? 제 근무 시간을 봐주시거나, 기대 이상의 급여를 주시거나, 작은 선물이라도 주시겠어요?
LETTER_SHOP_BADMOOD |= 당신에게 맡길게요
LETTER_SHOP_BADMOOD_OUTRO |= 감사합니다.\n<ShopName>에서 일하는\n<Employee>

LETTER_SHOP_UNPAID_STAFF_UNNAMED |= 직원 중 한 명이 일한 대가를 받지 못하고 그만뒀습니다.\n진심으로\nA Tinker & Co - 미지의 회계사
LETTER_SHOP_UNPAID_STAFF |= 친애하는 <PlayerName>님,\n저는 오늘 업무에 대한 대가를 받지 못했고 이에 대해 별로 만족하지 않습니다. 따라서 저는 귀사에서의 근무를 종료하기로 결정했습니다. 앞으로 직원들에게 급여를 지급하는 것을 잊지 마세요!

LETTER_SHOP_SUMMARY_INTRO |= 안녕하세요, 다음 항목에 대한 주간 업무 요약입니다.
LETTER_SHOP_SUMMARY_HEADING |= 수입 및 지출
LETTER_SHOP_SUMMARY_OUTRO |= 진심으로\nA Tinker & Co - 미지의 회계사
